CARDNAME,STRENGTH,GROUP,RARITY,LOYALTY,FACTION,POSITION,TYPE,TEXT
Aelirenn,Strength: 6,Group: Silver,Rarity: Epic,Loyalty: Loyal,Faction: Scoia'tael,Position: Ranged,Type: Elf,"Summon this Unit when you have 5 or more Elf Allies.
"
Aglais,Strength: 10,Group: Gold,Rarity: Legendary,Loyalty: Loyal,Faction: Scoia'tael,Position: Multiple,Type: Dryad,"Deploy: You may Resurrect a Special card from your opponent’s Graveyard. Effort: Weaken self by 4.
"
Barclay Els,Strength: 2,Group: Silver,Rarity: Epic,Loyalty: Loyal,Faction: Scoia'tael,Position: Siege,Type: Dwarf,"Deploy: Play a random Dwarf from your Deck (including Golds) and Boost it by 3.
"
Blue Mountain Commando,Strength: 2,Group: Bronze,Loyalty: Loyal,Faction: Scoia'tael,Position: Multiple,Type: Elf,,"Whenever this Unit is moved, Boost it by 2.
Deploy: Summon all other copies of this Unit to its row.
"
Braenn,Strength: 5,Group: Silver,Rarity: Epic,Loyalty: Loyal,Faction: Scoia'tael,Position: Ranged,Type: Dryad,"Deploy: Damage an Enemy by this Unit’s Power.
"
Brouver Hoog,Strength: 4,Group: Leader,Rarity: Legendary,Faction: Scoia'tael,,,,"Spawn: Brouver Hoog
Deploy: Play a Silver Unit from your Deck. Shuffle the others back.
"
Ciaran,Strength: 8,Group: Silver,Rarity: Epic,Loyalty: Loyal,Faction: Scoia'tael,Position: Multiple,Type: Elf,"Deploy: Move a Unit to this row on its side and toggle its Lock.
"
Commando Neophyte,Strength: 6,Group: Bronze,Rarity: Common,Loyalty: Loyal,Faction: Scoia'tael,Position: Melee,Type: Elf,"Armor 2
Damage a random Enemy by 2 whenever you Mulligan a card.
"
Dennis Cranmer,Strength: 8,Group: Silver,Rarity: Epic,Loyalty: Loyal,Faction: Scoia'tael,Position: Melee,Type: Dwarf,"Deploy: Strengthen all other Dwarves in your Deck, Hand and on your side of the Board by 1.
"
Dol Blathanna Archer,Strength: 5,Group: Bronze,Rarity: Common,Loyalty: Loyal,Faction: Scoia'tael,Position: Ranged,Type: Elf,"Deploy: Damage Enemies by 3 and then 1.
"
Dol Blathanna Marksman,Strength: 6,Group: Bronze,Rarity: Common,Loyalty: Loyal,Faction: Scoia'tael,Position: Ranged,Type: Elf,"Every time this Unit is moved, Damage a random Enemy by 2.
Deploy: Damage a Unit by 2.
"
Dol Blathanna Protector,Strength: 4,Group: Bronze,Rarity: Rare,Loyalty: Loyal,Faction: Scoia'tael,Position: Multiple,Type: Elf,"Whenever you play a Special card, Boost self by 1 wherever this unit is.
"
Raging Berserker,Strength: 6,Group: Bronze,Rarity: Rare,Loyalty: Loyal,Faction: Skellige,Position: Multiple,Type: Cursed,"Retaliation: Transform into a Raging Bear.
"
Restore,Group: Silver,Rarity: Epic,Faction: Skellige,Position: Event,Type: Special,,,"Return a Unit from your Graveyard to your Hang, then Discard a card.
"
Savage Bear,Strength: 4,Group: Bronze,Rarity: Rare,Loyalty: Loyal,Faction: Skellige,Position: Melee,"Type: Beast, Cursed","Damage each Enemy played by 1.
"
Sigrdrifa,Strength: 3,Group: Silver,Rarity: Epic,Loyalty: Loyal,Faction: Skellige,Position: Siege,Type: Doomed,"Deploy: Resurrect a Unit from your Graveyard.
"
Skjall,Strength: 6,Group: Silver,Rarity: Epic,Loyalty: Loyal,Faction: Skellige,Position: Siege,,"Veteran: Strengthen self by 1.
Timer 2, Turn End: Convert this Unit’s current Power into base Power.
"
Svanrige,Strength: 5,Group: Silver,Loyalty: Loyal,Faction: Skellige,Position: Siege,,,"Veteran: Strengthen self by 1.
Deploy: Draw a card (including Golds) then Discard a card from your Hand.
"
Udalryk,Strength: 12,Group: Silver,Rarity: Epic,Loyalty: Disloyal,Faction: Skellige,Position: Multiple,"Type: Cursed, Doomed","Deploy: Draw 2 cards from your Deck (including Golds). Keep one and Discard the other.
"
Vabjorn,Strength: 6,Group: Gold,Rarity: Legendary,Loyalty: Loyal,Faction: Skellige,Position: Multiple,Type: Cursed,"Turn End: Damage by 2 every Damaged Enemy with 2 Power or less.
"
War Longship,Strength: 5,Group: Bronze,Rarity: Rare,Loyalty: Loyal,Faction: Skellige,Position: Siege,Type: Machine,"Whenever you Discard a Unit, Damage a random Enemy by 2.
"
Wild Boar of the Sea,Strength: 6,Group: Gold,Rarity: Legendary,Loyalty: Loyal,Faction: Skellige,Position: Multiple,Type: Machine,"Turn Start: Strengthen the Unit to the left by 1 and Damage the Unit to the right by 1.
"
Xarthisius,Strength: 10,Group: Gold,Rarity: Legendary,Loyalty: Loyal,Faction: Nilfgaard,Position: Multiple,Type: Mage,"Deploy: Look at the top 3 cards of your opponent’s Deck (including Golds). you may choose 1 and place it at the bottom of their Deck.
"
Dol Blathanna Trapper,Strength: 4,Group: Bronze,Rarity: Rare,Loyalty: Loyal,Faction: Scoia'tael,Position: Ranged,Type: Elf,"Deploy: Spawn a Fireball Trap on an opposing row.
"
Dwarven Mercenary,Strength: 5,Group: Bronze,Rarity: Common,Loyalty: Loyal,Faction: Scoia'tael,Position: Multiple,Type: Dwarf,"Deploy: Move an Ally to this row and Boost it by 3.
"
Dwarven Skirmisher,Strength: 5,Group: Bronze,Rarity: Common,Loyalty: Loyal,Faction: Scoia'tael,Position: Siege,Type: Dwarf,"Deploy: Damage an Enemy by 3. If the Unit was not Destroyed, Boost self by 2.
"
Eithné,Strength: 5,Group: Leader,Rarity: Legendary,Faction: Scoia'tael,,,,"Spawn: Eithne
Deploy: Resurrect a Special card from your Graveyard.
"
Ele’yas,Strength: 8,Group: Silver,Rarity: Epic,Loyalty: Loyal,Faction: Scoia'tael,Position: Ranged,Type: Elf,"Deploy: Destroy an Ally and Damage an Enemy by the Destroyed Ally’s Power.
"
Elven Mercenary,Strength: 2,Group: Bronze,Rarity: Rare,Loyalty: Disloyal,Faction: Scoia'tael,Position: Multiple,Type: Elf,"If this Unit is Spying, move it to your side after you play an Ambush Unit.
Deploy: Draw 2 Bronze Special cards. Play 1 and shuffle the other back.
"
Elven Wardancer,Strength: 3,Group: Bronze,Rarity: Common,Loyalty: Loyal,Faction: Scoia'tael,Position: Melee,Type: Elf,"Summon this unit immediately after it is Mulliganed.
"
Francesca,Strength: 4,Group: Leader,Rarity: Legendary,Faction: Scoia'tael,,,,"Spawn: Francesca
Deploy: Mulligan up to 3 cards.
"
Hawker Healer,Strength: 4,Group: Bronze,Rarity: Common,Loyalty: Loyal,Faction: Scoia'tael,Position: Multiple,Type: Elf,"Deploy: Boost 2 Units to the right by 3.
"
Hawker Smuggler,Strength: 4,Group: Bronze,Rarity: Rare,Loyalty: Loyal,Faction: Scoia'tael,Position: Ranged,Type: Elf,"Whenever a Unit appears on your opponent’s side, Boost self by 1.
"
Hawker Support,Strength: 6,Group: Bronze,Rarity: Rare,Loyalty: Loyal,Faction: Scoia'tael,Position: Siege,Type: Elf,"Deploy: Boost a Unit in your Hand by 3.
"
Ida Emean,Strength: 4,Group: Silver,Rarity: Epic,Loyalty: Loyal,Faction: Scoia'tael,Position: Siege,"Type: Elf, Mage","Deploy: Spawn Quen Sign, Impenetrable Fog or Clear Skies.
"
Iorveth,Strength: 6,Group: Gold,Rarity: Legendary,Loyalty: Loyal,Faction: Scoia'tael,Position: Multiple,Type: Elf,"Whenever an Enemy moves to a different row, Damage it by 2.
Deploy: Damage an Enemy by 4.
"
Isengrim,Strength: 7,Group: Gold,Rarity: Legendary,Loyalty: Loyal,Faction: Scoia'tael,Position: Multiple,Type: Elf,"Play an Ambush card from your Deck.
"
Ithlinne,Strength: 2,Group: Gold,Rarity: Legendary,Loyalty: Disloyal,Faction: Scoia'tael,Position: Multiple,"Type: Elf, Mage","Deploy: Play a Bronze Special card from your Deck, then Spawn a copy of it. Shuffle the others back.
"
Mahakam Defender,Strength: 5,Group: Bronze,Rarity: Rare,Loyalty: Loyal,Faction: Scoia'tael,Position: Melee,Type: Dwarf,"Resilient.
"
Mahakam Guard,Strength: 5,Group: Bronze,Rarity: Rare,Loyalty: Loyal,Faction: Scoia'tael,Position: Melee,Type: Dwarf,"Deploy: Boost an Ally by 3. If it’s a Dwarf, Boost by 5 instead.
"
Malena,Strength: 4,Group: Silver,Rarity: Epic,"Loyalty: Disloyal, Loyal",Faction: Scoia'tael,Position: Multiple,Type: Elf,"Armor 3.
Turn Start: Move a random Unit on another row on this side to this row.
"
Milva,Strength: 8,Group: Gold,Rarity: Legendary,Loyalty: Loyal,Faction: Scoia'tael,Position: Multiple,,"Deploy, Clash: Return the Highest Enemy to your opponent’s Hand, then the Highest Ally to your Hand.
"
Morenn,Strength: 5,Group: Silver,Rarity: Epic,Loyalty: Loyal,Faction: Scoia'tael,Position: Multiple,"Type: Ambush, Dryad","Ambush.
Spring when a Unit appears on the opponent’s side and Damage it by 5.
"
Nature’s Gift,Group: Silver,Rarity: Epic,Faction: Scoia'tael,Position: Event,Type: Special,,,"Play a Special card from your Deck. Shuffle the others back.
"
Saesenthessis,Strength: 6,Group: Gold,Rarity: Legendary,Loyalty: Loyal,Faction: Scoia'tael,Position: Multiple,Type: Draconid,"Deploy: Boost self by 1 for each Dwarf Ally (including Golds). Damage an Enemy by the number of Elf Allies (including Golds).
"
Saskia,Strength: 7,Group: Gold,Rarity: Legendary,Loyalty: Loyal,Faction: Scoia'tael,Position: Multiple,Type: Draconid,"Orders: Summon this Unit to a random row.
"
Schirru,Strength: 10,Group: Gold,Rarity: Legendary,Faction: Scoia'tael,Position: Multiple,Type: Elf,,"Deploy: You may Transform a card from your Hand (including Golds) into Scorch.
"
Sheldon Skaggs,Strength: 8,Group: Silver,Loyalty: Loyal,Faction: Scoia'tael,"Position: Melee, Multiple",Type: Dwarf,,"Deploy: Move all Units on the row to random rows on the same side. Effort: Boost self by 1.
"
Toruviel,Strength: 6,Group: Silver,Rarity: Epic,Loyalty: Loyal,Faction: Scoia'tael,Position: Multiple,"Type: Ambush, Elf","Ambush.
Spring when your opponent passes and Boost 2 Units on either side of this Unit by 2.
"
Vrihedd Brigade,Strength: 4,Group: Bronze,Rarity: Rare,Loyalty: Loyal,Faction: Scoia'tael,Position: Multiple,Type: Elf,"Promote this Unit when you play a Weather card.
"
Vrihedd Dragoon,Strength: 6,Group: Bronze,Rarity: Common,Loyalty: Loyal,Faction: Scoia'tael,Position: Siege,Type: Elf,"Turn Start: Boost a random Unit in your Hand by 1.
"
Vrihedd Officer,Strength: 5,Group: Bronze,Rarity: Common,Loyalty: Loyal,Faction: Scoia'tael,Position: Siege,Type: Elf,"Deploy: Mulligan a card.
"
Vrihedd Sappers,Strength: 6,Group: Bronze,Rarity: Rare,Loyalty: Loyal,Faction: Scoia'tael,Position: Multiple,Type: Elf,"Ambush.
Timer: 2. Turn Start: Spring.
"
Vrihedd Vanguard,Strength: 3,Group: Bronze,Rarity: Rare,Loyalty: Loyal,Faction: Scoia'tael,Position: Multiple,Type: Elf,"Whenever you Mulligan a card, Boost this Unit by 1, wherever it is.
"
Yaevinn,Strength: 12,Group: Silver,Rarity: Epic,Loyalty: Disloyal,Faction: Scoia'tael,Position: Multiple,"Type: Doomed, Elf","Deploy: Draw a Unit and a Special card (including Golds). Keep 1 and shuffle the other back.
"
Yarpen Zigrin,Strength: 7,Group: Silver,Rarity: Epic,Loyalty: Loyal,Faction: Scoia'tael,Position: Siege,Type: Dwarf,"Resilient.
Whenever a Dwarf Ally (including Golds) is played, Boost self by 1.
"
Zoltan Chivay,Strength: 8,Group: Gold,Rarity: Legendary,Loyalty: Loyal,Faction: Scoia'tael,Position: Multiple,Type: Dwarf,"Deploy: Move 3 Units to this row on their side. If they are Allies, Strengthen them by 2.
"
