EMAIL,HREF,FAILMSG,CONAME,DATE_SCRAPED,TEL,BIZADD 
nancyhii@unigroup.my,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98378&sid=5BDAC9F6EB525384FC053C116DE9DCF7,,MY SOURCEPRO SDN BHD,'2017-08-02,03 - 89406780,NO 28 JALAN PERINDUSTRIAN PP3 TAMAN PERINDUSTRIAN PUTRA PERMAI SERI KEMBANGAN 43300 SELANGOR
"info@edc,com,my",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98946&sid=FAD9AF70FFECC73B979FA6D0645AADD5,,ED FOOD CARE SDN BHD,'2017-08-02,03 - 61512533,NO 1 (LOT 47) JALAN PBI 4 PERINDUSTRIAN BUKIT INDAH SUNGAI BULOH 47000 SELANGOR
info@borneoacacia.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82976&sid=C8254C6B14E3130A5293CE46AE244B79,,KEHOGG BRANDS SDN BHD,'2017-08-02,04 - 3905798,996 JALAN BESAR PERAI 13600 PULAU PINANG
millioncreative@hotmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=99094&sid=01961F43294EFA360DD5B1CBD00D129C,,Y & Y ONLINE MARKETING,'2017-08-02,017 - 9160759,25 JALAN 2 TAMAN TAS KUANTAN 25150 PAHANG
denanostar@yahoo.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=81599&sid=98148C655E94CCD2B26D148D40840141,,RETINUE SDN BHD,'2017-08-02,01 - 0163033666,"AL 131-J, JLN KG. BARU SG. BULOH, KAMPUNG BAHRU SUNGAI BULOH  47000 SELANGOR"
ppmsenterprise@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7583&sid=A9A68F759F3CE576DF97253F741467D1,,PPMS ENTERPRISE (M) SDN BHD,'2017-08-02,03 - 80249284,"11A-1, USJ 21/3 SUBANG JAYA  47630 SELANGOR"
joanne@troisinternational.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=84205&sid=33C57564B07F1FDB13B97CA6B1ED1F3D,,TROIS INTERNATIONAL SDN BHD,'2017-08-02,03 - 56141222,"5 JALAN SERENDAH 26/40 KAW PERINDUSTRIAN HICOM SECTION 26, SHAH ALAM 40400 SELANGOR"
meelean_leong@hotmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6880&sid=83E07EE336E974982BC8A2EDCE57BB3B,,SCIENTIFIC R&D SDN BHD,'2017-08-02,03 - 77857816,"24 TO 24-3 JALAN 2/131A PROJECT JAYA INDUSTRIAL ESTATE 6TH MILE, JALAN KLANG LAMA 58200 KUALA LUMPUR"
branmills60@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93649&sid=6B3B288AD831F382DC9FC2C0EE7FD3CA,,INFRATECHNIC ENTERPRISE,'2017-08-02,03 - 33423431,65 JALAN PEGAGA U12/11 TAMAN DESA ALAM SHAH ALAM 40170 SELANGOR
arsdesignbuilders@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98454&sid=AFDC836E22AAB12445BBC9CA58BA8B71,,ARS DESIGNBUILDERS SDN BHD,'2017-08-02,03 - 41083663,22-1B JALAN 3/4C DESA MELAWATI  51300 KUALA LUMPUR
ronaniaga@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98579&sid=19DEB64CAC2828EF6AA67DCA3AAC1857,,RONA NIAGA,'2017-08-02,018 - 9844640,NO 57 LORONG ABANG HAJI OPENG 6 TAMAN TUN DR ISMAIL 60000 KUALA LUMPUR
Symphony3.info@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98508&sid=1F3845B096CB34A54655A3A367F23581,,SYMPHONY TREE MALAYSIA SDN BHD,'2017-08-02,04 - 4230662,LOT 87 PERSIARAN 11 KAWASAN PERUSAHAAN BAKAR ARANG 08000 KEDAH
arnsolution.vic@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80842&sid=71E804384F388F6718A34CD988B950DD,,ARN SOLUTIONS SDN BHD,'2017-08-02,03 - 78653050,3 JALAN 38 DESA JAYA KEPONG 52100 SELANGOR
tlbcoffee@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98449&sid=52AC7373136C9EBD094FFCA66F9BA54B,,ARTISAN ROASTERY SDN BHD,'2017-08-02,012 - 6999210,G19 BANGUNAN PERDAGANGAN D7 JALAN SENTUL 51100 KUALA LUMPUR
adlina@georgia-gw.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=69169&sid=58DA2A819A5E74047436F7D3044C86DC,,GEORGIA GATEWAY SDN BHD,'2017-08-02,03 - 80110443,"GF-29, THE MAIN PLACE, JALAN USJ21/10 PERSIARAN KEWAJIPAN SUBANG JAYA 47630 SELANGOR"
almubarak.health@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93616&sid=94D4E241E1CE925A8DD44E2C85DB8EA1,,AL MUBARAK HEALTH SDN BHD,'2017-08-02,07 - 5544844,NO 32 & 32-01 JALAN PERTAMA TAMAN PERDAGANGAN DANGA UTAMA SKUDAI 81300 JOHOR
nsxpower@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10868&sid=E6A7F45FD1155A16A01327D836C17BF1,,AGATE GROUP (MALAYSIA) SDN BHD,'2017-08-02,012 - 2800000,16 FLOOR MENARA SAFUAN NO 80 JALAN AMPANG  50450 KUALA LUMPUR
shahpasdec@yahoo.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98669&sid=359C41BFD36DE62665742B647033BF00,,NUFA EMPIRE SDN BHD,'2017-08-02,011 - 10526234,NO 119 TINGKAT BAWAH BANGUNAN MUIP JALAN MAHKOTA KUANTAN 25000 PAHANG
wstiow1@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98633&sid=4CBF3CB7372DAEFB72EDBEC169C5B16D,,THE ORIGINAL BEVERAGE SDN BHD,'2017-08-02,03 - 79544155,WISMA PESAKA ANTAH NO 6 JALAN 13/6 PETALING JAYA 46200 SELANGOR
nikmaca1010@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98661&sid=FDF31A21FD56E2D0296B80598ECF045A,,NR BIOTECH INDUSTRIES SDN BHD,'2017-08-02,06 - 3122496,NO 19 19-1 JALAN KU 11 TAMAN KRUBONG UTAMA 75260 MELAKA
kokomindaplus@yahoo.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=66853&sid=70238681A18FD50EB2984D869BBAA766,,KOKO MINDA FOOD INDUSTRIES (M) SDN BHD,'2017-08-02,06 - 2633114,LOT. 29 & 30 JALAN EP 9 MELAKA HALAL HUB SERKAM MERLIMAU 77300 MELAKA
mfg@ckc.com.my,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14219&sid=766FE7307B7BAE0C0183E564A31924DE,,C.K.C. FOOD INDUSTRIES SDN BHD,'2017-08-02,04 - 6425577,"PLOT 63, LINTANG BAYAN LEPAS 1 BAYAN LEPAS INDUSTRIAL PARK IV BAYAN LEPAS 11900 PULAU PINANG"
halizafood@yahoo.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=64011&sid=5CABBC15855AD2F2E508BEFF27D6626A,,HALIZA INDUSTRIES SDN BHD,'2017-08-02,016 - 4188689,"NO. 1, JALAN PALA 8 IMPERIAL INDUSTRIAL PARK PERMATANG TINGGI, BUKIT MERTAJAM 14100 PULAU PINANG"
ruzamanufacturing@yahoo.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73278&sid=973A09584AB39700C5E5E09E0395FA91,,R&Z COSMETICS SDN BHD,'2017-08-02,04 - 4919986,362 JALAN PETALING 10 TAMAN SERI PETALING 09000 KEDAH
siass@sialin.my,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97080&sid=DEA055F265B55FAFFFD1F611AFCFE469,,NAFAS SIALIN (M) SDN BHD,'2017-08-02,06 - 9787207,3A JALAN PAYAMAS TAMAN INDUSTRI PAYAMAS TANGKAK 84900 JOHOR
beyounghealthsciences@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96755&sid=4635492BE85C009F03514B789D62B7BF,,BEYOUNG HEALTH SCIENCES,'2017-08-02,03 - 78658298,33 JALAN SS2/30 PETALING JAYA  47300 SELANGOR
myviewharvest@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=58552&sid=3753CD95A60FE79ED8A01718D2150AA2,,MYVIEW HARVEST SDN BHD,'2017-08-02,05 - 3218189,6 JALAN CHEW SIN ON IPOH 31650 PERAK
info@coolblog.com.my,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=83434&sid=EF6B9B917D0909B566D1DF0D250B04CD,,COOLBLOG DESSERT SDN BHD,'2017-08-02,07 - 3555002,"31, JALAN FIRMA 2/1 KAW PERINDUSTRIAN TEBRAU 1 JOHOR BAHRU 81100 JOHOR"
promanagesb@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96943&sid=AA00DE8A559139D26860C40F06FBAEA2,,BIG POOL NET SDN BHD,'2017-08-02,03 - 89576828,B-4-13A STREET MALL ONE SOUTH JALAN OS TAMAN SERDANG PERDANA SEKSYEN 6 SERI KEMBANGAN 43300 SELANGOR
law@hyflow.com.my,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96940&sid=224D1CFB1D96F2F9C588B5DFABD3F4DE,,HY-FLOW (M) SDN BHD,'2017-08-02,03 - 51928333,19 & 21 JALAN BAGAN TERAP 26/11 SECTION 26 HICOM INDUSTRIAL AREA SHAH ALAM 40000 SELANGOR
nicklausho@gaharu.com.my,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=63614&sid=7D8439DC23C97C5C5E4F721FC8C5B0F4,,GAHARU TECHNOLOGIES SDN BHD,'2017-08-02,05 - 3575999,"LOT 38017, MUKIM SUNGAI RAIA SIMPANG PULAI IPOH 31300 PERAK"
enquiry@winepak.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92718&sid=C3A1692B35BD63F1DA4666C3E065591F,,WINEPAK CORPORATION (M) SDN BHD,'2017-08-02,03 - 80624998,NO. 12 JALAN UTAMA 2/20 TAMAN PERINDUSTRIAN PUCHONG UTAMA SEK 2 BATU 14 47100 SELANGOR
edie6858@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97416&sid=329E7189B5737680026E51A3111E9651,,PALM FIBER SDN. BHD.,'2017-08-02,03 - 89590220,BA-G-43 JALAN PINGGIRAN 1/5 TAMAN PINGGIRAN PUTRA SEKSYEN  43300 SELANGOR
alexwoonkk@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78032&sid=DD5B05CB518B70AE644A1DFDCB5F96F7,,JIN JADE FOOD INDUSTRY SDN BHD,'2017-08-02,04 - 7210588,"20A, LORONG BLM 1/11 BANDAR LAGUNA MERBOK SUNGAI PERTANI 08000 KEDAH"
info@infinitytrade.com.my,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=63617&sid=45DC0E6F532C1698D709B582F82F1563,,INFINITY TRADE SDN BHD,'2017-08-02,01 - 27070846,"ANSAR BIZ CENTRE, LOT 1B, PODIUM 1 MENARA ANSAR, NO.65, JALAN TRUS JOHOR BAHRU 80000 JOHOR"
markredlcsb@hotmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=74799&sid=8359C04F72CF065B8677EBA72894A5C6,,MARK RED LINK CARE (M) SDN BHD,'2017-08-02,03 - 80633383,"27, JALAN PUTERI 7/11 BANDAR PUTERI PUCHONG 47100 SELANGOR"
promanagesb@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96941&sid=A4DB71C7B3E6BC83382E1F4D5FC100FD,,BIG BRIDGE TRADING SDN BHD,'2017-08-02,03 - 89576828,B-4-13A STREET MALL ONE SOUTH JALAN OS TAMAN SERDANG PERDANA SEKSYEN 6 SERI KEMBANGAN 43300 SELANGOR
joanne@troisinternational.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=86977&sid=2F7D27530774F1E4A0EC4EB2587D6C93,,FIT STORIES SDN BHD,'2017-08-02,012 - 2580816,5 JALAN SERENDAH 26/40 KAW PERINDUSTRIAN HICOM SECTION 26 40400 SELANGOR
dannie9139@mdamarket.com.my,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97031&sid=40105DBFB9D0E33066F831975E991BFE,,MISSION A MARKETING,'2017-08-02,019 - 6757872,A-9-3 TAMAN SHAMELIN PERKASA JALAN 2/91A 56100 KUALA LUMPUR
hhazmanaziz@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97083&sid=83BC43809EDBB6A2043A97EAB69BD758,,IMP INTEGRATED MARKETING,'2017-08-02,03 - 79718940,LOT 205B LEVEL 2 FABER TOWERS TAMAN DESA 58100 KUALA LUMPUR
azzam@aikcheong.com.my,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=31258&sid=AD5B22B442368B300C28F2385FB93F62,,AIK CHEONG COFFEE ROASTER SDN BHD,'2017-08-02,06 - 3368833,"LOT 1-1, JALAN TTC 1 KAW PERINDUSTRIAN CHENG  75250 MELAKA"
info@philmal.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96925&sid=ACEAA3CA7C57219E8DD8B249135BBCFA,,PHIL MAL INTERNATIONAL (M) SDN BHD,'2017-08-02,03 - 76102040,SUITE 14-11 LEVEL 14 TOWER B WISMAN UOA 2 JALAN PINANG 50450 KUALA LUMPUR
catherine@goldchoice.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97268&sid=A5D6324BAF32A207E37C55ACB874CD86,,GOLD CHOICE BIOTECH SDN BHD,'2017-08-02,04 - 5070988,931 JALAN PERINDUSTRIAN BUKIT MINYAK 2 TAMAN PERINDUSTRIAN BUKIT MINYAK  14100 PULAU PINANG
kopitok.coffee@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97803&sid=8C07F85BEE9538E65AB7E0ED767A988D,,KOPITOK SDN BHD,'2017-08-02,011 - 36008008,NO 32 PERSIARAN PUTRA TAMAN PUTRA UTAMA  01000 PERLIS
enquiry@healthyremedyse7en.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97782&sid=2F4AE6935B8E3295630642C8AAF1821E,,RAYT ENTERPRISE SDN BHD,'2017-08-02,011 - 17230547,"6-LG, 6-G & 6-1 DATARAN MUTIARA JALAN 7/4 TAMAN SERDANG JAYA SERI KEMBANGAN 43300 SELANGOR"
sales.clinicalnutrition@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97771&sid=4A50F8E0390EB7540B5E954FA47A7506,,CLINICAL NUTRITION INTL (M) SDN BHD,'2017-08-02,03 - 90769007,NO 9 JALAN HIJAUAN RESIDEN 1A TAMAN HIJAUAN RESIDEN BATU 9 43200 SELANGOR
zk.jiayen@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92516&sid=F92650E56FF854C7D32600403D1D7427,,EXCELLENT BIRDNEST (M) SDN BHD,'2017-08-02,019 - 3983498,39B (2ND FLOOR) JALAN ALAM JAYA 17 TAMAN ALAM JAYA 43200 SELANGOR
management.alhaddadmfg@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94470&sid=BBF6572803FC244D24BD3D20A2E89CFC,,AL HADDAD MANUFACTURING SDN BHD,'2017-08-02,04 - 4404600,A2-2 KEDAH HALAL PARK KAWASAN PERINDUSTRIAN SG PETANI 08000 KEDAH
dillonyeap@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93547&sid=4237E35A58D28222DFD865E52AA1EF92,,BUSHIDO RESTAURANT (AUSTIN) SDN. BHD.,'2017-08-02,07 - 3626966,56 JALAN AUSTIN HEIGHTS 8/7 TAMAN MOUNT AUSTIN  81100 JOHOR
jsmajumarketingsdnbhd@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97074&sid=1CCBF15F6EEFBD273F42263DAB3C7690,,JS MAJU MARKETING SDN. BHD.,'2017-08-02,086 - 343325,NO 4 2ND FLOOR BINTULU CITY MALL PHASE 1 JALAN JOHARI SUNAM BINTULU 97000 SARAWAK
orotropicos@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79211&sid=9CAE35E202999F97739D7CB5139D6875,,ORO TROPICOS,'2017-08-02,01 - 74270381,"NO 81 LORONG 1, TAMAN SEJATI INDAH SUNGAI PETANI 08000 KEDAH"
oasis_media_adv@yahoo.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85908&sid=35EAD61E4792F50EF619BCC6C76DEED4,,SUEANNE TRADING SDN BHD,'2017-08-02,04 - 2264844,"72B, JALAN SULTAN AHMAD SHAH GEORGETOWN  10050 PULAU PINANG"
princess4047@yahoo.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=72921&sid=BFFF7A59B6B480770F8ED2A8683A8763,,DIAMOND INWORLD SDN BHD,'2017-08-02,03 - 61480050,"7A, JALAN TECKNOLOGY 3/9 SECTION 3, KOTA DAMANSARA PETALING JAYA 47810 SELANGOR"
pjcs.deborah@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97719&sid=0CF11648DF5A33A50BCDD584F9A702C2,,PJ CHAIN STORE PLT,'2017-08-02,03 - 78061668,E306 KELANA PARKVIEW NO 1 JALAN SS6/2 47301 SELANGOR
lihoong@livyoung.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87365&sid=A6565CE2BD6AD40EFE055284311C9FB3,,LIVYOUNG LIFESTYLE SDN BHD,'2017-08-02,012 - 5255778,"PLOT 314A, JALAN PERINDUSTRIAN BUKIT MINYAK 18, PENANG SCIENCE PARK, BUKIT MINYAK  14100 PULAU PINANG"
reg.eitscreentech@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97882&sid=F15FE974F27B09F8934EDDE7E4486526,,EIT SCREENTECH (M) SDN BHD,'2017-08-02,018 - 2017803,SUITE G-7 PV 12 PLATINUM LAKE NO 6 JALAN LANGKAWI TAMAN DANAU KOTA SETAPAK 53300 KUALA LUMPUR
terasgemilang@yahoo.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98325&sid=FEBE838E1FF9D026E968481396F5E9E3,,DOME ENTERPRISE,'2017-08-02,016 - 8286421,PETI SURAT 315 KUDAT SABAH 89058 SABAH
shanon_wong@yahoo.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=57269&sid=F163B529EFEBEFA193EB38CE92051B62,,THREE DIMENSION INTERNATIONAL SDN. BHD.,'2017-08-02,012 - 3339208,K5. SINARAN 1 14 PERSIARAN ANGGERIK VINILLA KOTA KEMUNING 40460 SELANGOR
jameschan@etikaholdings.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15511&sid=5EA4150E5E64E1CE1FEE859CCEB3C6AE,,ETIKA GLOBAL RESOURCES SDN BHD,'2017-08-02,03 - 33922988,"LOT LS-1, PERSIARAN SATU MERU INDUSTRIAL PARK OFF PERSIARAN HAMZAH ALANG, KLANG 42200 SELANGOR"
pakkeongfood@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92275&sid=E9A4A5513314E92AA3D6CB4463E807D3,,PAK KEONG FOOD INDUSTRIES SDN BHD,'2017-08-02,012 - 5193830,LOT PT 51670 HALA JATI 7 KAWASAN PERINDUSTRIAN TMN MERU JELAPANG IPOH 30020 PERAK
alan.ong@vitashine2u.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97342&sid=3457BCD631F517FC83E6995E0395BB29,,SBL HEALTHCARE SDN BHD,'2017-08-02,04 - 5833000,11 LORONG JAWI JAYA 3 TAMAN JAWI JAYA SUNGAI JAWI 14200 PULAU PINANG
khalidiikhsan.khi@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97338&sid=C0273A9564F12D872E3520FEFFE29E5B,,AL WAFI MARKETING SDN BHD,'2017-08-02,03 - 60571187,2A & 2A-1 JALAN MAHAGONI 7/2A SEKSYEN 4 BANDAR UTAMA BANDAR UTAMA BATANG KALI SELANGOR 44300 SELANGOR
syarikat.ameen@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78721&sid=F37976F5D71E6E6443DDD0EC50E977D6,,SYARIKAT AMEEN,'2017-08-02,012 - 3769098,"7, JALAN KASTAM TAMAN INDUSTRI RINGAN TELUK INTAN 36000 PERAK"
jjacadvent@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98736&sid=95C0B080DDA852E4971B95D030FB2C7C,,JJAC ADVENTURES SDN BHD,'2017-08-02,03 - 91078748,F-2-5 CANNAUGHT AVENUE JALAN 9 TAMAN BUKIT CHERAS CHERAS 56000 KUALA LUMPUR
amcmmsb@pd.jaring.my,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=69900&sid=E16FE602B462C572F8CD7A5247FC0D82,,AMECROWN MARKETING (M) SDN BHD,'2017-08-02,03 - 62430908,"A-G-O1, GRD FLR & A-1-01, FIRST FLR, BLOCK A 2, JLN VISTA MUTIARA, BATU 6 1/2 OFF JLN KEPONG 52000 KUALA LUMPUR"
info@acetech.com.my,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=65130&sid=DAC950BFA743D066884D7547A24EF0F2,,ACE TECH TRADING,'2017-08-02,016 - 3390836,"LOB 4, LEVEL 6 PORT KLANG FREE ZONE 42920 SELANGOR"
teckleong2011@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98433&sid=8F085FA1E20AB7D9B8D9670D825F3A6E,,TECK LEONG COFFEE & TEA MERCHANT (M) SDN. BHD.,'2017-08-02,06 - 3170532,NO 25 JALAN MJ53 TAMAN MERDEKA JAYA BATU BERENDAM 75350 MELAKA
ecoyoungsb@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92522&sid=C17AD3522549F65B759C087918CA0DCF,,ECO YOUNG SDN BHD,'2017-08-02,012 - 2235229,NO1 LORONG MELATI 1/1 TAMAN CEMARA SUNGAI PETANI 08000 KEDAH
aurawhite@ymail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98326&sid=BD62CB3D66FD519B9868F4489A8C3E0D,,AURA WHITE GLOBAL SDN BHD,'2017-08-02,03 - 90111114,NO 7 JALAN TEMENGGUNG 29/9 BANDAR MAHKOTA CHERAS CHERAS 43200 SELANGOR
orianehq@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98785&sid=1323FF2B8D1AA531BA50656EC29A7E9F,,ORKID BIRU ENTERPRISE,'2017-08-02,04 - 4917577,NO 6B KAMPUNG PAYA PADANG KULIM KELANG LAMA KULIM 09000 KEDAH
event4umalaysia@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98493&sid=558F5C84A164703AB0579D8C822BE725,,D LA FAZ ENTERPRISE,'2017-08-02,012 - 2986511,25 JALAN BKD 11 TAMAN BUKIT KATIL DAMAI 2 BUKIT KATIL 75450 MELAKA
accounts@mfd.com.my,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98966&sid=F7021917390E17DFFEDC27A63618615A,,MIKUNI FOOD DISTRIBUTION (M) SDN BHD,'2017-08-02,03 - 77849113,LOT 6 THE HIGHWAY CENTER JALAN 51/205 PETALING JAYA 46050 SELANGOR
aromapekan@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98481&sid=1DCD04D66E7FD1793E3C43EB397778CE,,AROMA PEKAN MARKETING,'2017-08-02,017 - 9023511,LOT 16331 JALAN BERNAM TANJUNG KARANG  45500 SELANGOR
CALIPRO.MARKETING@GMAIL.COM,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92628&sid=47A05E6C61DC33B331317DB5033D1710,,CALIPRO MARKETING SDN BHD,'2017-08-02,012 - 3313091,39B 2ND FLOOR JALAN ALAM JAYA 17 TAMAN ALAM JAYA BATU 8 CHERAS 43200 SELANGOR
tianlang1515@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=90264&sid=E033FD5478BB8BFFD28D813FCD53C575,,TIAN LANG SDN BHD,'2017-08-02,012 - 4856844,"18-13-G, GURNEY TOWER, PERSIARAN GURNEY, GEORGETOWN  10250 PULAU PINANG"
ariff.khan@outlook.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98566&sid=7B9E4D213197DF2E34EC8352F3F0006F,,KHALIFAH EKSKLUSIF SDN. BHD.,'2017-08-02,04 - 5394786,439 JALAN PERMATANG RAWA  14000 PULAU PINANG
khadeer.nc@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78047&sid=7120B7A2300D039F9A47BE45C4D32C44,,NATURECEUTICALS SDN BHD,'2017-08-02,04 - 4412009,"A1-1 & A1-2, LOT 5, PERSIARAN 2/1, KEDAH HALAL PARK, KAW PERINDUSTRIAN SP SUNGAI PETANI 08000 KEDAH"
kowyulin@gmail.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98525&sid=ECAD8B54001D550D3B6FD012437BCCBA,,ARISE CENTURY MARKETING SDN BHD,'2017-08-02,03 - 62508080,89-3 JALAN METRO PERDANA BARAT 1 TAMAN USAHAWAN KEPONG  52100 KUALA LUMPUR
admin@thoyyibpharma.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11331&sid=D500F8AABDAD4235BBE3325DDCDADBAF,,THOYYIB PHARMA INDUSTRIES (M) SDN BHD,'2017-08-02,06 - 7998369,"83 & 84, JALAN NILAI 3/23 NILAI 3 INDUSTRIAL PARK NILAI 71800 NEGERI SEMBILAN"
tmckl@hangtuahcoffee.com.my,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7062&sid=6FE097EDABCD2208BDE11E3091FE3E0C,,SYARIKAT HANG TUAH SDN BHD,'2017-08-02,603 - 42568043,"NO 1, JALAN AU2A/17 TAMAN SRI KERAMAT  54200 KUALA LUMPUR"
roslandmd@yahoo.com,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73849&sid=2443336F7F2259EBDCD4521CF8B00B52,,IMPERIA ASIA RESOURCES,'2017-08-02,01 - 93169008,WISMA IMPERIA ASIA RESOURCES 24 JALAN KLANG SENTRAL 2/KU5 KLANG SENTRAL 41050 SELANGOR
