EMAIL,FAILMSG,TEL,HREF,CONAME,DATE_SCRAPED,BIZADD 
shaharmdyunos@gmail.com,,03 - 26941877,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94477&sid=0FC9D5A7CDD8924329EBA0802B8F0427,SUMBER BIONANO TEKNOLOGI SDN BHD,'2017-08-04,NO 372 FIRST FLOOR JALAN TUANKU ABDUL RAHMAN  50100 KUALA LUMPUR
vanessa_tan@shenmao.com.my,,04 - 3995259,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6195&sid=4F611A58ADEBF1F6B01483FAA2D3C797,SHEN MAO SOLDER (M) SDN BHD,'2017-08-04,NO. 7 LORONG JELAWAT LAPAN KAW PERUSAHAAN SEBERANG JAYA  13700 PULAU PINANG
info@greeneagle.com.my,,03 - 80609921,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10878&sid=32AC16DEC5D67043F0DF9A6A50FD96A9,SIN SENG HUAT SEEDS SDN BHD,'2017-08-04,NO.6 JALAN BP 4/7 BANDAR BKT PUCHONG PUCHONG 47100 SELANGOR
candlepitstop@gmail.com,,019 - 3252936,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=106078&sid=4F20F933835447149653A8CAFB3EA79F,CPS WAXBITZ SDN BHD,'2017-08-04,UNIT 15 ARA BANGSAR LOT 1 JALAN KAPAS BANGSAR 59100 KUALA LUMPUR
izzani@samchem.com.my,,03 - 57402000,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5947&sid=157B9ED87BA6A1A7EA60E021714564B1,SAMCHEM SDN BHD,'2017-08-04,LOT 6 JLN SUNGAI KAYU ARA 32/39 SECTION 32 SHAH ALAM 40460 SELANGOR
xaviersoh@miracon.com.my,,03 - 89419918,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8895&sid=005AF3E23D89BD487FA85F4AF5D99A83,MIRACON (M) SDN BHD,'2017-08-04,"LOT 1776,  JALAN KPB2 KAW PERINDUSTRIAN BALAKONG, P.O BOX 29, BALAKONG SERI KEMBANGAN 43300 SELANGOR"
ifnuhakimmicroclear@gmail.com,,380 - 4353,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98029&sid=2AC3E6C0C21E178E5243AB903C0F1359,MICROCLEAR SDN BHD,'2017-08-04,"BLOK 3A-1, UTM-MTDC TECHNOLOGY CENTER, TECHNOVATION PARK, 81310 SKUDAI, JOHOR  81310 JOHOR"
al@entogenex.com,,03 - 62035531,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=38490&sid=093378BB784AC853FFAB24CD0DBC6FFE,ENTOGENEX INDUSTRIES SDN BHD,'2017-08-04,SUITE D-3A-8 PLAZA MONT KIARA NO 2 JLN KIARA 50480 KUALA LUMPUR
chinweeyee@gmail.com,,05 - 8491394,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60759&sid=9DE1ADC131E73C5594F825F4D6CE3AB4,TAIPING UZAI TRADING SDN BHD,'2017-08-04,"NO.6 LORONG 3, TMN PERUSAHAAN PERKHIDMATAN PENGKALAN TAIPING 34000 PERAK"
cnycesb@gmail.com,,089 - 761191,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9938&sid=86C49411CC1BD084A212B05DF02DB047,SEN CHING KIMIA SDN BHD,'2017-08-04,"TB3504 PERTAMA COMMERCIAL CENTRE W.D.T. 265, TAWAU 91000 SABAH"
rspp@ron-seng.com.my,,03 - 62510100,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4529&sid=DC3BFF7F8C04EB73E71B60BD969D68A2,RON-SENG PAPER PRODUCTS SDN BHD,'2017-08-04,NO23 JALAN SIBU 17 TAMAN WAHYU BATU 6 JALAN IPOH 68100 KUALA LUMPUR
john.wong@wbcoatings.asia,,03 - 51611318,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=107151&sid=3677F0325D69B90CD6CD131C37221606,WB COATINGS ASIA SDN BHD,'2017-08-04,LEVEL 7 MENARA MILENNIUM JALAN DAMANLELA PUSAT BANDAR DAMANSARA DAMANSARA HEIGHTS 50490 KUALA LUMPUR
mmigsb@megamount.com,,07 - 5998388,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5679&sid=6E9A87C0D65527FA351A0DEDD1118059,MEGA MOUNT INDUSTRIAL GASES SDN BHD,'2017-08-04,PLO 192 KAW PERINDUSTRIAN SENAI IV JLN SIBER 8 SENAI 81400 JOHOR
kl@beye.com.my,,03 - 80631381,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=107161&sid=BBF40D91B49C2B9F6B57AFD83A665361,BEYE ALUMINIUM TRADING (KL) SDN BHD,'2017-08-04,NO 30 JLN BP 5/2 BANDAR BUKIT PUCHONG PUCHONG 47120 SELANGOR
chemitone@gmail.com,,19 - 3535039,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=107160&sid=2ED064DECBB5C472AD1918B673731606,CHEMITONE SDN BHD,'2017-08-04,48 JALAN USAHAJAYA KAWASAN PERINDUSTRIAN RINGAN USAHAJAYA SIMPANG AMPAT 14100 PULAU PINANG
admin@kenrichchemical.com,,03 - 55116113,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12040&sid=9B84E1D60A2AA414EDB5004E4FD03A9D,KEN-RICH CHEMICAL PRODUCTION SDN BHD,'2017-08-04,"WISMA KEN-RICH BLOK 3, JALAN HALBA 16/16 SHAH ALAM 40200 SELANGOR"
ck.chang@mcclabel.com,,03 - 62772000,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11322&sid=04EDF69C154FE18992DD0D0FC0417197,SUPER LABELS INDUSTRIES SDN BHD,'2017-08-04,NO.611 JLN 22 TMN PERINDUSTRIAN EHSAN JAYA KEPONG 52100 KUALA LUMPUR
ccmsb1@hotmail.com,,03 - 80707088,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=90610&sid=D459E6EEEE608E0EC75FBB6E979E7CBC,BIOGREEN GOOD ACRES PEPPER GARDEN SDN BHD,'2017-08-04,23-3 JALAN KENARI 19A BANDAR PUCHONG JAYA SELANGOR DARUL EHSAN 47100 SELANGOR
gnn@gnnh.com,,03 - 56351633,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3308&sid=D7E49BB713C669594406752F7AD10A3A,GREEN & NATURAL SDN BHD,'2017-08-04,"LOT 39, JLN SS 18/6 SUBANG JAYA  47500 SELANGOR"
Cambridge_technology@yahoo.com,,03 - 77844215,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4031&sid=7435E210FBD3D9A8CD6EEE4D2F280FB3,CAMBRIDGE TECHNOLOGY SDN BHD,'2017-08-04,NO.42A JALAN HUJAN RAHMAT 2 TAMAN OUG  58200 KUALA LUMPUR
admin@concordchemicals.com,,03 - 78768769,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4124&sid=5E77971359BDDD5D6AAB394634D1B1A6,CONCORD CHEMICALS CORPORATION SDN BHD,'2017-08-04,NO.22 JLN SS 4/17 PETALING JAYA  47301 SELANGOR
sunbeamkimia8@gmail.com,,03 - 92815770,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=106057&sid=1C759A0A142CA5D0498307BB00EF0280,SPEEDCHEM CORPORATION SDN BHD,'2017-08-04,8 JALAN INDAH 2/2 TAMAN AMPANG INDAH  6800 SELANGOR
ck@ics-masterbatches.com,,03 - 80711067,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60799&sid=4C646942545B5CCF73D27A06848B0A8D,INTEGRATED COLOUR SYSTEM SDN BHD,'2017-08-04,"LOT 5F-18 IOI BUSINESS PARK, 1 PERSIARAN PUCHONG JAYA SELATAN PUCHONG 47170 SELANGOR"
addoilkl@gmail.com,,03 - 61204886,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12672&sid=DD5B0F678804EEFE7D625986ED195EED,ADD OIL (M) SDN BHD,'2017-08-04,NO.23 JALAN SU 27 TAMAN SELAYANG UTAMA INDUSTRIAL PARK SELAYANG 68100 SELANGOR
 bp_a_e@yahoo.com,,088 - 499111,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13298&sid=509B52410BB02E75CE32119512B6DFB3,BP ALUMINIUM EXTRUSSION SDN BHD,'2017-08-04,P.O. BOX 13420 KOTA KINABALU  88838 SABAH
Iisb_hr@yahoo.com,,03 - 60752067,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4306&sid=42F9EE191F4193100D1E5A7B5FAC386B,INTERCEDAR INDUSTRY (M) SDN BHD,'2017-08-04,"LOT 1339, 29TH MILE, MUKIM ULU YAM BATANG KALI 44300 SELANGOR"
sales@aquakimia.com.my,,03 - 56332688,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9600&sid=32910816930682FB386A0C34B758BA86,AQUAKIMIA SDN BHD,'2017-08-04,LOT 803 JLN SUBANG 5 TMN PERINDUSTRIAN SUBANG SUBANG JAYA 47610 SELANGOR
info@asachem.com,,03 - 87345998,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11381&sid=4E37A5273C81E056E375CE0E6D6DFB3D,ASACHEM (M) SDN BHD,'2017-08-04,"NO.3 1ST FLOOR, JLN SECTION 3/8 KAJANG UTAMA KAJANG 43000 SELANGOR"
kkbeb@kkbeb.com.my,,082 - 333877,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13015&sid=EA7454960410DFF8B1570A0AD8E80D6D,KKB ENGINEERING BERHAD,'2017-08-04,"LOT 865 SECTION 66, JLN KILANG BINTAWA INDUSTRIAL ESTATE KUCHING 93450 SARAWAK"
khseah@henghiap.com.my,,07 - 2562886,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6256&sid=89CBDA11110B6F289124CF6A81051B44,HENG HIAP INDUSTRIES SDN BHD,'2017-08-04,"PLO 138, JALAN NIBONG KAWASAN PERINDUSTRIAN TANJUNG LANGSAT PASIR GUDANG 81700 JOHOR"
mubiplas@yahoo.com,,03 - 61855103,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=41371&sid=BA6A3E55A0B1CA373762934C70A28C70,MUBIPLAS INDUSTRIES SDN BHD,'2017-08-04,5 JALAN 31/10A TAMAN PERINDUSTRIAN IKS MUKIM BATU 68100 KUALA LUMPUR
sapari-mdsani@marubeni.com,,03 - 20781688,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=40763&sid=FB4509ABD27447EFC259CF82D245D1C0,DAGANG TERUS SDN BHD,'2017-08-04,"5 FLOOR, UBN TOWER 10 JLN P.RAMLEE 50250 KUALA LUMPUR"
hyrax@hyraxoil.com,,03 - 21635893,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10230&sid=38B32FA76267D5065BFE6BAD9AF3E618,HYRAX OIL SDN BHD,'2017-08-04,"A-8-1, MEGAN AVENUE II 12 JLN YAP KWAN SENG  50450 KUALA LUMPUR"
enquiry@hiaphuat.com,,03 - 21069866,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73191&sid=BFC240757C717B4C711AF638A897D44B,HIAP HUAT CHEMICALS SDN BHD,'2017-08-04,"D-22-07 SUNWAY NEXIS NO 1, JALAN PJU5/1 KOTA DAMANSARA, PETALING JAYA 47810 SELANGOR"
info@esonaonline.com,,03 - 42955566,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=56927&sid=3B7931220C600FA95C9271828B1F8E40,ESONA TECHNOLOGIES SDN BHD,'2017-08-04,NO.46 JALAN 1 TAMAN INDUSTRI PANDAN INDAH PANDAN INDAH 55100 KUALA LUMPUR
enquires@greenconcepttech.com,,03 - 31650893,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=50745&sid=9D13FECCA86B01C68D0EC0D888C2D1EC,GREEN CONCEPT TECHNOLOGY SDN BHD,'2017-08-04,"LOT P.T 14277, JLN PERINDUSTRIAN 26 KAW 11, JLN BANTING PENDAMARAN, PELABUHAN KLANG 42000 SELANGOR"
info@deleum.com,,03 - 22957788,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=89916&sid=603158B60701C262A810490BB6C4CF5F,DELEUM CHEMICALS SDN BHD,'2017-08-04,NO. 2 JLN BANGSAR UTAMA 9 BANGSAR UTAMA 59000 KUALA LUMPUR
shirley@da-supply.com,,07 - 5952548,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=105205&sid=74A909A9A0F31CEADF9B6D30EEAD001C,D & A INDUSTRIAL SUPPLY SDN BHD,'2017-08-04,NO 21 JALAN EKOPERNIAGAAN1/8 TAMAN EKOPERNIAGAAN JOHOR BAHRU 81100 JOHOR
karci@tm.net.my,,03 - 51217729,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15998&sid=C42BA9490E7461830BC71C2D4F6D6AC8,KARCI JAYA ENTERPRISE SDN BHD,'2017-08-04,"69 JALAN TABLA 33/21 SHAH ALAM TECHNOLOGY PARK SECTION 33, SHAH ALAM 40400 SELANGOR"
agussahar@gmail.com,,09 - 5722161,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=37114&sid=7BE833E50B3593FCB5D08486D1E2BE96,MY SYNERGY FACTORS (M) SDN BHD,'2017-08-04,"A-5, TINGKAT 1, JALAN IM 3/11, BIM POINT BANDAR INDERA MAHKOTA KUANTAN 25150 SELANGOR"
nes_manufacturing@hotmail.com,,05 - 8915884,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=52480&sid=5529578112B1EC4DB33407AE6F7DA537,NES MANUFACTURING (M) SDN BHD,'2017-08-04,"BLOK C LOT 5658,JALAN PERUSAHAAN 1 KAMUNTING INDUSTRIAL ESTATE MUKIM ASSAM KUMBANG 34600 PERAK"
rpa@reka-n.com,,03 - 61864513,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76063&sid=4D6E20866005E5F9D92F348EED981DE0,RICCA PEACOCK ASIA SDN BHD,'2017-08-04,LOT 17 JLN DDP 3 DOLOMITE BUSINESS PARK BATU CAVES 68100 SELANGOR
general@eureka-synergy.com,,06 - 6338239,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=104578&sid=62E41E73BA09631B2C520CEC25DC30BB,EUREKA SYNERGY SDN BHD,'2017-08-04,NO 41 2ND FLOOR JALAN MPK 4 MEDAN PERDAGANGAN KEPAYANG SEREMBAN 70300 NEGERI SEMBILAN
sales@rakannusa.com.my,,09 - 5837688,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13593&sid=BB83ED82F5DB890AFFF4E37844DD1792,RAKANNUSA CORPORATION (M) SDN BHD,'2017-08-04,LOT 125 JALAN GEBENG 2/2 KAWASAN PERINDUSTRIAN GEBENG KUANTAN 26080 PAHANG
enquiry@klkoleo.com,,03 - 78098833,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14337&sid=00A4BED1032EEB13E3DA9C62D4498DA1,KL-KEPONG OLEOMAS SDN BHD,'2017-08-04,"LEVEL 8 MENARA KLK NO. 1 JLN PJU 7/6, MUTIARA DAMANSARA PETALING JAYA 47810 SELANGOR"
chung.yc@msmelt.com,,03 - 21669260,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=107222&sid=7C42EE801D4D5841595401946904DF09,MALAYSIA SMELTING CORPORATION BERHAD,'2017-08-04,B-15-11 BLOCK B 15TH FLOOR UNIT 11 MEGAN AVENUE II 12 JALAN YAP KWAN SENG 50450 KUALA LUMPUR
sales@eloduniamfg.com.my,,03 - 80602503,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=43654&sid=3AA53756CBE11736FA865A3D9C44F029,ELO DUNIA MANUFACTURING (M) SDN. BHD,'2017-08-04,NO.10 JALAN TPP 1/6 TAMAN INDUSTRI PUCHONG PUCHONG 47160 SELANGOR
account@freshcleancare.com,,03 - 77344936,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=105483&sid=4D28BD0F094C6DDDCBAC04BFB46969C2,FRESH CLEANCARE SDN BHD,'2017-08-04,NO 22-24 JALAN BULAN U5/171 TAMAN PINGGIRAN SUBANG U5 SHAH ALAM 40150 SELANGOR
dsp@dansonpack.com,,03 - 51928999,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15884&sid=77B7C78DFFBBB999FD18141587A47532,DANSONPACK SDN BHD,'2017-08-04,"NO.5 JLN SU 8 TMN PERINDUSTRIAN SUBANG UTAMA SECTION 22, SHAH ALAM 40000 SELANGOR"
info@ananosphere.com,,011 - 15510868,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79229&sid=FD4A80B780276AF80F2CF8095C09AF1F,ANANO SPHERE SDN BHD,'2017-08-04,"D36-06, BLOCK D, PJ8 SERVICE SUITES NO.23 JALAN BARAT, SEC 8 PETALING JAYA 46050 SELANGOR"
sales@ytenterprise.com.sg,,07 - 7766993,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=58733&sid=3990808BF4EF2C636C693C45C33E2FB3,Y & T ENTERPRISE SDN BHD,'2017-08-04,"NO.7, 1ST FLOOR JLN DESA 5/3 TMN DESA KLUANG 86000 JOHOR"
info@chuanplus.com,,03 - 89618110,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13633&sid=199CCCE5285D39CA8397E9FC3591AB38,CPI POLYMERS SDN BHD,'2017-08-04,NO.7 JALAN PERUSAHAAN 3 TAMAN INDUSTRI SELESA JAYA OFF JALAN BALAKONG 43300 SELANGOR
shan@jasanga-malaysia.com,,03 - 51222770,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95757&sid=156BF58741D0EEE5A525A0E65A94CCD4,JASANGA (M) SDN BHD,'2017-08-04,NO 13 JALAN RAHMAT 25/75 TAMAN SRI MUDA SHAH ALAM 40400 SELANGOR
alex@wilayahpasifik.com,,03 - 61575936,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=107314&sid=FA7EC0CDC175D83B1DEC5EA1AB8191C3,WILAYAH PASIFIK SDN BHD,'2017-08-04,18 JALAN TEKNOLOGI 3-1 SEK 3 KOTA DAMANSARA 47810 SELANGOR
sales@i-chemsolution.com,,03 - 80621686,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14259&sid=CBE6F7AA7CCCE50DD1B976B9E8255D86,I-CHEM SOLUTION SDN BHD,'2017-08-04,"NO. 2 JLN TPP 5/16 TMN PERINDUSTRIAN PUCHONG PUCHONG, SELANGOR 47160 SELANGOR"
ywtan@greenfeed.com.my,,03 - 22018135,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12894&sid=2BEE94BF97DAA7DD7642928EAAE30086,CYMAX INDUSTRY SDN BHD,'2017-08-04,9-7 7TH FLOOR THE BOULEVARD MID VALLEY CITY LINGKARAN SYED PUTRA 59200 KUALA LUMPUR
sam@temasekgrowth.my,,03 - 78877575,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=57345&sid=5B7AE710006589AFB1E9C1677B797BA4,TEMASEK GROWTH,'2017-08-04,"J-03A-2, JALAN SS6/18, DATARAN GLOMAC, KELANA JAYA PETALING JAYA 47301 SELANGOR"
alicechu@vapro.com.my,,03 - 33728200,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76240&sid=4D35D55C21B2E61E04F90A6E820AAC64,WORLDWIDE TRACTORS SDN BHD,'2017-08-04,"NO. 14, GROUND FLOOR JLN ASAM TMN SELATAN 41200 SELANGOR"
nixon@winko.com.my,,03 - 31679886,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95530&sid=858D22EABECBBE3442F3F717844B9FB4,WINKO MARKETING SDN BHD,'2017-08-04,"LOT 21,LENGKOK OSELAT SELATAN 12, CEMPAKA EMAS IND.PART, PANDAMARAN PORT KLANG 42000 SELANGOR"
jseow@pd.jaring.asia,,03 - 95430911,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14165&sid=861BE7227E55E6CCFFE4E372A3A9B7E6,BORDER SOURCING,'2017-08-04,20-2 JLN 3/1A TAMAN KEPONG INDAH  52100 KUALA LUMPUR
inquiry.cyt@lipidchem.com,,07 - 3865991,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11025&sid=766EE8A1B4579DCA191DFCFA0324399D,LIPIDCHEM SDN BHD,'2017-08-04,"NO.9 JLN BKT 2, KAW MIEL,FASA VII BANDAR SERI ALAM,  MASAI JOHOR BAHRU 81750 JOHOR"
info@solidium.com.my,,03 - 80663911,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7283&sid=BFB30380D8D57CBAFB72CE4606AD11D4,SOLIDIUM SDN BHD,'2017-08-04,"NO. 18, JALAN INDUSTRI MAS 14, TAMAN MAS PUCHONG 47130 SELANGOR"
info@nhoservices.com,,03 - 21443640,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=81616&sid=C03E8F5C361BC9EF67F07CE0B7168168,NEW HORIZONS ENERGY SERVICES SDN BHD,'2017-08-04,12A JLN MESRA  55000 KUALA LUMPUR
cheemang@penchem.com,,04 - 5015976,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4895&sid=C95C8C76341F68D9DBC0B82091D5FEE7,PENCHEM INDUSTRIES SDN BHD,'2017-08-04,"1015 JLN PERINDUSTRIAN BUKIT MINYAK 7 KAWASAN PERINDUSTRIAN BUKIT MINYAK MUKIM 13 BUKIT MERTAJAM, SEBERANG PERAI TENGAH 14100 PULAU PINANG"
sales@suriachem.com,,03 - 31631386,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6800&sid=1DBCE9925F098E6A686A60061F9A5935,SURIACHEM SDN BHD,'2017-08-04,"LOT 14321 JLN PERUSAHAAN 24 KG IDAMAN, PANDAMARAN PELABUHAN KLANG 42000 SELANGOR"
kcc@iglcoatings.com,,017 - 8888289,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82761&sid=4DF6D3F98D84059025769DEFD3A7639E,OMINENT SDN BHD,'2017-08-04,"6, JALAN PARA U8/103  BUKIT JELUTONG 40150 SELANGOR"
enquiry@komark.com.my,,03 - 90803333,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7408&sid=C95DBAE377A41179BA20AD98A6634CCC,KOMARK INTERNATIONAL (M) SDN BHD,'2017-08-04,"LOT 132, JALAN 16/1 KAW PERINDUSTRIAN CHERAS JAYA BALAKONG 43200 SELANGOR"
yetmee@gmail.com,,012 - 3293038,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=83435&sid=CDD6D643B3B08AFF877D452B4DE8B29B,MAYPREEN SDN BHD,'2017-08-04,2 JALAN INDUSTRI USJ1/13 TAMAN PERINDUSTRIAN USJ 1 47600 SELANGOR
beebee_tay@kyzen.com,,04 - 6303000,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78210&sid=BF57CD731A2F7B1C10E96239F2345011,KYZEN SDN BHD,'2017-08-04,"PLOT 47, HILIR SUNGAI KELUANG 2 PHASE 4, BAYAN LEPAS IND. PARK 11900 PULAU PINANG"
bruce@lubrimaxx.com,,03 - 55112346,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=41354&sid=3BFA8D85AD401355FD759ED888CA9899,LUBRIMAXX MANUFACTURING SDN BHD,'2017-08-04,10 JALAN DAWAI 16/2 SEKSYEN 16 SHAH ALAM 40200 SELANGOR
margaret-lee@chori.co.jp,,03 - 21622773,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4570&sid=9D21FB6903672837607E1DFFFE89041C,CHORI TRADING (M) SDN.BHD.,'2017-08-04,SUITE 13A.04 13A FLOOR WISMA MCA NO.163 JALAN AMPANG KUALA LUMPUR 50450 KUALA LUMPUR
kslee@doublecorporate.com,,09 - 2778389,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=81748&sid=703F80D6DA2A6DD568857FE14CE60B04,DOUBLE CORPORATE SDN BHD,'2017-08-04,"38, JLN INDUSTRI 3/1 TAMAN PERINDUSTRIAN TEMERLOH MENTAKAB 28400 PAHANG"
sharon.teh@claris.com.my,,03 - 78427377,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73172&sid=2802E7DDADD54A2E696CB922F4D194CA,CLARIS CHEMICALS SDN BHD,'2017-08-04,"LOT D12-1-1, BLOCK D12 DANA 1 COMMERCIAL CENTRE JALAN PJU 1A/46 47301 SELANGOR"
inquiry@imec.com.my,,03 - 87349255,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11578&sid=671A6443DFE6A443B5F5CF47407DD0A9,IMEC HYGIENE SDN BHD,'2017-08-04,"33 & 35 JALAN BA 2/1 KAWASAN PERINDUSTRIAN BUKIT ANGKAT SUNGAI CHUA, KAJANG 43000 SELANGOR"
info@jadi.com.my,,03 - 78040333,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79660&sid=E3979B3F623A6217D1DCB228C52ECFBA,JADI CHEMICALS SDN BHD,'2017-08-04,"1, JLN PEGUAM U1/25A HICOM GLENMARIE INDUSTRIAL PARK SECTION U1, SHAH ALAM 40150 SELANGOR"
jes_global@yahoo.com,,03 - 31657911,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=37746&sid=E031B3A75CC7F9ABF6F3BE5A40B02AD6,JES GLOBAL (MALAYSIA) SDN BHD,'2017-08-04,LOT 14361 JALAN PERUSAHAAN 20 KAWASAN INDUSTRI PANDAMARAN PORT KLANG 42000 SELANGOR
sean.lai@azelis.com,,03 - 55259188,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96025&sid=5784F8FEA17E212B5CB1D607382942AB,AZELIS MALAYSIA SDN BHD,'2017-08-04,"NO 51-1 JALAN ANGGERIK ARANDA BG 31/BG KOTA KEMUNING SEKSYEN 31, SHAH ALAM 40460 SELANGOR"
wyeehunka@msn.com,,05 - 8491394,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=41188&sid=8040DB3095F072DE5C57B9767F587F30,HUNKA TRADING SDN BHD,'2017-08-04,PLOT C JLN RAJA MUDA POKOK ASSAM  34000 PERAK
ezyclean@hotmail.com,,04 - 6491722,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5853&sid=381291954CB67244154476E6C444B41F,NI CAPTURE SDN BHD,'2017-08-04,"LOT 1017, MUKIM 9 KAMPUNG PAYA BAYAN LEPAS TELUK KUMBAR  11920 PULAU PINANG"
goldchainprestige@gmail.com,,012 - 4738038,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=75856&sid=DC1F0983D6589DBF0B1CE0143ECAE00D,GOLD CHAIN PRESTIGE (M) SDN BHD,'2017-08-04,"11A, JALAN NILAM BAGAN AJAM BUTTERWORTH 13000 PULAU PINANG"
