EMAIL,DATE_SCRAPED,HREF,CONAME,BIZADD,FAILMSG,TEL,
ws@lineardms.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88546&sid=C87B6DCB267726AD7A8A45E82465BAB0,LINEAR DMS SOLUTIONS SDN BHD,135 JALAN UTARA BUKIT GELUGOR 11700 PULAU PINANG,,04 - 6606777,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
jessie@ts-solartech.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=61786&sid=2C9A7EBD3C85BF004CC9E7AA8AEF235E,TS SOLARTECH SDN BHD,"PLOT 320, JALAN PERINDUSTRIAN BUKIT MINYAK 8 PENANG SCIENCE PARK, BUKIT MINYAK MK13, SEBERANG PERAI TENGAH 14100 PULAU PINANG",,04 - 5015545,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
consultant.dge@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88496&sid=E8F8A8070C6778B4D7C7CD8344E7AB95,DELTA GREEN ENERGY SDN BHD,"1 JALAN FIRUS TIGA 7/7C, SECTION 7 SHAH ALAM 40000 SELANGOR",,03 - 87517871,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
khairil@my-ms.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4557&sid=36FE72ECAB9F7BBB1F57BCA6B493E223,MALAYSIA MICROELECTRONIC SOLUTIONS SDN BHD,"UNIT 16-4, 4TH FLOOR, GALLERIA@CYBERJAYA JALAN TEKNOKRAT 6, CYBER 5 63000 SELANGOR",,603 - 88009851,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
ghazali.mahmood@qeosystems.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=72609&sid=FAE24D41FA6C000739FE9C9004680D84,QUANTUM ELECTRO OPTO SYSTEMS SDN BHD,"LOT 10, PHASE III BATU BERENDAM FTZ  75350 MELAKA",,06 - 2849642,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
fida@sealcable.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=89857&sid=10A0DACF673B4E9134A01413F70DF562,SEAL CABLE ENGINEERING SDN BHD,"12, JALAN BAYU 4 BANDAR SERI ALAM JOHOR BAHRU 81750 JOHOR",,07 - 3881305,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
akmar@selia-tek.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11984&sid=BF38BA8F31772C4DA08A747D6EC4FE09,SELIA-TEK SDN BHD,"NO. 6, 8, 10 & 12, JALAN MARIKH U5/175 BANDAR PINGGIRAN SUBANG SHAH ALAM 40150 SELANGOR",,03 - 78456251,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
malikihanizah99@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=90441&sid=B60E236D89A023F27FDBB7B836DFD94C,SBM MAJU JAYA ENTERPRISE,LOT 1982 LORONG GAGAK DURIAN BURUNG 20050 TERENGGANU,,011 - 12164993,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
sales@matrixpower.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=59719&sid=36C2BECC92EFF459793F83F0A85E584A,MATRIX POWER NETWORK SDN BHD,"LOT 6 JALAN P1A SEKSYEN 13, KAW PERINDUSTRIAN BANGI 43650 SELANGOR",,03 - 89264941,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
hra_crm@creden.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11956&sid=0AB0ECFBEDB814C0B50E6E612635D370,CREDEN MECHATRONIC SDN BHD,"9, JALAN JURUUKUR U1/19 HICOM GLENMARIE INDUSTRIAL PARK SHAH ALAM 40150 SELANGOR",,03 - 58826060,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
junieoo_ppc@kobaytech.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11093&sid=8EE9ECCC5C81614A99D5DC8CF0879B9C,PARADIGM PRECISION COMPONENTS SDN BHD,"PLOT 83, MEDAN BAYAN LEPAS BAYAN LEPAS INDUSTRIAL PARK PHASE IV BAYAN LEPAS 11900 PULAU PINANG",,04 - 6420270,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
elratechnologies@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92549&sid=CBB05FCA95CE515BFB0B9191E7436E50,ELRA TECHNOLOGIES SDN BHD,LOT 1584 KAMPUNG PARIT TENGAH LAUT PARIT JAWA MUAR 84150 JOHOR,,06 - 9875818,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
sales@vsdautomation.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92910&sid=703D42D974941F28EE6A1E8FA0C1BBC8,VSD AUTOMATION SDN BHD,NO 9 JALAN ANGGERIK MOKARA 31/52 KOTA KEMUNING SHAH ALAM 40460 SELANGOR,,03 - 51228860,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
corporate@nationgate.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=83239&sid=9C3E575D4AD3071CFE965634DD782157,NATIONGATE SOLUTION (M) SDN BHD,1413 SOLOK PERUSAHAAN SATU KAWASAN PERINDUSTRIAN PERAI PERAI 13600 PULAU PINANG,,04 - 3989001,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
info@ultratech.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93624&sid=8B43EC04C4D8B9E711DA7ADE1770003E,ULTRA IMPACT TECHNOLOGIES SDN BHD,LOT 8-01 LEVEL 8 WISMA COSWAY JALAN RAJA CHULAN 50200 KUALA LUMPUR,,016 - 2422811,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
rema@msubstrates.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93685&sid=2B68576B643AD7F669007B31B25EAF0C,MILLENNIUM SUBSTRATES SDN BHD,NO 2-4-6 LINTANG BERINGIN 6 DIAMOND VALLEY INDUSTRIAL PARK OFF JALAN PERMATANG DAMAR LAUT 11960 PULAU PINANG,,04 - 6386438,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
nionsmaster@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93621&sid=919C6B1CE583168DC9143CB781ADA60F,N IONS MASTER,58A JALAN PARIT KANGKONG BUKIT PASIR BATU PAHAT 83000 JOHOR,,07 - 4313969,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
info@g-texsb.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=89635&sid=8E4D4BC0E93D842AA86E05122B145087,G-TEX COMMUNICATION & ENGINEERING SDN BHD,"NO 39 & 40 JALAN BIDARA 2/6 TAMAN BIDARA, BATU CAVES 68100 SELANGOR",,03 - 61385598,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
michellekoh@mastertec-wirecable.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15566&sid=830A4F4C35A6E87A424402688267433D,MASTER TEC WIRE & CABLE SDN BHD,RM 1299-A KAWASAN PERINDUSTRIAN REMBIA ALOR GAJAH 78000 MELAKA,,06 - 3161111,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
leh@jssm.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93904&sid=1C4F98DECDC3B86D34149068795669C6,JFE SHOJI STEEL MALAYSIA SDN BHD,PT 5021 JALAN 27/90 SECTION 27 HICOM INDUSTRIAL AREA SHAH ALAM 40400 SELANGOR,,03 - 51911125,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
zennhrbsb@yahoo.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=64717&sid=FFF30F580DF0E1C27AAE2C99CFAA65A5,ZENN HRB SDN BHD,"LOT 139494 KAW PERUSAHAAN PENGKALAN PEGOH, PERSIARAN LAHAT UTAMA, OFF JALAN PENGKALAN, LAHAT, IPOH 31500 PERAK",,05 - 3229022,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
sales@iprometal.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93981&sid=710BEC70611E7ED4CE043F25443B4FE2,IPRO PRECISION SDN BHD,LOT 7 JALAN P 4/6 SEKSYEN 4 BANDAR TEKNOLOGI KAJANG 43500 SELANGOR,,03 - 87240987,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
vincent@wintech.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13090&sid=D903B00D24B34E5CBC509E104ACA17C0,WINTECH METAL PROCESSING SDN BHD,"LOT 5172, BALAKONG JAYA LIGHT INDUSTRY SERI KEMBANGAN  43300 SELANGOR",,03 - 89616671,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
jessie@thermohygro.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=33807&sid=08195DE467DB7F75FC3248365D22AB1E,THERMO INTEGRA SDN BHD,"2A-B JALAN  TEKNOLOGI 3/1 SUNSURIA INDUSTRIAL PARK KOTA DAMANSARA, PETALING JAYA 47810 SELANGOR",,03 - 61507898,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
anna@bsli.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=71818&sid=0C059C2C688C95C47806F726A965D4CF,BAN SENG LEE INDUSTRIES SDN BHD,"LOT 4220, PERSIMPANGAN JALAN BATU ARANG LEBUHRAYA PLUS RAWANG 48000 SELANGOR",,03 - 60919148,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
jonathanling@markmrtm.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88280&sid=8B6FAFEEA3DABFD68FCC9BE5528D5D17,MARK MARITIME SDN BHD,"1ST FLOOR, NO.7,LANE PAHLAWAN 7G JAYA LI HUA COMMERCIAL CENTRE SIBU 96000 SARAWAK",,084 - 219146,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
bts@bumitek.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94228&sid=5E3484B6B554913988E68DE288F8E392,BUMI TEKNIKAL SOLUTION SDN BHD,22 JALAN BP 5/8 BANDAR BUKIT PUCHONG PUCHONG 47100 SELANGOR,,03 - 80681663,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
billionlumen@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94893&sid=9C712BEEE763A786A5007388220808F8,BILLION LUMEN SOLUTION (M) SDN BHD,4 JALAN JASA MERDEKA 10 KAWASAN PERINDUSTRIAN RINGAN BATU BERENDAM 75350 MELAKA,,06 - 3174784,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
ivancity2@yahoo.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93679&sid=2ACA143283DA334B8DE1DA0CFC8DA1B5,E S L LIGHTING (M) SDN BHD,NO19 19-1 19-2 JALAN PDR 6 KAWASAN PERNIAGAAN DESA RIA BALAKONG SERI KEMBANGAN 43300 SELANGOR,,03 - 89612308,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
info@infinity-platinum.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94614&sid=AE2E408A59AF3CC3300B686AD6C5707D,INFINITY PLATINUM (M) SDN BHD,SUITE 18.1 MENARA GENESIS (HSBC TOWER) 33 JALAN SULTAN ISMAIL 50250 KUALA LUMPUR,,03 - 21412682,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
WKQueck@marellimotori.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76580&sid=38D3E3E3741C7514C4963B0A37A4D2E9,MARELLI ASIA PACIFIC SDN BHD,"LOT PT.NO. 5038 TO 5041 JALAN TELUK DATUK 28/40, OFF PERSIARAN SEPANG SECTION 28, SHAH ALAM 40400 SELANGOR",,03 - 55171999,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
alice@alexcorporation.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95501&sid=A216DCE07716B27DE6E58F43A7BFFFC9,ALEX CORPORATION (M) SDN BHD,NO 10-1 JALAN SP 2/8 TAMAN SERDANG PERDANA SEKSYEN 2 43300 SELANGOR,,03 - 89450998,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
jetson.ks@hotmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=61792&sid=FE25705F4D3780EC12902486069D7A6E,MYLED OPTO TECHNOLOGY SDN BHD,LOT 21 BATU BERENDAM FREE TRADE ZONE PHASE III 75350 MELAKA,,06 - 2831655,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
naim@deltaprima.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92408&sid=D219819E50FE34BB571D28407E7FB78E,DELTA PRIMA METERING SDN BHD,NO. 8 JALAN BIOLA SATU 33/1A ELITE INDUSTRIAL PARK SEKSYEN 33 40400 SELANGOR,,03 - 55258196,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
ravichandran@rcprecision.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11468&sid=677B32DCD949791EB2BE5858050FCC00,RC PRECISION ENGINEERING SDN BHD,"155A, BLOCK C,BAYAN LEPAS FREE INDUSTRIAL ZONE PHASE 1, BAYAN LEPAS PENANG 11900 PULAU PINANG",,04 - 6401580,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
simontee@hsa-asia.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95534&sid=68F2DA42DFD67CB38D2E6CE3E9D143FA,HSA ASIA SDN BHD,NO B-3A-25 BLOCK BOUGAINVILLEA 10 BOULEVARD LEBUHRAYA SPRINT PJU6A PETALING JAYA 47400 SELANGOR,,03 - 77287212,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
scmm@draka.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15146&sid=314D2088B39F5F5A4B8C5F0714B96BB6,DRAKA (MALAYSIA) SDN BHD,"LOT 48, JALAN INDUSTRI 13 ALOR GAJAH INDUSTRIAL ESTATE ALOR GAJAH 78000 MELAKA",,06 - 5563833,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
julian@emalliance.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7999&sid=B1A77921E34FEDC39A8FF3818F6F199D,EASTERN MOLD ALLIANCE SDN BHD,"11-2-2, JALAN 6/62D MEDAN PUTRA BUSINESS CENTRE BANDAR MANJALARA 52200 KUALA LUMPUR",,03 - 62613741,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
lekern@innoglass.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9443&sid=2CFFC73427CAA71FC5106BBB5240C6BF,ESTABLISHED METAL INDUSTRIES SDN BHD,"LOT 763, JALAN MONOREL SUNGAI CHOH RAWANG 48000 SELANGOR",,03 - 60919222,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
support@emir.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82739&sid=3412D002F2226B7E46921FF52A2E0846,EMIR BINA SDN BHD,40-3 JALAN PJS 8/2 DATARAN MENTARI  46150 SELANGOR,,03 - 56358040,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
info@enthu-tech.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13528&sid=2847FB24A50C717B0266F698DEA67107,ENTHU TECHNOLOGY SDN BHD,NO.7 JALAN ANGGERIK MOKARA F31/F KOTA KEMUNING SHAH ALAM 40460 SELANGOR,,03 - 51220760,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
tglee.epe@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=68750&sid=FA15F599322E06E04D54C6E6133538F8,EPE SWITCHGEAR (M) SDN BHD,"LOT 6, JALAN PERMATA 2 ARAB MALAYSIAN INDUSTRIAL PARK NILAI 71800 NEGERI SEMBILAN",,06 - 7998500,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
enquiry@elly-manufacturing.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=68807&sid=ED5C3611B6703BA94082EB47F2B390E3,ELLY INDUSTRIES SDN BHD,NO.28 JALAN GEMILANG 3 TAMAN PERINDUSTRIAN CEMERLANG ULU TIRAM 81800 JOHOR,,011 - 10616692,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
info@elsystech.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14423&sid=E464CB45DD26CCB2A8744E85481D2AEF,ELSYS TECHNOLOGY,"SUITE 13-4, PRIMA BIZWALK JALAN TASIK PRIMA 6/2 TAMAN TASIK PRIMA, PUCHONG 47150 SELANGOR",,03 - 80664677,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
sales@elektrisola.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10527&sid=FA067B9D881329C30A389D4533A7F0BA,ELEKTRISOLA (M) SDN BHD,JALAN DAMAI 1 JANDA BAIK BENTONG 28750 PAHANG,,09 - 2210888,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
richard@bsli.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13794&sid=7778114D20B23D0838E47ABB5219834D,BSL CORPORATION BERHAD,LOT 4220 PERSIMPANGAN JALAN BATU ARANG / LEBUHRAYA PLUS RAWANG 48000 SELANGOR,,03 - 60919148,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
ysleong@visionpcb.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88297&sid=5C9696CDC44D73673E7C1B97A9FCE47B,VISION INDUSTRIES SDN BHD,"NO 2541 LORONG JELAWAT 6 SEBERANG JAYA , PRAI  13700 PULAU PINANG",,04 - 3990791,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
info@bermudaz.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=40869&sid=12F17D2AFBB612ACA86E35FAE7C4B19C,BERMUDA ENGINEERING SERVICES SDN BHD,"4 - 1, JALAN JASMINE 6 BOTANIC EAST WALK, BANDAR BOTANIC KLANG 41200 SELANGOR",,012 - 4113043,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
export@success.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10087&sid=284E9D4C2A446D87F355258BCD82E224,SUCCESS ELECTRONICS & TRANSFORMER MANUFACTURER SDN BHD,"3, 5 & 7, JALAN TSB 8 TAMAN INDUSTRI SG BULOH SG BULOH 47000 SELANGOR",,03 - 62792800,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
agnes@ctk.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87331&sid=58B56CC7242DB6FC7C07D80E049913A0,C.T. KONG INDUSTRIES SDN BHD,973-976 SOLOK PERUSAHAAN 3 KWS MIEL PRAI INDUSTRIAL COMPLEX 13600 PULAU PINANG,,012 - 5559611,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
dannylim@ims-motion.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85222&sid=E8EF51B53CA4BB053D4206ED0D47D9F5,IMS MOTION SOLUTION (JOHOR) SDN BHD,"9, JALAN SASA 4 TAMAN GAYA ULU TIRAM 81800 JOHOR",,07 - 8635240,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
sunnylee_poc@estextech.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60776&sid=E9977022A880CC195265D8BE5D9C2676,ESTEX TECHNOLOGIES SDN BHD,NO. 4 LORONG IKS JURU 3 KAWASAN IKS JURU SIMPANG AMPAT 14100 PULAU PINANG,,04 - 5041618,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
sam@glasfil.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9214&sid=39F52CDD2413B490B38D6642247ADEBE,GLASFIL POLYMER SDN BHD,"NO. 24, JALAN PERUSAHAAN 3 SERI KEMBANGAN  43300 SELANGOR",,03 - 89488509,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
malaysia01@autonics.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96970&sid=8F053A0B2330119C18CEC8BFD07FBFCE,MAL-AUTONICS SENSOR SDN BHD,UNIT 613 & 614 KELANA BUSINESS CENTRE NO 97 JALAN SS7/2 KELANA JAYA PETALING JAYA 47301 SELANGOR,,03 - 78057190,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
maqosolar@maqo.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96614&sid=8807BD5A804DA7BEEB3D06A61B55EA0F,MAQO TECHNOLOGIES (M) SDN BHD,27 1ST FL JLN TPP 1/1 TMN PERINDUSTRIAN PUCHONG 47100 SELANGOR,,03 - 80691706,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
keith@debusduct.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96471&sid=537212C292865A72C4C12D9849F3EBE4,DYNAMIC ELECTRICAL SDN BHD,PLO 193 JALAN CYBER 8 KAWASAN PERINDUSTRIAN SENAI 4 SENAI 81400 JOHOR,,011 - 13313555,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
simon@tte.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7811&sid=070462157CF0129573B615BBB3C38379,TT ENGINEERING & MANUFACTURING SDN BHD,"NO. 1, JALAN 6/1, LOT 3472 KAWASAN  SERI KEMBANGAN  43300 SELANGOR",,03 - 89421977,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
SALES@CONTROLEZ.COM,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97079&sid=CDF4BB89DAE654F0292699B12B08D7C0,CONTROL EASY TECHNOLOGY SDN BHD,NO28G BLOCK C THE ATMOSPHERE JLN ATMOSPHERE 5 BANDAR PUTRA PERMAI 43000 SELANGOR,,03 - 0123053798,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
rupinin.mc@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97170&sid=ADB2EBC289E561FA4907843377ACFF53,MOBILE KIOSK SDN BHD,12 JALAN SETIA DAGANG AJ U13/AJ SHAH ALAM 40170 SELANGOR,,012 - 6980132,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
general@smartcable.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97426&sid=6DD43A2B435B66F904A0C1B6785DEE90,SMART CABLE (M) SDN BHD,NO 9 JALAN BA/3 KAWASAN PERUSAHAAN BUKIT ANGKAT KAJANG 43000 SELANGOR,,03 - 87370189,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
zeyad@apollo-overseas.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98338&sid=7684139FBB4290A9DAB0BDC5F95CEF5C,APOLLO OVERSEAS INT SDN BHD,LEVEL 8 BLOCK A ZETAPARK SETAPAK CENTRAL 53300 KUALA LUMPUR,,03 - 92123206,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
ss.yap@ykcomponents.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10715&sid=3011BE45DDFE1E0561341397EE295721,YK COMPONENTS SDN BHD,9 JALAN BP 4/8 BANDAR BKT PUCHONG PUCHONG 47100 SELANGOR,,03 - 80617051,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
sales@jftech.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=40730&sid=09347811599155D80B77249AA865A58B,JF MICROTECHNOLOGY SDN BHD,"LOT 6, JALAN TEKNOLOGI 3/6 TAMAN SAINS SELANGOR 1, KOTA DAMANSARA PETALING JAYA 47810 SELANGOR",,03 - 61408668,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
eric@sttprecision.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97774&sid=1ED04C1A73B382DA0A191EFB4833F853,STT PRECISION SDN BHD,NO 3 JALAN HI-TECH 5 SEMENYIH HI-TECH INDUSTRIAL PARK JALAN SUNGAI LALANG SEMENYIH 43500 SELANGOR,,1 - 700817599,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
sales@bokopt.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93843&sid=7A05FCF3D67BAB257CACF96C01947D4F,BOK OPT SDN BHD,68-1 JLN MP2 MERDEKA PERMAI MELAKA   75350 MELAKA,,06 - 3338917,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
sales@ncmc-manufacturing.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=81443&sid=0B37B1424401B2078319CA3D3FCFBDF6,NCMC MANUFACTURING SDN BHD,"LOT 1477, NILAI INDUSTRIAL ESTATE PHASE II NILAI 71800 NEGERI SEMBILAN",,06 - 7941245,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
enquiry@qudrad.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98549&sid=A4F0872F81A8499DE2785F84FC684087,QUDRAD SYSTEMS & TECHNOLOGY SDN BHD,NO 50 & 52 JALAN MATAHARI AA U5/AA SEKSYEN U5 BANDAR PINGGIRAN SUBANG 40150 SELANGOR,,03 - 78453370,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
richardpu@avem.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=99364&sid=F4A6E9E11579448DA43C2DABACA940A8,AV ELECTRONICS TECHNOLOGY SDN BHD,LOT 21 JALAN 51A/223 PETALING JAYA 46100 SELANGOR,,03 - 79601511,ELECTRICAL & ELECTRONIC PARTS AND COMPONENTS
