CONAME,BIZADD,DATE_SCRAPED,HREF,EMAIL,TEL,FAILMSG 
ADEQ SUE RESOURCES SDN BHD,LOT 20528&20529 RUMAH KEDAI PERMINT PERDANA II SEBERANG TAKIR 21300 TERENGGANU,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=83204&sid=44884B6C6AC6ADB81E7C07C190E0019B,adeqsue@adeqsue.com,09 - 6624444,
TOP FRUITS SDN BHD,"M1, JALAN ML16 ML INDUSTRIAL PARK BALAKONG SERI KEMBANGAN 43300 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=44728&sid=E6B37D9D6EA37D42D7DAB705AA6F8009,sytan@topfruits.com.my,03 - 89641833,
PLATINUM HERBS SDN BHD,"8-1, JALAN 30 TAMAN DATO' SENU SENTUL 51000 KUALA LUMPUR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15099&sid=3F572A8269D8AF92A9096CCBD1FDE5BE,dromarjan@gmail.com,03 - 40428516,
BIOZONE MARKETING & INDUSTRY ENTERPRISE,LOT 1939 C JALAN SUASA KAMPUNG BUKIT CHANGGANG BANTING 42700 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=105115&sid=400E2F67240685880EBE9DFFE51ED484,jambang99@gmail.com,017 - 2496482,
GOLDEN CORN MARKETING SDN BHD,"9, JLN JASA MERDEKA 5 TMN DATUK TAMBY CHIK KARIM BATU BERENDAM 75350 MELAKA",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78546&sid=95B96010A0C5ADA9786645AD09D8BF3E,gvnchng@gmail.com,06 - 3176357,
YUYAN IMP&EXP SDN BHD,"1-2-5, KUCHAI AVENUE, NO 39, JALAN KUCHAI MAJU 13, KUCHAI ENTREPRENEUR'S PARK 58200 KUALA LUMPUR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76756&sid=3EB42F5EEF31901840BAE2DC3C577769,wayne_wai@qq.com,12 - 7557408,
TAB FRUITS AND VEGETABLES CENTRE,"29, JALAN ARUNG KAWASAN PERINDUSTRIAN TAMAN JOHOR JOHOR BHARU 81200 JOHOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8913&sid=A1C3D842FF7C3D87AE447458AE1A463E,tabfruit@hotmail.com,07 - 2384151,
TONY FRUITS SDN BHD,NO 2 JALAN INDAH 10/2 TAMAN BUKIT INDAH  79100 JOHOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96525&sid=DD5174F2F5EFC5D82E1F3A88B233F277,tonyfruits8466@gmail.com,17 - 7578466,
SME FOOD PLANTATION (M) SDN BHD,"LOT 801, PHASE III, DEMAK LAUT INDUSTRIAL PARK JALAN BAKO KUCHING 93010 SARAWAK",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8254&sid=BFD1316053E6F7A069440DA96511262B,smefoodplantation@gmail.com,01 - 05960830,
HERNAN CORPORATION SDN BHD,"NO 8, JALAN PJU 1A/13 TAMAN PERINDUSTRIAN JAYA ARA DAMANSARA 47200 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7264&sid=BED97782C242E42ABC38EBBE9C96A08B,anna@hernan.com.my,03 - 56110848,
SIN SENG HUAT SEEDS SDN BHD,NO.6 JALAN BP 4/7 BANDAR BKT PUCHONG PUCHONG 47100 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10878&sid=32AC16DEC5D67043F0DF9A6A50FD96A9,info@greeneagle.com.my,03 - 80609921,
WOO JOO FOOD SDN BHD,P.O. BOX 21164 KOTA KINABALU  88769 SABAH,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12023&sid=095C2D3974D1A8F677E7EC2C6647AC62,info@woojoofood.com.my,088 - 435511,
KIT HIN COMPANY SDN BHD,"YANG KWANG INDUSTRIES ESTATE, SUBLOT 23 JALAN BATU KITANG, LOT 99 & 145, BLOK 45 KNLD, KUCHING 93250 SARAWAK",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=74113&sid=6135EF0E4F3BE0B8D405D153E374A688,kithinco3288@gmail.com,08 - 618328,
GLOBAL POTENTIAL (M) SDN BHD,"B2-1-36, JALAN PINGGIRAN 1/3 TAMAN PINGGIRAN PUTRA SECTION 1, SERI KEMBANGAN 43300 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=36646&sid=1A0CDC0211C00CF954E8F7D248634C4A,mail2us@globalpotential.com.my,03 - 89458544,
MAIMUNAH BINTI IBRAHIM,6572 KG GONG SEKOLAH MENGABANG TELIPOT KUALA TERENGGANU 21030 TERENGGANU,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=102079&sid=EBA1D076E86B69FF77E44AA4D3BFB9DD,am002mohammad@gmail.com,09 - 6694625,
ALPHARICH FOOD & BEVERAGE SDN BHD,"122, JALAN TASEK TIMUR TAMAN TASEK INDRA IPOH 31400 PERAK",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12452&sid=C88A3C9B60D561C3819742D779AD1289,ttsrn@streamyx.com,05 - 5487068,
IMANI FOKAS SDN BHD,"9, JALAN SEJAHTERA 18 TAMAN DESA SKUDAI SKUDAI 81300 JOHOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=34751&sid=FDCB9102CE92DEF3B91D9EED5EFC1C22,imani664@yahoo.com,07 - 5599678,
DURIAN CLUB SDN BHD,BUSINESS SUITE 19A-12-2 LEVEL 12 UOA CENTRE NO 19 JALAN PINANG 50450 KUALA LUMPUR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=104394&sid=8B2F0992FC27D32C00E3C0F75CA6BFDB,teoh61@hotmail.com,03 - 21815555,
SALAM NUSANTARA TRADE SOLUTIONS SDN BHD,16-32 AVENUE CREST LOT 2A JALAN JUBLI PERAK 22/1 SYEKSEN 22 SHAH ALAM 40300 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=104386&sid=9D9B510842E69A5394846F26DFF68700,salamntssdn@gmail.com,03 - 50335346,
QUALITY SPICE,4 G LANE 9 JALAN GAMBIR SIBU  96000 SARAWAK,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92809&sid=F8D7D7A0808678635E7D62ABA9537A81,hlws1331@gmail.com,084 - 324091,
TUNKU ZAINUL ABIDIN IBNI ALMARHOM SULTAN ABDUL HAMID SDN BHD,04-08 BUSANA@MENARA MARA JALAN TUANKU ABDUL RAHMAN  50100 KUALA LUMPUR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97238&sid=000974C085698EC5E178DD7F919E9490,rickyyusof@gmail.com,03 - 26943000,
FALAHANA SDN. BHD.,"A-7, TINGKAT 2, BANGUNAN KOPERASI SERBAGUNA DAERAH JERANTUT BERHAD,  27000 PAHANG",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94932&sid=0129F7A6238DC48BFA8A674BA270788E,iraenterprise@hotmail.com,09 - 2668900,
DRAGON TASTE SEAFOOD EXPORT & IMPORT SDN. BHD.,NO 19 LORONG SELAT SELATAN 30 PANDAMARAN PORT KLANG 42000 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=104583&sid=AAB809C4E62786854C3DDB7AD8EE4F1D,dragon.taste@yahoo.com.my,03 - 316805995,
AD TROPICAL FRUITS SDN BHD,"378A, JALAN TUANKU ABDUL RAHMAN   50100 KUALA LUMPUR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3780&sid=20CBA3C5E46FDD2223651AE77272277D,kheechoong@gmail.com,03 - 26931188,
DELIMA OIL PRODUCTS SDN BHD,"LEVEL 16, MENARA FELDA PLATINUM PARK,NO 11 PERSIARAN KLCC 50088 KUALA LUMPUR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12779&sid=9E46D19C841A9A57CD90C8F8F1F07388,zubir.r@feldaglobal.com,03 - 28591168,
WING SHEN FOOD INDUSTRIES SDN BHD,12 10TH MILE BAZAAR PENRISSEN ROAD 93250 SARAWAK,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95282&sid=544808F1F93BAFB19461AC6AA7F9CECE,wingshen@yahoo.com,019 - 8884054,
JOEYEES VENTURES,NO. 90A JALAN BPU1 BANDAR PUCHONG UTAMA PUCHONG 47100 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=107311&sid=596F66164883CE95370C8296FF8AB96D,awinedisi@gmail.com,03 - 58911555,
MEGA AGRO SEJAHTERA SDN BHD,NO 11 & 11-1 JALAN TU3 TAMAN TASIK UTAMA AYER KEROH 75450 MELAKA,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=107251&sid=464D8A2F3DF81B0A7C844F0401B53A15,bizteam@megaagro.com.my,06 - 2328363,
SUPER FRUIT SDN BHD,NO 36 JALAN CJ15 KAWASAN PERINDUSTRIAN CHERAS JAYA BALAKONG 43200 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=101497&sid=8B89810D6F0C7473902FB160B3176142,general@superfruit.my,03 - 90820310,
EL QADEEJAA ENTERPRISE,"#G-05 BLOK B8 JALAN PRISMA 3, RUMAH ISKANDAR MALAYSIA NUSAJAYA 79200 JOHOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92021&sid=E86FF6963A0AFF88EA428E03D229152C,elqadeejaahq@gmail.com,019 - 8196019,
JASANGA (M) SDN BHD,NO 13 JALAN RAHMAT 25/75 TAMAN SRI MUDA SHAH ALAM 40400 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95757&sid=156BF58741D0EEE5A525A0E65A94CCD4,shan@jasanga-malaysia.com,03 - 51222770,
ZUHE GLOBAL RESOURCES,C/O 1596 JALAN MAWAR 16 TAMAN PERMIN JAYA CHENDERING KUALA TERENGGANU 21080 TERENGGANU,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=99916&sid=0426FEC757F4223AB167D9DA10F8BB20,zuheglobalresources@gmail.com,09 - 6171596,
SUNSHINE REGION SDN BHD,"15 & 17, BLOCK I DATARAN PRIMA JALAN PJU 1/37, PETALING JAYA 47301 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=58913&sid=AC0795DF8846E446667B82C7E93E376E,enquiries@sunshinenest.my,03 - 78033072,
TIAN SENG HANG TRADING COMPANY SDN BHD,851 JALAN PERMATANG PAUH BUTTERWORTH 13400 PULAU PINANG,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=64079&sid=36A7CD9258206123E520AF4E68121295,GENERAL@beans-spices.com,04 - 3325666,
REGAL MART INTERNATIONAL SDN BHD,"28, JALAN 6 TAMAN SRI UKAY AMPANG 68000 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=61559&sid=CEBC1E997B7131DAB00A9F397628E56D,lohweekeng@126.com,03 - 42661378,
SINOMERIDIAN SDN BHD,101-3 CANGKAT BUKIT BELAH  BAYAN LEPAS 11900 PULAU PINANG,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=64711&sid=0843732EA46B80569227C1BE510C29F3,enquiry@sinomeridian.com,010 - 4649673,
WIDE TROPISM TRADING SDN BHD,"38, JALAN PS 9, PRIMA SELAYANG KM 15 JALAN RAWANG BATU CAVES 68100 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73048&sid=33F01BA9A851A5A8A5EC99B7CC8EBBFF,enquiry@widetropism.com,170 - 0818832,
LUCKY POULTRY (M) SDN BHD,19 JALAN INDUSTRI 8 TAMAN PERINDUSTRIAN PEKAN NENAS 81500 JOHOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76010&sid=E8BAF5797A1033EB29E901FE14FB2788,naihon.wong@keesong.com,07 - 6993177,
WIN MEN BIOTECH SDN BHD,"LOT 1251, JALAN SERULING KAW PERUSAHAAN VALDOR SEBERANG PERAI SELATAN 14200 PULAU PINANG",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=83480&sid=E7A0F86D51C1AD0AE1609D85D14590E1,amaw3333@hotmail.com,04 - 5826333,
REGAL BLUE (M) SDN. BHD,NO 20-2 JALAN 8/23E TAMAN DANAU KOTA BATU 4 1/2 OFF JALAN GENTING KLANG 53100 KUALA LUMPUR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95068&sid=4533740C7A6E576B202DA62EC5CD0D48,regalblu_7@yahoo.com,03 - 41481473,
MKJ (MALAYSIA) SDN BHD,"B-16-07, TOWER B KOMPLEKS ATRIA DAMANSARA JALAN SS 22/23 DAMANSARA JAYA 47400 PETALING JAYA, SELANGOR MALAYSIA 47400 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10796&sid=4BF01C7552754EC353DD86457FE3C714,mathew@mkj.com.my,03 - 77335054,
G & G CENTURY (M) SDN BHD,"NO 9, WISMA G&G, JALAN 1/119 TAMAN BUKIT HIJAU CHERAS 56000 KUALA LUMPUR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=102749&sid=D2DBB5825654CF042F77EC574D2B44FB,ggcentury@yahoo.com,03 - 91319570,
DR. AISHAH SOLUTION SDN BHD,"3, KOMPLEKS SERI TEMIN JALAN IBRAHIM SG PETANI 08000 KEDAH",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=44498&sid=609E8BA23032546285CB1757C8D31871,syedshazrin@gmail.com,604 - 4411094,
DYNAMIC TRANSFORMS SDN BHD,"15A, JALAN PS9/2, PRIMA SELAYANG KOMPLEKS SELAYANG  BATU CAVES 68100 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73036&sid=1B597D61D0AAC126E8DADEACAC577672,cfchee@dynamictransforms.com,03 - 61370335,
FARMASI ALANG SDN BHD,MT 1396 KOMPLEKS PERNIAGAAN MASJID TANAH  78300 MELAKA,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98739&sid=ACB8C75F78F708B8ACCAEC4626E2E5A5,FarmasiAlangSdnBhd@gmail.com,06 - 3848013,
BESTIME GLOBAL SDN BHD,"SERIA 88 BUSINESS CENTRE 37-1F, JALAN SETIA PERDANA U13/BE, SEKSYEN U13 SETIA ALAM, SHAH ALAM 40170 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=102763&sid=6471790EF4F581306DD3915B12FDF977,info@bestimeglobal.com,03 - 58856811,
1 MALAYSIA AGRICULTURE PRODUCTS CENTRE SDN BHD,"35A, LORONG SANGGUL 1A BANDAR PUTERI KLANG 41200 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=70815&sid=B0AB15511E5F8EF1C7E0F16CA94A40CD,info@mapc.com.my,03 - 51623299,
SEAPRO FOOD INDUSTRIES SDN BHD,3 KAMPONG CHINA KUALA KEDAH 06600 KEDAH,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80877&sid=C76048CCA10EFFBB359D38F549C66DF9,seapro.chng@gmail.com,04 - 7621341,
DKF CORPORATION SDN BHD,"108, JALAN UP 3/2 UKAY PERDANA AMPANG 68000 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=69954&sid=E7ACF44B4DC9341A587071CD5A56FC9C,datukkhairul.fahmy@gmail.com,03 - 41019212,
STEADY FARM SDN BHD,"15A JALAN RAJA IDRIS, KUALA SELANGOR 45000 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95003&sid=5D057FC9D74FD4AB77C4A9FFE7FC03DA,jordanteo23@gmail.com,016 - 3316012,
AVASI DISTRIBUTION & SUPPLY,NO 49B JALAN DIPLOMATIK PRESINT DIPLOMATIK PUTRAJAYA 62050 PUTRAJAYA,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97785&sid=1379244631BAC38B606261F7D0DAF090,avasids@gmail.com,019 - 2830065,
MNR FRUIT TRADERS SDN BHD,"3A-3,JALAN IMPIAN MAHKOTA 1 SAUJANA IMPIAN KAJANG 43000 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=53660&sid=817081A24DD9DB042299A0D7FD82D86D,hafizuddin@mnrfruits.com.my,03 - 87349882,
HANANIA AGROTECH SDN BHD,NO 2 PT 6484 JALAN MASJID KAMPUNG BARU PUCHONG BATU 14 47100 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98415&sid=0AA09307EFAB3A348EBB9D744BC40D82,info@hanania.my,018 - 9475818,
IPOH 1961 IMPORT EXPORT (M) SDN BHD,NO 5-1 JALAN ANGGERIK VANILLA T 31/T KOTA KEMUNING SHAH ALAM 40460 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94226&sid=17CB128D011C1C0EB88AFD585EB91719,ipoh1961@gmail.com,03 - 58798573,
NATURAL LIVING OASIS (M) SDN BHD,NO 15 JALAN ANG SENG 3 BRICKFIELDS  50470 KUALA LUMPUR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=103889&sid=2BFD5D7EA8DC98056782DEAE75AB6667,admin@nloasis.com,011 - 14246661,
E XIA GLOBAL SDN BHD,33 JALAN PIPIT 3 BANDAR PUCHONG JAYA 47100 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97341&sid=FBB9C580B2ED5B4349B958F3F9654D24,jwyeee@hotmail.com,012 - 9196170,
NANO XAN SDN BHD,"NO 6,JALAN PENAGA RAWANG FOOD INDUSTRIAL PARK RAWANG 48000 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=66952&sid=3172DF04B35D9EAFDB7A55D31B660980,maziah@nanoxan.com.my,03 - 60925390,
RIMBA DINAMIK,NO 45 LORONG 3 RUMAH AWAM BATU 2 1/2 JALAN SIMPANG TAIPING 34000 PERAK,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=100650&sid=3F329BDB1AB403230F435FAA25D9114A,rimbadinamik@gmail.com,019 - 5231204,
TRL (SOUTH EAST ASIA) SDN BHD,B-5-8 PLAZA MONT KIARA MONT KIARA 50480 KUALA LUMPUR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=64075&sid=1EDC1C0DB1451F93FE2938B4D5CDF8FD,contact@trlasia.com,03 - 50331720,
GERBANG USAHA MAJU AGRO,BLOK D-9-1 PERUMAHAN AWAM REJANG TAMAN STAPAK JAYA  53300 KUALA LUMPUR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=107600&sid=59BAC4F8473918F89EE38C3363C49356,acong.ppwd@gmail.com,03 - 40316898,
SENAMA AGRO GAHARU SDN BHD,"72 , FIRST FLOOR JLN. S2/F1 FIRST AVENUE GARDEN HOMES 70300 NEGERI SEMBILAN",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=72805&sid=424D4134582DA52D4EBDA9EBAE1E685A,senamaagrogaharu@ymail.com,06 - 6317030,
TNT ENTERPRISE SDN BHD,54B LANANG ROAD SIBU  96000 SARAWAK,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93841&sid=8437F43FC5632117E9B535D93F9511C0,TNT_ENTERPRISE@OUTLOOK.COM,013 - 8015515,
FISHLINK WORLDWIDE SDN BHD,"LOT 46051 A, BATU SEMBILAN JALAN SUNGAI TUA BATU CAVES 68100 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60104&sid=58C3AAC6968EA9D9714DBFE4BB6568EE,sales@fishlinkworldwide.com,03 - 61851246,
CENTURY RELIGIOUS SUPPLY,83 RESERVOIR CRESCENT  11500 PULAU PINANG,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85643&sid=5AFC837E520E3A171207FCDF08D4568B,linkuen41@gmail.com,012 - 4207510,
AATHAV RESOURCES SDN BHD,"C-6-2,PUTRA MAJESTIK CONDO JALAN KASIPILLAI, BATU 2 1/2 JLN SULTAN AZLAN SHAH  51200 KUALA LUMPUR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92993&sid=DBAC51F6FCC73459A5107558A3EE73FD,aathavresources@gmail.com,01 - 46251750,
CIMEI FOOD INGREDIENTS SDN BHD,"14, JALAN ISTIMEWA 1 MOTAMAN PERINDUSTRIAN CEMERLANG ULU TIRAM, JOHOR BAHRU 81800 JOHOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10179&sid=BE3053E659AF393D1F0E9DAB468A615A,doreen_oo@cimei.com.my,07 - 8630888,
CSL TECHNOLOGIES (M) SDN BHD,"LOT 9896-B, JALAN KG JAWA 4TH MILE, KG JAWA SHAH ALAM 40460 SELANGOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5597&sid=F7554EDB0EBA06B4C69277EB0B330706,asnita.othman@lrc.com.my,03 - 51613799,
OCEAN FRESH SEAFOOD PRODUCTS SDN BHD,"LOT 19869, KAMPUNG BARU PERAMU KUANTAN 26060 PAHANG",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76965&sid=D54BC829D554D18565AF5DAA54163BA7,teresa@oceanfresh.com.my,09 - 5343888,
JUTA FOOD INDUSTRIES (MELAKA) SDN BHD,"14, (LOT1-15), JALAN TTC 1 CHENG INDUSTRIES ESTATE  75250 MELAKA",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10414&sid=390F82F15C72D4851EA4B646274E4D50,juta_food@yahoo.com,06 - 3351331,
GOLDEN HORSE AGRO SDN. BHD.,B-11-5 MEGAN AVENUE 1 189 JALAN TUN RAZAK  50400 KUALA LUMPUR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=103416&sid=BC73A9120C8B8F43A1AF0B5ABABF3746,kokloong1@hotmail.com,019 - 9009478,
15 MINUTES BAKE SDN BHD,LOT 16 TAMAN NOSOOB JAYA PHASE 1 JALAN NOSOOB PENAMPANG 88300 SABAH,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93128&sid=778EA06CD9E54B698830EF9CC3C4E255,charlesyongnic@live.com,088 - 723318,
OMEGA SUPERFOOD SDN BHD,BUSINESS SUITE 19A-12-2 LEVEL 12 UOA CENTRE NO 19 JALAN PINANG 50450 KUALA LUMPUR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93922&sid=A7FCA3213FC5FEB7B20D4BB0E8D730E4,teoh61@hotmail.com,03 - 21815555,
HEALTH DOOR FOOD SDN BHD,48 LALUAN PERUSAHAAN KLEDANG 1 TAMAN PERINDUSTRIAN CHANDRAN RAYA MENGLEMBU 31450 PERAK,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=84242&sid=86FD7AB81E764FBD09877A80366F7C34,wahwai88@hotmail.com,012 - 5013216,
NYTREX GLOBAL SOURCES SDN BHD,UNIT 13-1 JALAN MAHKOTA RESIDENCE 2 BANDAR MAHKOTA CHERAS 43200 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82782&sid=8E6CC53BE2859A11432CE6DF23FB0D55,inquiry@dorenia.com.my,03 - 90110229,
JEFI AQUATECH RESOURCES SDN BHD,"PLOT 314(A), JALAN PERINDUSTRIAN BUKIT MINYAK 18 PENANG SCIENCE PARK, BUKIT MINYAK SEBERANG PERAI TENGAH 14100 PULAU PINANG",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=48863&sid=248A6F826EF701E5A453E2642019877B,bengjeen@gmail.com,04 - 5098888,
HARDEE HERBA (M) SDN BHD,NO 11A JALAN 9 TAMAN SEKAMAT BATU 12 JALAN CHERAS KAJANG 43000 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94369&sid=464012D5BDC56D510A2F1013B253F330,royalejussulin@gmail.com,017 - 3618984,
BORNEO OBOR SDN. BHD.,NO 11 HTM INDUSTRIAL ESTATE LORONG CERAMAI KOLOMBONG KOTA KINABALU 88450 SABAH,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=101463&sid=B47869196B88E697C808E58C72306F90,wnlqm28@gmail.com,016 - 8316911,
NORRAS RESOURCES SDN BHD,"SUITE A--0-10,SETIAWANGSA BISINESS SUITE JALAN SETIAWANGSA 11,TAMAN SETIAWANGSA KUALA LUMPUR 54200 54200 KUALA LUMPUR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=61714&sid=1A14B6601A5FA88ED5A86F995227C1CF,nnaylis@yahoo.com,03 - 41310160,
BTAWFIQ RESOURCES,NO 8 JALAN PP15 TAMAN PINGGIRAN PUTRA SERI KEMBANGAN 43300 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=103920&sid=B108C72620109ED23FE333B8AD9B0C85,btawfiqresources@gmail.com,03 - 89409964,
KIAN HENG LEE SDN BHD,"LOT 781, JALAN SR/1 TAMAN PERINDUSTRIAN SIMPANG RENGGAM SIMPANG RENGGAM 86200 JOHOR",'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5635&sid=4DD5DA1ABEA21969A5680EA501907F17,sales@khlfoods.com,07 - 7552827,
BALLUN RESOUCES (M) SDN BHD,LOT 7 LORONG KELULI 1A KAW PERINDUSTRIAN BUKIT RAJA 40000 SELANGOR,'2017-08-04,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82488&sid=5DCDF0E8201F506FD1716163DEDF3CDB,annie.sim@ballun.net,012 - 3708920,
