FAILMSG,DATE_SCRAPED,TEL,CONAME,BIZADD,HREF,EMAIL
,'2017-08-02,04 - 2107210,ATARA GLOBAL SDN BHD,10 LINTANG DELIMA 10 GELUGOR 11700 PULAU PINANG,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=83491&sid=51EDE3AAE3D7D5C4A13D3B5A0EB973DA,lsyassociates@gmail.com
,'2017-08-02,03 - 78800256,COMPOSITES TECHNOLOGY RESEARCH MALAYSIA SDN BHD,LEVEL 2 EON OFFICE COMPLEX NO 2 PERSIARAN KERJAYA SECTION U1 SHAH ALAM 40150 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9590&sid=751409E704E04E0E9DF93D8421734653,azham.baharin@ctrmact.com
,'2017-08-02,03 - 42874395,MARITIME TECHNOADVANCE & SERVICES SDN BHD,9-1 JALAN EXCELLA 2 TAMAN AMPANH HILIR KUALA LUMPUR 55100 KUALA LUMPUR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87487&sid=ABD21562184035DAFF647818807EA422,info@alcompmitas.com
,'2017-08-02,09 - 6223762,E.W. HARDWARE TRADING SDN BHD,36-U JALAN BUKIT KECIL KUALA TERENGGANU 21100 TERENGGANU,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85673&sid=3D26C7D748735971CEB4BD78015BBCD9,ewhtsb@gmail.com
,'2017-08-02,084 - 316737,EAST OCEANIC SHIPYARD SDN BHD,9B HOSE LANE SIBU 96000 SARAWAK,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79242&sid=6084A71EFDDA51B2119828BE9575D4A5,eastoceanicshipy@gmail.com
,'2017-08-02,03 - 55427333,MODU SYSTEM (M) SDN BHD,"7, JALAN SAHAM 23/3 SECTION 23 SHAH ALAM 40000 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15044&sid=1658065144A132DCAE9CDCB48360964A,info@modu-system.com
,'2017-08-02,03 - 41491841,GLOBAL SAR RESOURCES SDN BHD,"21-2,2ND FLOOR, BLOCK 1B JALAN WANGSA DELIMA 13 WANGSA LINK, WANGSA MAJU 53300 KUALA LUMPUR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=43078&sid=5118E49002B12F28A79C927FCC9F85D0,globalsar@gmail.com
,'2017-08-02,03 - 89626530,GLORYMAS (M) SDN BHD,"11A, JALAN 6/2A TAMAN SELESA JAYA BALAKONG 43300 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2193&sid=A0F622E97735DC8CB6F8DC9CA31DF9EB,christiecg@hotmail.com
,'2017-08-02,06 - 9531197,LAIHENG ENGINEERING SDN BHD,"109-7, BATU SATU JALAN BAKRI MUAR 84000 KEDAH",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=74894&sid=26A5ADC61A697C4947831137EE3CA4ED,laihenglaiheng@yahoo.com
,'2017-08-02,03 - 62728292,ARINEX SDN BHD,274 JALAN KIP 3 KEPONG INDUSTRIAL PARK SRI DAMANSARA 52200 KUALA LUMPUR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=36512&sid=CDFDA017C60841090EAF5EE4ADB6BF8D,mail@arinex.com
,'2017-08-02,03 - 61899832,TAN CHONG INDUSTRIAL EQUIPMENT SDN BHD,"LOT 3, JALAN PERUSAHAAN SATU BATU CAVES  68100 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=77028&sid=BF90691C5D19318C0363AC96772A33A7,enquiry@tcie.com.my
,'2017-08-02,09 - 5383531,AEROSPACE TECHNOLOGY SYSTEMS CORP. SDN BHD,"KM 16,  JALAN GAMBANG P.O. BOX 28 JAYA GADING,  KUANTAN 26070 PAHANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11215&sid=5E4EB12EBC335724C879DBD8004B320C,contact@atsc.com.my
,'2017-08-02,03 - 77223842,DINASTIA JATI SDN BHD,"3A-6A, JALAN PJU 8/3A PERDANA BUSINESS CENTRE DAMANSARA PERDANA 47820 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=77256&sid=607DCA445F1EDBDCE5C0DDF84399495F,info@dinastiajati.com
,'2017-08-02,03 - 57408888,TRANS ELITE GROUP SDN BHD,"5,JALAN SUNGAI KAYU ARA 32/37 TAMAN PERINDUSTRIAN BERJAYA SEKSYEN 32 40460 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=77473&sid=6C5610EF9DF4BFEA0B86835F3C943F58,teadmin@transelite.com
,'2017-08-02,084 - 310668,SAPOR SHIPBUILDING INDUSTRIES SDN BHD,"19 & 21, 1ST FLOOR JLN CHENGAL SIBU 96000 TERENGGANU",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79405&sid=7E59F9D14349E339DBB8A226341643D9,info@sapor.com.my
,'2017-08-02,084 - 217117,RAJANG MAJU SHIPBUILDING SDN BHD,"LOT 13-14 LORONG TG. KIBONG 4 RANTAU PANJANG, SIBU 96000 SARAWAK",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79654&sid=BCA24E115F12667666DD0355C5C8E406,rajangmaju@hotmail.com
,'2017-08-02,084 - 217629,HUNG SENG SHIPBUILDING (M) SDN BHD,LOT 527 BLOCK 1 SEDUAN LAND DISTRICT RANTAU PANJANG 96000 SARAWAK,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=62245&sid=D872D05D4011AC532D4E31056A09EA3D,ferdinand.w@hungsengshipyard.com.my
,'2017-08-02,06 - 3361977,IMPRESSIVE EDGE SDN BHD,12A JALAN TTC 29 TAMAN TEKNOLOGI CHENG 75250 MELAKA,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78037&sid=DFDB7A03C47E8FC7EADCE7242B1E555F,yeocp@impressive-edge.com
,'2017-08-02,09 - 6223700,MSET SHIPBUILDING CORPORATION SDN BHD,19 JALAN HILIRAN PULAU KAMBING KUALA TERENGGANU 20300 TERENGGANU,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79732&sid=DE088CD4437C224DFE37D69D8FCF78CC,msetsc@mset.com.my
,'2017-08-02,07 - 5627737,GOGREEN WORLDWIDE ENERGY SDN BHD,17 & 19 JALAN INANG 1 SKUDAI 81300 JOHOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87471&sid=945DAD99812A883F7C8EB12C29ADAE9A,cidiwaha@gogreenworldwideenergy.com
,'2017-08-02,06 - 2532196,ADMANCO SDN BHD,"LOT 15A, JALAN LINGKUNGAN USAHA KAW PERINDUSTRIAN AYER KEROH 75450, MELAKA 75450 MELAKA",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80358&sid=85E6460D9F9E525BBBB1F4BCA54A3ADD,admin@admanco.com.my
,'2017-08-02,084 - 211212,EASTERN MARINE SHIPBUILDING SDN BHD,20 GROUND FLOOR LORONG WONG TING HOCK 1 96000 SARAWAK,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79238&sid=8E3F609EE4E848B7B677D3A1400B367B,account@easternmarine.com.my
,'2017-08-02,016 - 2067501,DOSH RAIN CONSULT INTERNATIONAL SDN BHD,SUITE 2.11 UNIKEB BUILDING NATIONAL UNIVERSITY OF MALAYSIA BANGI 43650 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79380&sid=ECCE1EC7E66854D6F28E856EC1269D26,doshrainxo@doshrain.com
,'2017-08-02,084 - 229308,KEMUDI SANTUN SDN BHD,LOT 205 & 303 SG. MAAW ROAD SG. BIDUT 96000 SARAWAK,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80450&sid=71E01F8CE95327B9D51C7E811B5DB0DD,gimhwak@ymail.com
,'2017-08-02,084 - 229318,GIMHWAK SHIPYARD SDN BHD,LOT 205 303 SG MAAW ROAD SG BIDUT 96000 SARAWAK,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=65429&sid=2363F0E0C19CADB2B9497E89ECFCBF81,hrdepartmentghg@gmail.com
,'2017-08-02,084 - 217117,RAJANG MAJU MARINE INDUSTRIES SDN BHD,"LOT 13-14 LORONG TG. KIBONG 4 RANTAU PANJANG, SIBU 96000 SARAWAK",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80363&sid=B9850081BBC15F2791EF865B9D4FD5B5,rajangmaju@hotmail.com
,'2017-08-02,03 - 58826060,CREDEN MECHATRONIC SDN BHD,"9, JALAN JURUUKUR U1/19 HICOM GLENMARIE INDUSTRIAL PARK SHAH ALAM 40150 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11956&sid=0AB0ECFBEDB814C0B50E6E612635D370,hra_crm@creden.com
,'2017-08-02,084 - 310211,TUONG AIK SHIPYARD SDN BHD,"LOT 22 & 112 JALAN SG. MA'AW SUNGAI BIDUT, SIBU 96000 SARAWAK",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8025&sid=A51DA234EEE4A58C0AD7873C3A36923C,general@tuongaikshipyard.com.my
,'2017-08-02,03 - 77323208,ESIONAL LUBRICANTS MANUFACTURING SDN BHD,"W-3A-06 & W-3A-07, LEVEL 3A, WEST WING METROPOLITAN SQUARE, JALAN PJU 8/1 BANDAR DAMANSARA PERDANA, PETALING JAYA 47820 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=45617&sid=D0148C769023A945DBD162FA8BBA55B9,ericshyap@yahoo.com
,'2017-08-02,03 - 78323222,ROLLING STOCK CONSULTANTS SDN.BHD,LOT 7815 JALAN BUKIT CHERAKAH MONTEREZ U9 SHAH ALAM 40150 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94468&sid=4EA7D50F344EA92CE1207935FB272AB1,info@rollingstock.com.my
,'2017-08-02,03 - 78321063,SPRO OIL & GAS SDN BHD,UNIT E-6-08 OASIS SQUARE JALAN PJU 1 A/7A ARA DAMANSARA PETALING JAYA 47301 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93990&sid=1BF775C9E9E8695FE309606021C1B495,cs01@spro-solutions.com
,'2017-08-02,03 - 77253828,NATURAL PATH SDN BHD,"10 BOULVEVARD, BLOCK ALLAMANDA, A-1-13, PJU6A,  PETALING JAYA 47400 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=52346&sid=7A8DEB9587128B7EE197ED7611CE2805,daniel@natural-path.com.my
,'2017-08-02,084 - 219833,CAPRICORN CENTRAL SHIPBUILDING SDN BHD,"1ST FLOOR, 3 LORONG PAHLAWAN 7A2 JALAN PAHLAWAN SIBU 96000 SARAWAK",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95558&sid=EDADCE4EA3D12DBE508CB92AF2B4F0A5,joy@starindocapricorn.com
,'2017-08-02,084 - 218510,VITAWANI SHIPBUILDING SDN BHD,"LOT 525 & 526 BLOCK 1 SEDUAN LAND DISTRICT, RANTAU PANJANG 96000 SARAWAK",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=86994&sid=01566098D1A9A8463F24CB9F0698121E,enquiries@vitawani.com
,'2017-08-02,03 - 80527299,PALM ECO PALLET SDN BHD,10 JALAN PUTERI 5/5 BANDAR PUTERI  47100 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96932&sid=D88CAF3FF314D59F3F859697FAA3888D,palmecopallet@gmail.com
,'2017-08-02,04 - 5884779,CTRIC KLIFT (M) SDN BHD,NO 1988 1989 JALAN BUKIT MINYAK KAWASAN PERINDUSTRIAN RINGAN ASAS JAYA 14000 PULAU PINANG,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98409&sid=84C4ECEC07509F1257F5686A1115B199,ctric_klift@yahoo.com
,'2017-08-02,07 - 3512020,TOYO SHO INDUSTRIAL PRODUCTS SDN BHD,PLO 226 JALAN KENCANA MAS KAWASAN PERINDUSTRIAN TEBRAU III 81100 JOHOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94254&sid=F49F397A692A129F6236C9BF7E3AA6C1,goh@toyosho.com
,'2017-08-02,04 - 5011525,EC STEEL (M) SDN BHD,"PLOT 210A, JALAN PERINDUSTRIAN BUKIT MINYAK 6 KAW PERINDUSTRIAN BUKIT MINYAK SEBERANG PERAI TENGAH 14000 PULAU PINANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=90455&sid=81E632C50F6B3615D02FA03AED955C24,yttham@ecsteel.com.my
,'2017-08-02,084 - 324516,NGIE LEE DOCKYARD SDN BHD,5 TINGKAT 2 LORONG 11 JALAN KAMPUNG DATU P.O. BOX 1738 SIBU SARAWAK 96000 SARAWAK,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98432&sid=9D71E5FE75FD0B1487C66F19EA8F1CCB,ngieleedockyard@hotmail.com
,'2017-08-02,03 - 80686028,ITRIMECH TECHNOLOGY (M) SDN BHD,"NO 10, JALAN TPP 1/10, TAMAN INDUSTRI PUCHONG BATU 12, JALAN PUCHONG PUCHONG 47100 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=67129&sid=3C9E5DA99398029D772BFA5011752065,michaeltan@itrimech.com.my
,'2017-08-02,03 - 31627838,DC TRUCK TOOLS SDN BHD,LOT 126 TINGKAT BAWAH SOLOK PENDAMAR INDAH 1 TAMAN PENDAMAR INDAH KLANG 42000 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98681&sid=69D59DDB8BAA587A7DC333F67D6952E2,dctrucktools@gmail.com
,'2017-08-02,06 - 7941245,NCMC MANUFACTURING SDN BHD,"LOT 1477, NILAI INDUSTRIAL ESTATE PHASE II NILAI 71800 NEGERI SEMBILAN",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=81443&sid=0B37B1424401B2078319CA3D3FCFBDF6,sales@ncmc-manufacturing.com
,'2017-08-02,03 - 62065556,ERODROMO CMA SDN BHD,C3-6-3 SOLARIS DUTAMAS NO 1 JALAN DUTAMAS 1  50480 KUALA LUMPUR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=99673&sid=0AE728491AE4D2A688E4D223944782DF,farida.ariffin@erodromo.com
,'2017-08-02,03 - 41498453,JAYONIK MSC SDN BHD,NO 7-1 JALAN WANGSA DELIMA 5 PUSAT BANDAR BARU WANGSA MAJU  53300 KUALA LUMPUR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=90303&sid=4BC9F1C71C016CD2E425653AE89987B5,ainulazlan@jayonik.com.my
,'2017-08-02,09 - 6668748,MSET INFLATABLE COMPOSIT CORPORATION SDN BHD,LOT 7976K INDUSTRIAL ZONE GONG BADAK KUALA TERENGGANU 21300 TERENGGANU,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=52502&sid=62E76A27A1972A21FCC965C1C0EF0571,msetic@mset.com.my
,'2017-08-02,09 - 6174499,SUMAI ENGINEERING SDN BHD,LOT 903-K KAW PERINDUSTRIAN CHENDERING KUALA TERENGGANU 21080 TERENGGANU,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7055&sid=A0067FC27B1E105CCFF9922B2A0ED394,wyuddin@sumaigroup.com
,'2017-08-02,03 - 78462249,MPSI STEEL INDUSTRIES SDN BHD,"7, JALAN TUDM KAMPUNG BARU SUBANG SHAH ALAM 40150 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82045&sid=BF78B23C58826F10017CCB51D9EE0A54,"sean.chan@mpsi.com.my , leeliyew@yahoo.com.my"
,'2017-08-02,086 - 331011,BORNEO SHIPPING & TIMBER AGENCIES SDN BHD,LOT 3055 JALAN SUNGAI NYIGU P.O.BOX 2358 BINTULU 97011 SARAWAK,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87306&sid=1FDBECD9B1120AA5589061DEDE3A4F67,bsta.bintulu@gmail.com
,'2017-08-02,314 - 91869,HUBNER MALAYSIA SDN. BHD.,"NO.9 JALAN 1/1, KAWASAN PERUSAHAAN OLAK LEMPIT BANTING, SELANGOR 42700 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=90651&sid=164D99AFD60A2BB1B758D8095344FFA0,akmimaslina.karim@hubner-malaysia.com
,'2017-08-02,03 - 80238262,BARRAT INTEGRA SDN BHD,43 JALAN USJ 21/11 UEP SUBANG JAYA 47630 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=61931&sid=5DEDA7FA875945DE4F6E4287A672A349,gklee@barrat.com.my
,'2017-08-02,07 - 8832070,YEN HONG MARINE SDN BHD,"7, JALAN MAWAI 1 TAMAN MAWAI JAYA KOTA TINGGI 81900 JOHOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=86972&sid=0645BB465F03539A5BE411FCEFCE1BFE,fong@yenhong.com
,'2017-08-02,07 - 5623547,DF AUTOMATION & ROBOTICS SDN BHD,37 JALAN IMPIAN EMAS 5/5 TAMAN IMPIAN EMAS SKUDAI 81300 JOHOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82392&sid=173A753B278C99D82A1BBDD8E0E7A1C6,cfyeong@dfautomation.com
,'2017-08-02,07 - 2518828,GAYLIN MALAYSIA SDN BHD,PLO 475 C JALAN IPIL PO BOX 91 KAWASAN PERINDUSTRIAN TANJUNG LANGSAT PASIR GUDANG 81707 JOHOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=100501&sid=1008575E6BEF74043F9F0FED7CC031A3,offshore-malaysia@gaylin.com
,'2017-08-02,05 - 3572739,DS RUBBER PRODUCTS SDN BHD,42 JALAN INDUSTRI 4/2 GOPENG INDUSTRIAL PARK GOPENG 31600 PERAK,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60880&sid=B9506ADB85DF6B9D36707245D337E2D3,dsrubberoh@yahoo.com.sg
,'2017-08-02,03 - 61417930,INNOPEAK (M) SDN BHD,"LOT 20, JALAN TEKNOLOGI 3/5 SELANGOR SCIENCE PARK 1, KOTA DAMANSARA PETALING JAYA 47810 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9144&sid=5C204F12F4E848D6DBA2A95B6CAC053D,suzanna@innopeak.com
,'2017-08-02,07 - 8636315,MONZONE MANUFACTURING SDN BHD,NO 7 JALAN INDAH GEMILANG 1 TAMAN PERINDUSTRIAN GEMILANG ULU TIRAM 81800 JOHOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=102778&sid=3333FFEDAD06F8AC233D5F752BFC1902,monzone@singnet.com.sg
,'2017-08-02,07 - 3577900,JOO LEONG AUTO PARTS SDN BHD,"38,JALAN MUTIARA EMAS 5/14 TAMAN MOUNT AUSTIN JOHOR BAHRU 81100 JOHOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=78007&sid=5BE1C54A4EC28FFA5182A8EEDBBC55E7,jooleong.account@hotmail.com
,'2017-08-02,03 - 78455224,AUTOKEEN SDN BHD,"LOT PT 31563 (2790) PERSIARAN ELEKTRON SECTION U16, KG MELAYU SUBANG SHAH ALAM 40160 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12437&sid=D60868BE64599E848CB865AA207F03CA,meemaa@autokeen.com.my
,'2017-08-02,03 - 76100100,SERI AERO JAYA SDN BHD,D-10-3A MENARA MITRALAND 13A JALAN PJU 5/1 KOTA DAMANSARA 47810 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=91737&sid=3B1D6C30B47B0CAE4D5D3A9C84667D9A,info@seriaero.com
,'2017-08-02,03 - 61876933,PAM GLOBAL SDN. BHD.,LOT 506 JALAN NILAI 7/10 KAWASAN PERINDUSTRIAN NILAI 7 NILAI 71800 NEGERI SEMBILAN,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=104162&sid=781227ECAA0B5E15FEAA4A2970525CC3,pamglobal13@gmail.com
,'2017-08-02,03 - 62860777,SME AEROSPACE SDN BHD,LOT 14643 LOCKED BAG NO. 222 SUNGAI BULOH 47000 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3072&sid=30E4FEFC0446DC3D441FA705A06F2077,paceo@smea.com.my
,'2017-08-02,03 - 21817825,INTER PERFECTION LOGISTICS SDN BHD,11-06 PLAZA 138 JALAN AMPANG  50450 KUALA LUMPUR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=101534&sid=95C9D37B2256B609382E3CBB69F0832E,iplogsb@gmail.com
,'2017-08-02,03 - 21806300,ICON OFFSHORE BERHAD,"LEVEL 12A EAST WING, THE ICON NO. 1, JALAN 1/68F JALAN TUN RAZAK 55000 KUALA LUMPUR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15782&sid=7AB38378CD5CE79842066053175FA790,chartering@iconoffshore.com.my
,'2017-08-02,084 - 322123,FAR EAST SHIPYARD COMPANY SENDIRIAN BERHAD,"2 (2ND FLOOR), LORONG 11 JALAN KG DATU, P.O.BOX 354 SIBU 96007 SARAWAK",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4573&sid=055DDD0AF14F669D232521B0663C0E7B,fareastshipyardsibu@yahoo.com
,'2017-08-02,03 - 51623096,TOP SLINGS TRADING SDN BHD,LOT 11071 & 11072 BATU 3 1/2 JALAN KAMPUNG JAWA KLANG 41000 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=107250&sid=D999FBCEC91FE8D8D7EAA2A6C1347420,chaw@topslings.com.my
,'2017-08-02,03 - 60928888,KELAB VENDOR PERODUA MALAYSIA,"C/O PROCUREMENT & VENDOR  DEVELOPMENT DEPARTMENT PERODUA AUTOMOTIVE CENTRE LOCKED BAG 226, SG CHOH, RAWANG 48009 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11516&sid=378AAAE00F1E9E9F7E7DBAB883424B5A,kvp@perodua.com.my
,'2017-08-02,012 - 4207510,CENTURY RELIGIOUS SUPPLY,83 RESERVOIR CRESCENT  11500 PULAU PINANG,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85643&sid=5AFC837E520E3A171207FCDF08D4568B,linkuen41@gmail.com
,'2017-08-02,03 - 80768718,CTRUK BOATS SDN BHD,SUITE 15 6TH FLOOR IOI BUSINESS PARK BANDAR PUCHONG JAYA PUCHONG 47170 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=103940&sid=D7B8721318BD69F761EEC19945781D51,azmanisa@ctruk.com.my
,'2017-08-02,084 - 218481,GOLDEN ALLRICH SDN BHD,10A LORONG 2 JALAN THEN KUNG SUK 96000 SARAWAK,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79470&sid=F316619D676C1AB6ECA17CECCD13058F,goldenallrich@gmail.com
,'2017-08-02,03 - 40400280,AH HONG MOTOR SDN BHD,NO 621 JALAN SENTUL  51000 KUALA LUMPUR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=104802&sid=4097F849AE252000CDAC72F3436A1DA8,account@ahhongmotor.com.my
