FAILMSG,BIZADD,HREF,CONAME,DATE_SCRAPED,EMAIL,TEL
,51 & 53 JALAN KEMUNING PRIMA D33/D KEMUNING UTAMA COMMERCIAL CENTRE SHAH ALAM 40400 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=32332&sid=C8A5D7DAB01AFA11F9477E96C7DDEAF7,CHH PACIFIC PAPER SDN BHD,'2017-08-02,nhk.cpp@gmail.com,03 - 51229998
,"29A, JALAN TELUK PULAI KAWASAN 7 KLANG 41100 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60041&sid=A5B4CA8F72100CFD5D0C8741ECA8B2C6,AL-HIRAH HOLDINGS SDN BHD,'2017-08-02,info@al-hirah.com,03 - 33701301
,"LOT. 202117-202119, JALAN ZARIB 5 KAWASAN PERINDUSTRIAN ZARIB LAHAT 31500 PERAK",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5566&sid=45ADF9D8BCBBE23D4DBB782299154657,KINTA PRESS & PACKAGING (M) SDN BHD,'2017-08-02,acc@kintapress.com.my,05 - 3220933
,"34, GROUND FLOOR JALAN BRUNEI SELATAN OFF JALAN PUDU 55100 KUALA LUMPUR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82737&sid=CED7A65D9010BD22C9547B86256657DE,SF CREATIVE CARD STATION,'2017-08-02,sfcreative88@yahoo.com,03 - 21413699
,"49, JALAN PBS 14/3 TAMAN PERINDUSTRIAN BUKIT SERDANG 43300 SERI KEMBANGAN 43300 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=74842&sid=24F23FE83F0A3D7FFB8BA2C31D6EA626,PROSPER CENTURY PACKAGING SDN BHD,'2017-08-02,info@pcp.com.my,03 - 89417966
,16 & 18 JALAN KELISA EMAS TAMAN KELISA EMAS 13700 PULAU PINANG,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82875&sid=3B218FE0FCB8AD121F16327CF7010562,FREEMAN INDUSTRIS SDN BHD,'2017-08-02,ucplcosmetic@yahoo.com,04 - 3900822
,10-2 JALAN MENARA GADING 1 TAMAN CONNAUGHT 56000 KUALA LUMPUR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76362&sid=CC24700DEC456658CADD01FF0F1F5B34,T SECURITY SDN BHD,'2017-08-02,sales.my@t-security.com,03 - 91076508
,"3.02D(EAST WING), LEVEL 3 MENARA BRDB BANGSAR 285 JALAN MAAROF BUKIT BANDARAYA 59000 KUALA LUMPUR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76639&sid=D9DDF1810591EBAD44B37B5277C40361,INTER ARC RESOURSES SDN BHD,'2017-08-02,anuar.k@inter-arc.com,03 - 22895000
,LOT 132 JALAN 16/1 KAWASAN  PERINDUSTRIAN CHERAS JAYA BALAKONG 43200 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10849&sid=BE4FD30B3060346FEE9E8ED646748DF8,GENERAL LABELS & LABELLING (M) SDN BHD,'2017-08-02,enquiry@komark.com.my,03 - 90803333
,8-1 JALAN DESA 9/5 BANDAR COUNTRY HOMES RAWANG 48000 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82777&sid=77443771CE9936BDA41BE5BE51306055,SUPREME APPROACH SDN BHD,'2017-08-02,supremeapproach@yahoo.com,03 - 60926460
,"LOT 27, JALAN INDUSTRI 3/1 KAW PERINDUSTRIAN GOPENG GOPENG 31600 PERAK",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6531&sid=ED154492FFE2AE89C3AFA08BAC9C61DA,SEMI CONVERTOR INDUSTRIES SDN BHD,'2017-08-02,sci@semi.com.my,05 - 3577041
,"LOT 9, LINGKARAN SULTAN MOHAMED 1 KAWASAN PERINDUSTRIAN BANDAR SULTAN SULEIMAN PORT KLANG 42000 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11918&sid=EA8CD9590024307E846AE5EE444A4C48,MAH SING PLASTICS INDUSTRIES SDN BHD,'2017-08-02,fklee@mahsing.com.my,03 - 31763718
,22A JALAN TTC 28 TAMAN TEKNOLOGI CHENG 75250 MELAKA,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60791&sid=DDECB77AB23E01BCA87BCA14FE386ECC,HAYAN PRINTS (M) SDN BHD,'2017-08-02,cwmah@hayanpackaging.com,06 - 3356485
,NO. 8 & 13 JALAN 1 KAWASAN PERINDUSTRIAN HI-TECH 2 JALAN SUNGAI LALANG 43500 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8282&sid=4A4BBF1E59520B4110B2AF2C935FB7AE,YOKE FOONG PLASTIC INDUSTRIES SDN BHD,'2017-08-02,betty@yokefoong.com,03 - 87245525
,"32, JALAN LOMBONG EMAS 2 KAW PERUSAHAAN RINGAN OFF JALAN TUN DR ISMAIL, SEREMBAN 70200 NEGERI SEMBILAN",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=83483&sid=9CE0F7547114537D1DD76C267E519CE5,DAN QING PACK (M) SDN BHD,'2017-08-02,dqpack@hotmail.com,06 - 7617505
,"5887, MAK MANDIN INDUSTRIAL ESTATE BUTTERWORTH  13400 PULAU PINANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9391&sid=582486E7E849201B4F6D23B74A873682,BAGAN PRINTERS SDN BHD,'2017-08-02,booneow@baganprinters.com,04 - 3333819
,"LOT 1, PERSIARAN PENGKALAN 29A PENGKALAN MAJU INDUSTRIES PARK LAHAT, IPOH 31500 PERAK",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=71744&sid=9C73C027F093A2964DF62D7E3FA693DD,HEE SOON MEE PLASTICS INDUSTRIES SDN BHD,'2017-08-02,hsmplastics@gmail.com,05 - 3282388
,"LOT 680, BATU 1 1/2 JALAN BANGI SEMENYIH 43500 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76283&sid=50802D56351D4F1B0565D024AFCA8F9A,DF INDUSTRIES HOLDINGS SDN BHD,'2017-08-02,support@defrazer-intl.com.my,03 - 87239128
,LOT 10 JALAN PERUSAHAAN SATU BATU CAVES 68100 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11251&sid=80225F75689B302061A162B5E7C0F657,KIAN JOO CAN FACTORY BERHAD,'2017-08-02,eklim@kianjoocan.com.my,03 - 61896322
,"7,  JALAN INDUSTRI 3 TMN. PERINDUSTRIAN TEMERLOH MENTAKAB 28400 PAHANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3876&sid=145C3245414CB797FE5F83B470292E2B,EVERGREEN FRAME MOULDING (M) SDN BHD,'2017-08-02,leelee@evergreenframe.com,09 - 2776333
,"9, JALAN BANANG 3 TAMAN JOHOR JOHOR BAHRU 81200 JOHOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76926&sid=6456D759BF87496228E9D379E092FF97,WELPAC PLASTICS & PACKAGING INDUSTRIES SDN. BHD.,'2017-08-02,vivian@welpac.biz,019 - 7528383
,"NO 4, JALAN ZUHRAH U5/154  SHAH ALAM 40150 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=41380&sid=04B7C04584F0992C0DC80B4BF7686EE4,EXCEL VENTURES OVERSEAS SDN BHD,'2017-08-02,info@excelventures.net,03 - 78320100
,"5A , JALAN WAWASAN 2 KAWASAN PERINDUSTRIAN SRI GADING BATU PAHAT 83300 JOHOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2707&sid=6FD8E409D1981951CC81FD57B1A92698,BP PLASTICS SDN BHD,'2017-08-02,marketing@bpplas.com,07 - 4557633
,"RUMAH ROHAS, 2ND FLOOR 61, JALAN RAJA ABDULLAH KG BARU 50300 KUALA LUMPUR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13437&sid=EB3269F1CBFE4940F4726BA34DEE82E9,POTAGLAS TANK SDN BHD,'2017-08-02,lee@potaglas.com,03 - 26973900
,LOT 993 OFF JALAN BALAKONG SERI KEMBANGAN  43300 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=56723&sid=2D6407FFF68C3EE8C7B1D17FA8C1680B,MARIBUMI STARCHTECH SDN BHD,'2017-08-02,enquiry@maribumi.com,03 - 89626630
,"LOT 6, JALAN TEKNOLOGI, TAMAN SAINS SELANGOR 1, KOTA DAMANSARA 47810 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=57344&sid=54EB23392829796E2746AC11AD1D5905,FACILIPACK INDUSTRIES SDN BHD,'2017-08-02,kenny.woo@facilipack.com,03 - 61574757
,45 JALAN IMJ 2 TAMAN INDUSTRI MALIM JAYA 75350 MELAKA,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85849&sid=D49B5C173B7A5A4F9691CD094D43EAA2,GREAT PAC UNIVERSAL PRODUCTS,'2017-08-02,greatpacm@gmail.com,016 - 6308630
,"14, JALAN BS 7/10 KAW. PERINDUSTRIAN BKT SERDANG SERI KEMBANGAN 43300 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=86283&sid=F154C730CDEDD4A8BA30842109366F32,ALPHAMOST CORPORATION SDN BHD,'2017-08-02,info@alphamost.com,03 - 89428682
,"LOT 28, JALAN PERMATA 1/1 ARAB-MALAYSIAN INDUSTRIAL PARK  71800 NEGERI SEMBILAN",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=86101&sid=A32AC9165BF691A19D6C244376A19042,POLY PROJECTS SDN. BHD.,'2017-08-02,sales.polyprojects@gmail.com,06 - 7971385
,"26-30, JALAN SRI SULONG 19/A TAMAN INDUSTRI SRI SULONG BATU PAHAT 83020 JOHOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=65198&sid=09E0FB7FAE0330FB359EC270AF18FE36,EB PACKAGING SDN BHD,'2017-08-02,enquiry@elitebase.com.my,07 - 4101188
,P.O. BOX 28 BANDAR BARU BANGI BANGI 43650 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7083&sid=CCA75AC7C8F2B815A9EB6131CF115840,VISCOUNT PLASTICS (MALAYSIA) SDN BHD,'2017-08-02,andy.hartanto@dynapackasia.com,03 - 89250921
,"PLO 7, KAW PERINDUSTRIAN PARIT RAJA PARIT RAJA BATU PAHAT 86400 JOHOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=33861&sid=8DFCD7F02FE632332CC85D40558349F2,HARTA PACKAGING INDUSTRIES SDN BHD,'2017-08-02,asyikin@hartapack.com,07 - 4548333
,"58, JALAN PUTERI 2/4 BANDAR PUTERI PUCHONG 47100 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=42299&sid=6161AA6671D2A82DBB0808FADA6B8472,BIO GREENO SDN BHD,'2017-08-02,biogreeno@gmail.com,03 - 80637889
,"LOT 1563, KG. JAYA IND AREA OFF JALAN KUSTA P. O. BOX 22 47000 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11015&sid=B1AF349A8170A30C8DC3AB2224293507,LABPLAS SDN BHD,'2017-08-02,lenghwa_phoa@jjsea.com,03 - 61575555
,29 JALAN ANGGERIK MOKARA 31/47 KOTA KEMUNING SEKSYEN 31 SHAH ALAM 40460 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=74593&sid=454F22BE0BC3DB8D548529998450F94C,MEGA SECURITY DEVICES (M) SDN BHD,'2017-08-02,baidah.ismail@megafortris.com,03 - 51226118
,"8, 10 & 12, JALAN BUDI TENGAH TAMAN PERINDUSTRIAN WAWASAN BATU PAHAT 83000 JOHOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=31284&sid=F80A63B4695433CD502145E3C1548253,FINNIT PACKAGING INDUSTRIES SDN BHD,'2017-08-02,finnitpackaging@hotmail.com,07 - 4288973
,LOT 1 LORONG CJ 1/1A CHERAS JAYA INDUSTRIAL ESTATE 43200 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=84024&sid=8AA5251F7C6A3D4EA3C2E7BC8A7EF020,PEMARA LABELS (M) SDN BHD,'2017-08-02,info@pemara.com.my,03 - 90861333
,NO 9 JALAN MAJU 1 TAMAN PERINDUSTRIAN CEMERLANG ULU TIRAM 81800 JOHOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=48834&sid=FCD3FAE3882CD103E72B674DE1394944,JB PAPER CARTON SDN BHD,'2017-08-02,jbpcsb@jbpapercarton.com.my,07 - 8634308
,"A108 & A109, JALAN 2A-2 KAW PERUSAHAAN MIEL, SG LALANG, SG PETANI 08000 KEDAH",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10590&sid=936663979832208AC18A62DBA8042442,PLASCYCLE RESOURCES SDN BHD,'2017-08-02,bl_lay@plascycle.com.my,04 - 4428942
,23 JALAN IDAMAN 1/1 SENAI INDUSTRIAL PARK 81400 JOHOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88055&sid=A441107F68F9B70F227F4AFC15AEA0DA,VARIOUS RESOURCES (M) SDN BHD,'2017-08-02,sales@variousresources.com,07 - 5994880
,"94V, LORONG EMAS 3, MERGONG ALOR SETAR KEDAH DARUL AMAN 05150 KEDAH",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=62084&sid=A3AB41C79603F7FA76645AB05E69130D,SLM PACKAGING SDN BHD,'2017-08-02,lo_thiangkeat@slm.com.my,04 - 7358851
,4 JALAN SELAT SELATAN 4 LANDPAC INDUSTRIAL PARK PANDAMARAN 42000 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=61563&sid=BE830B6ED296747BADABC4FBA0F947DF,3U SIN INDUSTRIAL SUPPLY SDN BHD,'2017-08-02,ybkoh65@hotmail.com,03 - 31661241
,"72, JALAN PINANG TUNGGAL 1 KAW INDUSTRI RINGAN TAMAN KEMPAS, SUNGAI PETANI 08000 KEDAH",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=77245&sid=65BC37F961CB8B51D09B522671C2B451,ICON PACKAGING SDN BHD,'2017-08-02,help@iconbag.com.my,04 - 4304388
,"LOT 3 & 5, JALAN SESAMA SERI GOMBAK INDUSTRIAL AREA BATU CAVES 68100 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2875&sid=1B36EE60594C5514F02F4B2F4801DFD4,MILLENNIUM PLASTIC WORLD SDN BHD,'2017-08-02,kalaimalar.v@mpwplastics.com,03 - 61891825
,46-48 LORONG SENAWANG 2/2 KAW PERUSAHAAN SENAWANG SEREMBAN 70450 NEGERI SEMBILAN,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13893&sid=912E743C225629031EF7524D26C1A63A,ACTEN MARKETING SDN BHD,'2017-08-02,acten@actengroup.com.my,06 - 6792828
,"15.08, LEVEL 15 CITY SQUARE OFFICE TOWER 106-108, JALAN WONG AH FOOL, JOHOR BAHRU 80000 JOHOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8960&sid=88EAA08C75E84465636F01092DEC0A1B,MS VENTURE INDSUTRIES SDN BHD,'2017-08-02,admin@asq.com.my,07 - 2225202
,"NO. 7&9, JALAN WAWASAN 2, SUNGAI KAPAR INDAH, 6TH MILE, JALAN KAPAR, KLANG 42200 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12664&sid=6BA84F3EB172CA083B8E88B11F5FF522,ACE-TEX PLASTIC SDN BHD,'2017-08-02,info@ace.com.my,603 - 32916300
,"12 & 14, JALAN SUNGAI BT8/KU6, OFF JALAN SUNGAI PULOH, KAW PERINDUSTRIAN KLANG UTAMA KLANG 42100 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88488&sid=CEB32FD522F7C72F4D771C9F0A58343A,FU FONG PLASTIC INDUSTRIES SDN BHD,'2017-08-02,yplim8283@gmail.com,03 - 32901315
,"521 & 522, JALAN WAJA 4 TAMAN INDUSTRI WAJA KULIM 09000 KEDAH",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=81556&sid=391506932EEF3872C24B5F45E4369739,QUALITY PRINT CENTRE SDN BHD,'2017-08-02,qpcentre@yahoo.com,04 - 4893080
,LOT 32-2 2ND FLOOR RUBY COMPLEX JALAN KANCIL OFF JALAN LANDAK  55100 KUALA LUMPUR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87523&sid=16A90615ADC6FD11959E333DE9E3375E,PUNCAK WARAS SDN BHD,'2017-08-02,martin@puncakwaras.com,03 - 21415314
,1034 JALAN KEBUN BARU KAW INDUSTRI RINGAN JURU SIMPANG AMPAT 14100 PULAU PINANG,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=89073&sid=1C6E010EDE8768037F40F8C535BF3963,ONE FLEXITANK INDUSTRIES SDN BHD,'2017-08-02,enquiry@oneflexitank.com,04 - 5050711
,"NO.1384 ATAS LOT 841, MK-1 JLN TASEK, SIMPANG AMPAT SEBERANG PERAI SELATAN 14120 PULAU PINANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8216&sid=5EBF648BBAE2108B511A978027BC6541,KEAN BENG LEE INDUSTRIES (M) SDN BHD,'2017-08-02,danise@kldind.com.my,04 - 5886042
,"533, JALAN PERUSAHAAN 3 BANDAR BARU SG BULOH, SECTION U20 SG BULOH, SHAH ALAM 40160 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=41383&sid=8ADAF8AC4A23A2FA701E319B108A8B0D,MULTI-WAYS PACKAGING (M) SDN BHD,'2017-08-02,sales@multiways.my,03 - 61563323
,"82, JALAN INDUSTRI BERINGIN TAMAN PERINDUSTRIAN BERINGIN  SIMPANG AMPAT, 14100 PULAU PINANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3158&sid=478DD692222A31C1D6D6D4C37A3C11A1,DOLLAR BEAM (M) SDN BHD,'2017-08-02,dollarbeam88@gmail.com,04 - 5077604
,PLOT 4 KAWASAN PERUSAHAAN SG PETANI (LPK) FASA IV  08000 KEDAH,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94957&sid=5C6FD00002AFE598B53B4C6EB0B547ED,ENRICH PACKAGE (MALAYSIA) SDN BHD,'2017-08-02,douglas@enrichpackage.com,04 - 4482929
,NO 34 GROUND FLOOR JALAN BRUNEI SELATAN PUDU 55100 KUALA LUMPUR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95277&sid=0F80BE525EC147BC9CC0179FF77C423C,SF PRINTING & PACKAGING SDN BHD,'2017-08-02,sfprintingpackaging@gmail.com,03 - 21413699
,P.O BOX 11145  50736 KUALA LUMPUR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4051&sid=6AF40E8BAE20725D0F6B55BD2F1F5932,MALAYSIA PACKAGING INDUSTRY BHD,'2017-08-02,cheesb@maypak.com,03 - 79831877
,NO 2 JALAN SR 7/10 SEKSYEN 7 TAMAN SERDANG RAYA SERI KEMBANGAN 43300 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95521&sid=410C5B4062B7761CAE610EBC15A09109,VALIANT EQUIPMENT SDN. BHD.,'2017-08-02,jorge@valianteq.com,03 - 89430448
,"NO. 9, JALAN SUNGAI CHADONG 8 BATU 5, OFF JALAN KAPAR KLANG 42100 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9185&sid=68FDCEB60777DE23C5F01D3CC6C0C039,CORPLAST PACKAGING INDUSTRIES SDN BHD,'2017-08-02,tan@corplast.com,03 - 32918898
,LOT 1599 BK 6 KBLD TECHNOLOGY INDUSTRIAL 8 DESA SENADIN MIRI 98000 SARAWAK,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95718&sid=38AD45D0FBFC726425E1747B3713F7B6,MIRIPOLY INDUSTRIES SDN BHD,'2017-08-02,info@miripoly.com,085 - 663771
,"LOT 10, JALAN IJUK 26/5 KAW PERINDUSTRIAN HICOM SHAH ALAM 40400 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10968&sid=35D01454EBAABD92EE6BEEE942C64652,HIRO FOOD PACKAGES MANUFACTURING SDN BHD,'2017-08-02,info@hirofood.com,03 - 51929999
,"8, JALAN WAWASAN 1 KAW PERINDUSTRIAN SUNGAI KAPAR INDAH JALAN KAPAR, KLANG 42200 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12669&sid=92818BCCD79FD600FE7E60CC0F705BA0,ACTER CARTON ENTERPRISE SDN BHD,'2017-08-02,ace.eileenlee@gmail.com,03 - 32902328
,"3, JALAN BS 7/1 TAMAN BUKIT SERDANG, SEKSYEN 7 SERI KEMBANGAN 43300 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3436&sid=8D1C5109473D57AE63947E9911B745EE,SUN PAPER BAGS & PACKAGING SDN BHD,'2017-08-02,info@sunpaperbags.com.my,03 - 89455488
,P.O. BOX 13624 KOTA KINABALU  88841 SABAH,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13013&sid=567C50454D7E4AF01D6AE0F406FB3B3D,UNIANG PLASTIC INDUSTRIES (SABAH) SDN BHD,'2017-08-02,psang@uniang.com,088 - 423881
,"24, GROUND FLOOR JALAN 9/95B, TAMAN CHERAS UTAMA CHERAS 56000 KUALA LUMPUR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73226&sid=B9EB693FB81905A71E038F621F7B1E36,SPD MARKETING SDN BHD,'2017-08-02,spdmarketingsdnbhd@gmail.com,03 - 23031690
,"NO. 24, JALAN PERUSAHAAN 3 SERI KEMBANGAN  43300 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9214&sid=39F52CDD2413B490B38D6642247ADEBE,GLASFIL POLYMER SDN BHD,'2017-08-02,sam@glasfil.com,03 - 89488509
,2450 (PLOT 212) MUKIM 1 TINGKAT PERUSAHAAN 4A FREE INDUSTRIAL ZONE PRAI 13600 PULAU PINANG,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98487&sid=0AD8539919FDB3456683E2AF34CDB594,ENER WORLDWIDE SDN BHD,'2017-08-02,gladyskong@enerworldwide.com,04 - 3839699
,"B-10-12, ENDAH PURI JALAN 3/149E TAMAN SERI ENDAH SRI PETALING 57000 KUALA LUMPUR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13753&sid=409674D4E7FDDFA636B1637161831DF2,ANTSWORK COMMUNICATIONS SDN BHD,'2017-08-02,laura@antswork.com,03 - 90592663
,"NO 9 & 10, JALAN MEGA B, TAMAN INDUSTRI MEGA, SEMENYIH, 43500 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13056&sid=ECDCF8044F65FDBD85F9069437276ED1,HEXAGON QUEST SDN BHD,'2017-08-02,enquiry@hexagonquest.com,03 - 82107477
,"NO.55, JALAN UTAMA 2/7 TAMAN PERINDUSTRIAN PUCHONG UTAMA PUCHONG 47140 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98614&sid=DF557DE0618319D77D08D1CA37EFE22E,SHILLS BEAUTY SDN BHD,'2017-08-02,shekhe@shillsbeauty.com,016 - 3179679
,"780 (PLOT 144), LRG PERINDUSTRIAN BKT MINYAK 11 TAMAN PERINDUSTRIAN BKT MINYAK SIMPANG AMPAT 14100 PULAU PINANG",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15886&sid=1AD79D65B8D27E8EF4879A6F7CAA538E,CFL INDUSTRIES SDN BHD,'2017-08-02,cfl@cfl.com.my,04 - 5087100
,NO 1 JALAN TANMING 12 TANMING JAYA INDUSTRIAL PARK BALAKONG 43300 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98683&sid=A43B619B57E3904E94C15D47105587AA,ECO CARTON SDN BHD,'2017-08-02,sales@ecocarton.com.my,03 - 89607093
,"1, JALAN KILANG SATU KAW PERINDUSTRIAN JELAPANG TAMAN PERTAMA, IPOH 30100 PERAK",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10358&sid=ED8FDDB45C0B23730A06107C9F1FF0A1,ASIATIC PLASTIC PACKAGING INDUSTRIES SDN BHD,'2017-08-02,asiappi@pd.jaring.my,05 - 5263917
,90 HALA PERUSAHAAN KLEDANG UTARA 2 KAWASAN PERINDUSTRIAN MENGLEMBU MENGLEMBU 31450 PERAK,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98780&sid=A450B993C1469F16DE9F5C35C85CFED8,MANJOI PLASTIC INDUSTRIES SDN. BHD.,'2017-08-02,manjoi.plastic89@gmail.com,05 - 2812335
,WISMA FEDERAL MALAY HOLDINGS NO 10 PERSIARAN 65C PEKELILING BUSINESS CENTRE JALAN PAHANG BARAT 53000 KUALA LUMPUR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=98782&sid=B5FB4897B2F0943823A7DF6AFA857C1A,FM SECURITY PRINTER SDN BHD,'2017-08-02,fmsecurityprinter@gmail.com,03 - 40221010
,JALAN MELOR 1/2 1 JALAN 29 2 JALAN 39 3 44444 PULAU PINANG,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=30462&sid=63256036489C7405ECEAE073D282E177,NFS MIGRATION UPDATE,'2017-08-02,aidil@matrade.gov.my,55 - 55555555
,"154-155, JALAN PERIGI NANAS 8/13 TAMAN PERINDUSTRIAN PULAU INDAH PORT KLANG 42920 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6123&sid=7F6F5F5684F3334F5B0CEEF16AC1696E,LOW'S CAP SEAL SDN BHD,'2017-08-02,kk@lowcapseal.com,03 - 31012500
,"28-B, LORONG 2D KAMPUNG BARU SUBANG SHAH ALAM 40150 SELANGOR",http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87307&sid=78712017A6FD0E4D1B5FAE6AE9656A78,ACE TEX PACKAGING PRODUCTS SDN BHD,'2017-08-02,info@ace.com.my,03 - 77347777
,1 JALAN TANMING 12 TANMING JAYA INDUSTRIAL PARK BALAKONG 43300 SELANGOR,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=83450&sid=DA1D12735B88A40915AB7B4660A0E49A,YUAN FONG (M) SDN BHD,'2017-08-02,yuanfong.malaysia@gmail.com,03 - 89617093
