BIZADD,EMAIL,DATE_SCRAPED,CONAME,FAILMSG,TEL,HREF 
"273, JALAN LAHAT FALIM IPOH 30200 PERAK",asianmech88@gmail.com,'2017-08-02,ASIA-MECH HYDRO-PNEUMATIC (M) SDN BHD,,05 - 2821518,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5309&sid=28D2F2F5371DFE4E00A9005E087C132F
3 JALAN CHONG KHOON LIN   68000 SELANGOR,modernkinetics@gmail.com,'2017-08-02,MODERN KINETICS ENTERPRISE,,019 - 6552236,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=106068&sid=9E17B5D55AD203537EDA567D8E816C3C
NO 33 B JALAN MEDAN 9 TAMAN MEDAN PETALING JAYA 45000 SELANGOR,algharraengineering@gmail.com,'2017-08-02,AL GHARRA ENGINEERING (M) SDN BHD,,03 - 77727962,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=102311&sid=F226A27E032542EB52753B7DA003A4F5
"15, PERSIARAN INDUSTRI BANDAR SRI DAMANSARA KEPONG 52200 KUALA LUMPUR",marketing@specialsteel.com.my,'2017-08-02,SPECIAL STEEL & ALLIANCE SDN BHD,,03 - 62768888,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5430&sid=453CE395B71572C45E7743C3A73F102D
B-2-10 B PLAZA CRYSTALVILLE VITA LINGKARAN 63000 SELANGOR,kawallcovering@gmail.com,'2017-08-02,KASSAR & AYASSO TRADING SDN BHD,,083 - 220044,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=104393&sid=C6A9A195CF6FFC38DFBBABDBA257C290
"36, JALAN MERANTI JAYA 7 TAMAN MERANTI JAYA INDUSTRIAL PARK PUCHONG 47100 SELANGOR",info@newasiaeng.com,'2017-08-02,NEW ASIA ENGINEERING SDN BHD,,03 - 80618961,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13290&sid=65ABE5A08D9E5B587FB80E6DD5B78C35
"NO 13, JLN 1 KAW PERINDUSTRIAN LEKAS 18 SEMENYIH 43500 SELANGOR",trisonsteel@gmail.com,'2017-08-02,TRISONSTEEL WORKS (M) SDN BHD,,03 - 87277806,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12543&sid=CE18F0A6776CE1D91F5B4E27BC00FE1E
"LOT 766, PERSIARAN SELANGOR SECTION 16 SHAH ALAM 40200 SELANGOR",enquiry.arensimarley@gmail.com,'2017-08-02,ARENSI-MARLEY (M) SDN BHD,,03 - 55190564,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2933&sid=DFE67866950D0472F84285BB2DF85B0C
"LOT 865 SECTION 66, JLN KILANG BINTAWA INDUSTRIAL ESTATE KUCHING 93450 SARAWAK",kkbeb@kkbeb.com.my,'2017-08-02,KKB ENGINEERING BERHAD,,082 - 333877,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13015&sid=EA7454960410DFF8B1570A0AD8E80D6D
"2759, MUKIM 1, LORONG PERUSAHAAN 8 KAW PERUSAHAAN PERAI 2 PERAI 13600 PULAU PINANG",sales@stainless-steel-pipe.com,'2017-08-02,SYARIKAT JAYA TUGAS INDUSTRI SDN BHD,,04 - 3989282,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5724&sid=93684696F56594EE6739F8175EF1CFFD
"WISMA ANN JOO LOT 19391, 8 1 / 2 MILE JALAN KELANG LAMA ,PETALING JAYA 46000 SELANGOR",enquiry.ajm@annjoo.com.my,'2017-08-02,ANN JOO RESOURCES BERHAD,,03 - 78770028,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15203&sid=C53FDD68ABDF2AB789E1B42B6BB90F3F
"LOT 8463 KG JAYA, INDUSTRIAL AREA SG BULOH 47000 SELANGOR",hr@alumac.com.my,'2017-08-02,ALUMAC INDUSTRIES SDN BHD,,03 - 61569457,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10139&sid=EBF9FD63C9350D5D8E4CB752F4930FDF
"11, JALAN TSB 5 TAMAN PERINDUSTRIAN SG BULOH SG BULOH 47000 SELANGOR",sales@sgo.com.my,'2017-08-02,SGO DESIGNER GLASS (MALAYSIA) SDN BHD,,03 - 61572127,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13780&sid=5E813B08E9073D7D7E8FE59A67B002E7
"PLOT 107, 108 & 109, LORONG PERUSAHAAN UTAMA 2 PRAI INDUSTRIAL ESTATE 4 BKT TENGAH, BKT MERTAJAM 14000 PULAU PINANG",contact_us@alphamster.com.my,'2017-08-02,ALPHA MASTER (M) SDN BHD,,04 - 5085076,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12690&sid=CB1EE6B09F95D4B6B0796C5E19EC3056
72 JALAN PINANG 23 TAMAN DAYA  81100 JOHOR,general@probase.com.my,'2017-08-02,SB LAPENDA SDN BHD,,07 - 3556122,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=99173&sid=660D2BE1B41E16124AAE9890E9959DE1
LOT 491-ABC-1 BATU 22 JALAN KUALA SELANGOR MUKIM IJOK BATANG BERJUNTAI 45620 SELANGOR,sonstar491@gmail.com,'2017-08-02,SONSTAR ENGINEERING WORKS SDN BHD,,03 - 60382888,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=94227&sid=3A89B76007F9B7E859E8EC3B900423F2
"5, JALAN TPP 5/1 TAMAN PERINDUSTRIAN PUCHONG PUCHONG 47100 SELANGOR",david@sunshine.com.my,'2017-08-02,SUN-SHINE MARKETING (M) SDN BHD,,03 - 80601696,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12323&sid=F9119FAFD7E593EEBD9D9C3F141E6BE2
NO 447-C TINGKAT 1 JALAN KAMARUDDIN KUALA TERENGGANU 20400 TERENGGANU,muazmaju@gmail.com,'2017-08-02,MUAZ MAJU SDN. BHD,,09 - 6230078,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=99795&sid=7E41BD28FFE3DA87C47B9DC0C5D5DE4F
"13A & 15 BLOK A, 10 BOULEVARD JALAN CEMPAKA, KAMPUNG SUNGAI KAYU ARA PJU 6A 47400 SELANGOR",vwwkeen@gbhgroup.com.my,'2017-08-02,GBH BATHROOM PRODUCTS SDN BHD,,03 - 77252800,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7404&sid=B7E45D01C89EA8DD9581CE1B8A3F6055
16TH FLOOR PLAZA OSK JALAN AMPANG 50450 KUALA LUMPUR,acwong@acolia.com.my,'2017-08-02,ACOLIA SDN BHD,,03 - 21617722,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=69509&sid=B9CEAC1417303EA58A5A820BDD3326B7
"SD 16, JALAN KIP II TAMAN PERINDUSTRIAN KIP  52200 KUALA LUMPUR",adam@cleanroom-industries.com,'2017-08-02,CLEANROOM INDUSTRIES SDN BHD,,04 - 3981778,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11766&sid=273766F89BF0ECD1158526C73D6C25AE
22 & 24 JALAN TPP 5/5 TAMAN PERINDUSTRIAN PUCHONG 47100 SELANGOR,ANKH@NEXTEAMWORK.COM,'2017-08-02,NEXTEAMWORK CORPORATION SDN BHD,,03 - 80603123,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85226&sid=D81FEDDE356E29F01AD94B95F0A27D04
"NO.5-1, JALAN DAMAI MEWAH 1, TAMAN DAMAI MEWAH, OFF JALAN SEMENYIH, KAJANG 43000 SELANGOR",snerissa@ad-teguh.com,'2017-08-02,AD TEGUH SDN BHD,,03 - 87411661,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=50411&sid=9B01A3D1313FFC9A322B7B6892F8C245
LOT 18176 BATU 1/2 OFF JALAN JELAPANG CHEMOR 31200 PERAK,uniplasterhq@gmail.com,'2017-08-02,UNIPLASTER INDUSTRIES SDN BHD,,05 - 2014872,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95200&sid=91830C03C533C59C50379469E85FFEAF
51 JALAN JAGUH 1 TAMAN HARMONI 2 SKUDAI 81300 JOHOR,hksplus@outlook.com,'2017-08-02,HKS PLUS SDN BHD,,07 - 5124924,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82493&sid=4899011DFAFE7175DE9F514B4AEDE79E
"39 & 41, JALAN PENDAMAR 27/90 SECTION 27, ALAM MEGAH SHAH ALAM 40400 SELANGOR",fameco93@streamyx.com,'2017-08-02,RABBAND MARKETING SDN BHD,,03 - 51921993,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10241&sid=347676871310B9EA4B67069128C8FD30
22A JALAN PRI 7 TAMAN PAYA RUMPUT INDAH 76450 MELAKA,el.pyramid@hotmail.com,'2017-08-02,EL PYRAMID IMPORT & EXPORT,,016 - 2258830,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93985&sid=96753894F3AAB15A2FA07BE8BC0802D4
"18 & 20, JALAN TS 6/9 TAMAN INDUSTRI SUBANG SUBANG JAYA 47510 SELANGOR",info@vitracogroup.com,'2017-08-02,VITRACO MARKETING SDN BHD,,03 - 56331417,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=34357&sid=3B46B450CE5CCCB877268AB6DF5BCAF9
11 JALAN ANGGERIK MOKARA 31/62 SEKSYEN 31 KOTA KEMUNING SHAH ALAM 40460 SELANGOR,info@unimetal.com.my,'2017-08-02,UNI-METAL INDUSTRIES SDN BHD,,03 - 51223645,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93689&sid=771272A9304AE4270E5AB235BCC12EB3
113 JALAN BK5/14 BANDAR KINRARA PUCHONG 47100 SELANGOR,dae.malaysia@gmail.com,'2017-08-02,DAE INSTRUMENT SDN BHD,,03 - 80709318,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93634&sid=555355A391DA64681138178F27350C51
NO 8 JALAN SEROJA 42 TAMAN JOHOR JAYA 81100 JOHOR,INFO@JANEWLEADER.COM,'2017-08-02,JA NEW LEADER INTERNATIONAL SDN BHD,,07 - 3516868,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93827&sid=04C18D7FFB08865BD8A56A4E99C25C1D
"LOT PT 1353, JALAN MOHD TAIB KAW INDUSTRI SG CHOH RAWANG 48000 SELANGOR",koksiong@thunghing.com,'2017-08-02,THUNG HING METAL INDUSTRY SDN BHD,,03 - 60999988,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14712&sid=62F8321A6784BFE14A705CDB486EBBE6
"LOT 11901, JALAN IKAN BAWAL TELOK GONG PELABUHAR KLANG 42000 SELANGOR",siewyong@ganiart.com,'2017-08-02,GANIART SDN BHD,,03 - 31342368,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=49679&sid=9B510098A7D29ECD44F5C3EFD6CB47E4
PT 132711 OFF PERSIARAN KLEDANG UTARA 1/5 KWS PERINDUSTRIAN NEGARA JAYA  31450 PERAK,bgkwan@kcss.com.my,'2017-08-02,KWAN CHOON SENG & SONS SDN BHD,,05 - 2817312,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92140&sid=F737A12872786B07640B1DACCB331182
"LOT 197, LRG. SEDCO 5 SEDCO LIGHT IND. ESTATE, OFF MILE 2 ½, OFF JLN. UTARA P.O.BOX 1166, SANDAKAN, SABAH, MALAYSIA 90009 SABAH",everplast@yahoo.com,'2017-08-02,EVERPLAST SDN BHD,,089 - 238833,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82475&sid=3A198DDDBE89B82FCA757258C656EA47
"51, JALAN KUCHAI SATU TAMAN LIAN HOE OFF JALAN KUCHAI LAMA 58100 KUALA LUMPUR",info@marbon.com.my,'2017-08-02,MARBON INDUSTRIES SDN BHD,,03 - 79844262,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5176&sid=D38B021BC00BE700F847F28B1C9B887B
"LOT 139494 KAW PERUSAHAAN PENGKALAN PEGOH, PERSIARAN LAHAT UTAMA, OFF JALAN PENGKALAN, LAHAT, IPOH 31500 PERAK",zennhrbsb@yahoo.com,'2017-08-02,ZENN HRB SDN BHD,,05 - 3229022,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=64717&sid=FFF30F580DF0E1C27AAE2C99CFAA65A5
"LOT 10, JALAN ANGGERIK MOKARA 31/48 KOTA KEMUNING, SECTION 31 SHAH ALAM 40460 SELANGOR",eunice.wong@valmatic.com.my,'2017-08-02,VALMATIC ENGINEERING SDN BHD,,03 - 51229888,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82825&sid=227F0648E3BCB78716EDFB5C1385BEE3
"6-2 JLN 8/23E, TAMAN DANAU KOTA OFF JLN GENTING KELANG SETAPAK 53300 KUALA LUMPUR",badri@pointray.com.my,'2017-08-02,POINTRAY (MALAYSIA) SDN BHD,,03 - 41420052,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8544&sid=23771AC05F68AD3CC7B9F691D6B2DA90
"LOT 32 & 33, JALAN RP 2 RAWANG PERDANA INDUSTRIAL ESTATE RAWANG 48000 SELANGOR",info@wsacim.com,'2017-08-02,CARPETS INTERNATIONAL MALAYSIA MANUFACTURING SDN BHD,,03 - 60931510,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12653&sid=B5900F3E348538650E95881C6B9C292C
LOT 1551 JALAN BUKIT KAPAR KLANG 42200 SELANGOR,enquiries@bluescopesteel.com,'2017-08-02,NS BLUESCOPE MALAYSIA SDN BHD,,03 - 33616888,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9842&sid=A97685482943AE0C991A3B938CB6969F
"NO. 6, 8, 10 & 12, JALAN MARIKH U5/175 BANDAR PINGGIRAN SUBANG SHAH ALAM 40150 SELANGOR",akmar@selia-tek.com,'2017-08-02,SELIA-TEK SDN BHD,,03 - 78456251,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11984&sid=BF38BA8F31772C4DA08A747D6EC4FE09
A63-16-11 JALAN LENGGONG SYMPHONY PARK  11600 PULAU PINANG,sllywng82@yahoo.com,'2017-08-02,YE CLEANROOM ARCHITECTURAL SDN BHD,,04 - 6265309,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=90471&sid=4B8313DB1F49D21BA24ED3BCA277DF59
"NO. 2, JALAN TP3/1 TAMAN PERINDUSTRIAN SIME EUP SUBANG JAYA 47600 SELANGOR",sales@ocpi.com.my,'2017-08-02,OFFSHORE CPI SUPPLY SDN BHD,,03 - 80114067,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10428&sid=35F8226A253BE56AA57C2EDFAB5C0413
"BLOK 55 TINGKAT 7, UNIT 9 JALAN 4/112F PANTAI DALAM 59200 KUALA LUMPUR",inquiry.neualternativ@gmail.com,'2017-08-02,NEU ALTERNATIV SDN BHD,,03 - 22021425,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=77895&sid=A01B3918A894E17FD0E933E6BD22427E
11 LORONG IKS BUKIT MINYAK 1D  14000 PULAU PINANG,ooienghong2010@gmail.com,'2017-08-02,K INNOVATION SDN BHD,,012 - 4776102,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=75893&sid=5CB57A3BED58D1A042E33BF5024D0B4C
41-1 JALAN KEMUNING PRIMA C33/C KEMUNING UTAMA SECTION 33 SHAH ALAM 40400 SELANGOR,rohana@maro.com.my,'2017-08-02,MARO MANUFACTURING SDN BHD,,03 - 55253990,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88147&sid=7E8CB2E12F1BDD49D84AE0C3CFE50AA3
"12 JALAN ASTAKA U8/83 SECTION U8 BUKIT JELUTONG, SHAH ALAM 40150 SELANGOR",general@ymctech.com,'2017-08-02,ACE INGRAND SDN BHD,,03 - 78452450,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88051&sid=914A3ECD511C848DAE88653128C96A78
"11 JALAN BIOTEKNOLOGI 3 KAW PERINDUSTRIAN SILC, NUSAJAYA JOHOR DARUL TAKZIM 79200 JOHOR",edmund.chan@deluge.com.my,'2017-08-02,DELUGE FIRE PROTECTION SERVICES SDN BHD,,07 - 5705910,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79180&sid=F9E312CCFF828DAA4621D446A8EDFC0F
4 JALAN SEGAMBUT DALAM SEGAMBUT  51200 KUALA LUMPUR,koh@chgtsb.com,'2017-08-02,CHAN HENG GUAN TRADING SDN BHD,,03 - 62584033,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=57249&sid=C3E67282651F847E0FB71D5F41AC4688
21 PERSIARAN DESA AMPANG 1 TAMAN SRI AMPANG 68000 SELANGOR,info@federalpaint.com.my,'2017-08-02,FEDERAL PAINT (M) SDN BHD,,03 - 42924684,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=43161&sid=5B0EFD81E5E3495BD2AF8945DC51C181
"NO. 33, JALAN PUTERI 5/20 BANDAR PUTERI PUCHONG 47100 SELANGOR",t.saw@gts.com.my,'2017-08-02,GERMAN TOOLING SYSTEMS (M) SDN BHD,,03 - 80682331,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9622&sid=173A3FA4FEDD5B47EB4706C1B5CA9F2A
"B-18-13A, BLOCK B OASIS SQUARE 2 JLN PJU 1A/7A, ARA DAMANSARA 47301 SELANGOR",admin@nanog.com.my,'2017-08-02,NANO G CENTRAL SDN BHD,,03 - 76100418,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87484&sid=CB74443C0E00C6D601574A3C2214A70A
TG6 MTDC TECHNOLOGY CENTRE  43400 SELANGOR,mail@novapave.com,'2017-08-02,NOVAPAVE SDN BHD,,017 - 6250001,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87499&sid=8BC78A0FD3D5C668CC132CF7CA7DC7B7
"3009, JALAN BELATI TAMAN PERINDUSTRIAN JAYA JOHOR BAHRU 81330 JOHOR",wythe.see.yf@gmail.com,'2017-08-02,SEP CONCRETE PUMP SDN BHD,,07 - 5511536,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82890&sid=2F1B52EE795F4E2E31B9685B75BD2451
"14,16,18 & 20 JALAN MAHIR 2 TAMAN PERINDUSTRIAN CEMERLANG 81800 JOHOR",marketing@fepaabrasives.com.my,'2017-08-02,FEPA SDN BHD,,07 - 8631500,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87481&sid=537FF298E00684F1C02CFFF277F57649
"LOT 14, JALAN PERUSAHAAN DUA BATU CAVES INDUSTRIAL AREA BATU CAVES, SELAYANG 68100 SELANGOR",shutters@col.com.my,'2017-08-02,COL SHUTTERS SDN BHD,,03 - 61877178,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13150&sid=CB2DCC49E937B0C1239854ED5D8C574A
"PLOT 237, LENGKOK PERINDUSTRIAN BUKIT MINYAK 3 BUKIT MINYAK INDUSTRIAL ESTATE SIMPANG AMPAT 14100 PULAU PINANG",info@safetyware.net,'2017-08-02,SAFETYWARE INDUSTRIES SDN BHD,,04 - 5023882,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60110&sid=E3AE068DA3030DA4D001CC63240832AD
"202, LORONG BERLIAN 1/1 TAMAN BERLIAN KULIM 09000 KEDAH",info@proserve-ind.com,'2017-08-02,PROSERVE INDUSTRIAL SUPPLY,,12 - 4246098,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79950&sid=01062E532FF3DFFD41361AC2B8B93344
A 105 BLOCK- A JALAN -12 TAMAN SRI BATU CAVES BATU CAVES 68100 SELANGOR,alfarnazs.exim@yahoo.com.my,'2017-08-02,AL FARNAZS ENTERPRISE,,03 - 61790014,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87940&sid=D87932C6008993285863BB6BB3366F67
"LOT 5, PHASE 1 KAW PERUSAHAAN KULIM KULIM 09000 KEDAH",benth@nipponhartajaya.com,'2017-08-02,NIPPON HARTAJAYA SDN BHD,,04 - 4891246,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=65877&sid=78A5BA1FF413F06DE06AD6C507EABBC7
"LOT 111, JALAN PKNK 2 KAW PERUSAHAAN SUNGAI PETANI (LPK) SUNGAI PETANI 08000 KEDAH",litafinemesh@gmail.com,'2017-08-02,LITA FINEMESH INDUSTRIES SDN BHD,,04 - 4426442,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85075&sid=470496655E4EBD55CA780A5E94C4B53D
"3K, LORONG PEGAWAI 3/1 JALAN PEGAWAI SG PETANI 08000 KEDAH",ahmad_daumi@yahoo.com,'2017-08-02,KOPERASI BEKAS PELAJAR KOLEJ SULTAN ABDUL HAMID KEDAH BERHAD,,019 - 5704640,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=77227&sid=E97AD8160D3367D44C2063E2B11ACB28
"LOT 593 JALAN PINANG JAYA BUKIT PINANG,KEPALA BATAS 06200 KEDAH",admin@haipoint.com.my,'2017-08-02,HAI-POINT STEEL SDN BHD,,04 - 7142487,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=72852&sid=8AE2876758C5EA10A9D5AECE92B2038F
31 JALAN TUKUL P15P SECTION 15 SHAH ALAM 40200 SELANGOR,export@ancomcropcare.com.my,'2017-08-02,ANCOM CROP CARE SDN BHD,,03 - 55194022,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4537&sid=9E3A95C1CD666C34A36E48F5ED5F0B8D
30 JALAN BULAN U5/168 SEKSYEN U5 BANDAR PINGGIRAN SUBANG 40170 SELANGOR,syariful.sir@gmail.com,'2017-08-02,SURIA ILHAM RESOURCES,,03 - 77343083,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88271&sid=D6FD9906FA53160C82B2C4B8646B7858
19A JALAN SEROJA 1A  48300 SELANGOR,arstraders05@gmail.com,'2017-08-02,A R S MUTIARA SDN BHD,,03 - 60211990,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88282&sid=906A00E481A8A731658A5D2278D0E08A
"B-2-17, PLAZA DAMAS 3 63, JALAN SRI HARTAMAS 1 TAMAN SRI HARTAMAS 50480 KUALA LUMPUR",nasim@blackcrestpetroleum.com,'2017-08-02,BLACK CREST PETROLEUM SDN BHD,,03 - 61431139,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=62140&sid=0E38F3F2A04B26CBA9175CE1ADCFB3D1
"LOT PT 355, JALAN TPP 5/1 TAMAN PERINDUSTRIAN PUCHONG, SECTION 5 PUCHONG 47100 SELANGOR",huiling.ha@teamware.com.my,'2017-08-02,TEAMWARE HARDWARE SDN BHD,,03 - 80645888,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88456&sid=D54F0FB7F5B4D9F79D557117B2B25C5C
"4383, JALAN ONG YI HOW BUTTERWORTH  13400 PULAU PINANG",info@madurafasteners.com,'2017-08-02,MADURA FASTENERS (M) SDN BHD,,04 - 3243788,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10074&sid=5F6847C29BBCC2273A2C5DA23E84EA6A
"NO59A, KG BUKIT ANGKAT SG CHUA, 43000 KAJANG SELANGOR 43000 SELANGOR",aantenterprise@hotmail.my,'2017-08-02,AANT ENTERPRISE,,016 - 6242276,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=56817&sid=6FAD7EA3FB9F69C21D67593FBA9980B0
"3A, JALAN DEWANI 1/1 KAW PERINDUSTRIAN DEWANI JOHOR BAHRU 81100 JOHOR",info.my@lucoma.com,'2017-08-02,LUCOMA AG SDN BHD,,07 - 3319310,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88433&sid=3657C0F68C8698212A317F661696C87B
"LOT 574, BATU 2, JALAN BATU TIGA SUNGAI RASAH KLANG 41300 SELANGOR",maryoh@vasco.com.my,'2017-08-02,VASCO SCAFFOLD SDN BHD,,03 - 33423313,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88034&sid=44817B938E004CB6BC6892BE7D4A90C1
"7, JALAN P/14 KAW PERINDUSTRIAN MIEL, SECTION 10, BANDAR BARU BANGI 43650 SELANGOR",acwong@jusgreat.com,'2017-08-02,JUSGREAT SDN BHD,,03 - 89275039,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=90456&sid=77DEA60F4F36EA403351DBEA2FB6A94D
"30, KAW PERINDUTRIAN PUTRA DAMAI SETAPAK JAYA  53200 KUALA LUMPUR",jenny@craftstone.com.my,'2017-08-02,BEST IN BUILDING MATERIALS SDN BHD,,03 - 33736580,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8141&sid=F4621A76796F121617C734D6A3FDA1A0
4 JLN TSB 7 TMN INDUSTRI SG BULOH PETALING JAYA 47000 SELANGOR,info@kenb.com.my,'2017-08-02,KEN B ENTERPRISE SDN BHD,,03 - 61567299,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76912&sid=37C563C541E06059953FD257D834C542
79 JALAN SAMUDRA BARAT 2 TAMAN PERINDUSTRIAN SAMUDRA BATU CAVES 68100 SELANGOR,dlt_group@yahoo.com.my,'2017-08-02,DLT GROUP SDN BHD,,03 - 33710048,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88277&sid=A25503C80F8BA573F349EC53489CB245
"BUSINESS SUITE 19A-31-2 31/F,  UOA CENTRE 19,  JALAN PINANG 50450 KUALA LUMPUR",fouad@rootspacific.com,'2017-08-02,ROOT GROUP PACIFIC SDN BHD,,03 - 21645481,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10317&sid=F165937E3EE73A3877DE0BB7619AE239
11-SHOPLOT 1 LEBUH NIPAH 1 BAYAN LEPAS 11900 PULAU PINANG,buildsurv.consult@gmail.com,'2017-08-02,BUILDSURV CONSULT (M) SDN BHD,,012 - 4726725,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88236&sid=F251B1A8964B195B470C27359960458A
"LOT 5895, JALAN SIMEN RAYA PENDING INDUSTRIAL ESTATE P.O. BOX 2000, KUCHING 93740 SARAWAK",cement@cmsb.com.my,'2017-08-02,CMS CEMENT SDN BHD,,082 - 332111,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79243&sid=29C0F4495E5C1669A84E95E9C596A9A2
"LOT 3, SOLOK HISHAMUDDIN 8 KAW PERUSAHAAN SELAT KELANG UTARA PORT KLANG 42000 SELANGOR",marklin@uembuilders.uemnet.com,'2017-08-02,HOTO STAINLESS STEEL INDUSTRIES SDN BHD,,03 - 31761768,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2895&sid=C28FD16F0CA2D22A95D0CD7618998B69
