EMAIL,DATE_SCRAPED,HREF,CONAME,BIZADD,FAILMSG,TEL 
henryyap@oemfg.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5063&sid=48A993CE25FD61C71D62D839A38F74E2,AUTO ANTENNA MANUFACTURER SDN BHD,"33,  JALAN SG RASAU SECTION16 SHAH ALAM 40200 SELANGOR",,03 - 55123366
info@kawa.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11242&sid=D7176B170531074CAD97D7E566B6C072,KAWA MACHINE TOOLS SDN BHD,"13, LORONG MAK MANDIN 2, MIEL MAK MANDIN, BUTTERWORTH 13400 PULAU PINANG",,04 - 3200133
afizal@gca7.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=46719&sid=A2F5EF167064C1851483F6C32B82624B,GROUP COMPONENTS AUTOMOTIVE SDN BHD,"NO.13, JALAN UTAS 15/7, SEKSYEN 15, SHAH ALAM 40200 SELANGOR",,03 - 55247794
circleacemarketing@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=87097&sid=D2F7D4028250AB6F4AC0A6BE07E9DF10,CIRCLE ACE MARKETING SDN BHD,"7-16, SRI BAHAGIA COURT JALAN BAHAGIA 10, TMN SRI BAHAGIA CHERAS 56000 KUALA LUMPUR",,012 - 4217977
abmmarketing@yahoo.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79290&sid=652E417D771BDE687B644C5825CD9ACC,AMALGAMATED BATTERIES MARKETING (SARAWAK) SDN BHD,"LOT 2224, SECTION 66, LORONG PANGKALAN OFF JALAN PANGKALAN, PENDING INDUSTRIAL ESTATE, KUCHING 93450 SARAWAK",,082 - 333344
wellcoating@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93780&sid=F8B9D292C9841F563448E74150EF01EB,WELL COATING SDN BHD,34 JALAN UTAMA 2/16 TAMAN PERINDUSTRIAN PUCHONG UTAMA PUCHONG 47100 SELANGOR,,012 - 2818841
general.perencana@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=103992&sid=FCCD9F1A651D7AF383098E41DCBDC2DD,PERENCANA DINGIN SDN BHD,B-02-06 OASIS SQUARE JLN PJU 1A/7A ARA DAMANSARA PETALING JAYA 47301 SELANGOR,,03 - 77347283
qualibrakes@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4093&sid=0ACB0F9C441D3C4B9B80C0B1E78584E1,QUALIBRAKES INDUSTRIES SDN BHD,"4, LORONG ABDUL MANAN SATU JALAN HJ ABDUL MANAN, OFF JALAN MERU KLANG 41050 SELANGOR",,03 - 33931933
afibrake@yahoo.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11667&sid=EE59E15BD9240ABEE6D772A8426335B8,AFI BRAKE MANUFACTURING SDN BHD,"PT 21300K, JALAN GELAM 2 KAW PERINDUSTRIAN GONG BADAK KUALA TERENGGANU 21300 TERENGGANU",,09 - 6668666
tthtrd@yahoo.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=77005&sid=A312D81EA6DC3FDD142BA0AE5119A4B0,SAXO PERFORMANCE PARTS SDN BHD,K-156 JALAN BATU KENTONMEN 4 MILES OFF JALAN IPOH 51200 KUALA LUMPUR,,03 - 62585175
imani664@yahoo.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=34751&sid=FDCB9102CE92DEF3B91D9EED5EFC1C22,IMANI FOKAS SDN BHD,"9, JALAN SEJAHTERA 18 TAMAN DESA SKUDAI SKUDAI 81300 JOHOR",,07 - 5599678
soniclong88@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4583&sid=71E536EE16BA78D014607B53705A4457,MEI AUTO ACCESSORY INDUSTRIES SDN BHD,"9-17, JALAN  DESA 5/2 TAMAN DESA KLUANG 86000 JOHOR",,07 - 7724622
wy.chan@goldpartsimpex.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2874&sid=D3A142B0D8C1ED5F07D96993B7970D17,GOLD PARTS IMPEX SDN BHD,"SUITE 7-04, LEVEL 7, CITY PLAZA JALAN TEBRAU,JOHOR BAHRU JOHOR DARUL TAKZIM 80300 JOHOR",,07 - 3329119
rebekah@kristalbond.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6363&sid=775F949034B72365D1E11A358270EF0D,KRISTALBOND TECHNOLOGIES SDN BHD,"44 & 44 A 1, JALAN KELULI AJ7/AJ PUSAT PERNIAGAAN BUKIT RAJA SHAH ALAM 40000 SELANGOR",,03 - 33420969
foo@htpress.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6189&sid=F762D5172808A583CE2ABDE48E9B621C,HT PRESS WORK SDN BHD,"102, JALAN SAWIT BARU 7 KAW PERINDUSTRIAN SAWIT BARU KULAI 81030 JOHOR",,07 - 6525112
mentarisetiasb@yahoo.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=65216&sid=4D26E2A937D39F7AAC175A68074258DA,MENTARI SETIA SDN BHD,17-1 JALAN 1/68E OFF JALAN SENTUL MANIS 51000 KUALA LUMPUR,,03 - 40453848
dinahd@sync-rnd.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=72587&sid=D6386DEA53C957FDDBC52599EBCF7035,SYNC R&D SDN BHD,"NO 22 & 22A JALAN SEKSYEN 15/22 TIONG NAM INDUSTRIAL PARK 2, SHAH ALAM 40200 SELANGOR",,03 - 74905796
info@rsone.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=96362&sid=F0EDE8D0130D7B25D857F219DB42EF67,GAB MOTORSPORT SDN BHD,24 JALAN METRO PERDANA TIMUR 4 KEPONG ENTREPRENEURS PARK KEPONG 52100 KUALA LUMPUR,,03 - 62502888
meemaa@autokeen.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12437&sid=D60868BE64599E848CB865AA207F03CA,AUTOKEEN SDN BHD,"LOT PT 31563 (2790) PERSIARAN ELEKTRON SECTION U16, KG MELAYU SUBANG SHAH ALAM 40160 SELANGOR",,03 - 78455224
rennoil.lube@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=104587&sid=2000EFB8F1CA6B963711BEDACDBC5BD5,RENNOIL INTERNATIONAL SDN BHD,NO 8 JALAN PULAU TIOMAN U10/97 GREENHILL SEKSYEN U10 SHAH ALAM 40170 SELANGOR,,03 - 78322803
admin@arbex.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=83854&sid=772A01CDE98C78FF74CEE05667378194,ARBEX CORPORATION (M) SDN BHD,"94, JALAN KAPAR 27/89 SECTION 27 TAMAN ALAM MEGAH SHAH ALAM 40400 SELANGOR",,03 - 51919544
admin@scentpur.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=67426&sid=8943D9A829FE636CD12D914D8C7E1529,SCENT PUR MANUFACTURING (M) SDN BHD,"PLOT 4 PT 2228 & PLOT 7 PT 2229 JLN BATU ARANG BT 23 KG SG BAKAU, RAWANG 48000 SELANGOR",,03 - 89326682
jktan@providenceresources.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95001&sid=46BC7A2434AF135652560973697661DB,PROVIDENCE RESOURCES SDN BHD,NO 9 JALAN SS 26/8 TAMAN MAYANG JAYA PETALING JAYA 47301 SELANGOR,,03 - 78048700
hazwani@mkcastings.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11181&sid=5DDB1A7BCE7BB0D41B3F3DD8CE10BA01,DIAYO DIE-CASTING (M) SDN BHD,"LOT NO 6033, JALAN KASAWARI BATU 9, OFF JALAN KEBUN BARU TELOK PANGLIMA GARANG 42500 SELANGOR",,03 - 31220488
vision.consultancy@yahoo.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=88303&sid=E9E3562CB7DC8B787BD06A744D1EDA87,VISION LED LIGHTS,"LOT 15.01 15TH FLOOR PUBLIC BANK TOWER 19, JALAN WONG AH FOOK 80000 JOHOR",,07 - 2224226
atn118@yahoo.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80005&sid=48FF64B2E3A7A5774D21F983A21FF702,ATN MARKETING SDN BHD,"8 JALAN KPK 1/5 KAW PERINDUSTRIES KUNDANG KUNDANG JAYA, RAWANG 48020 SELANGOR",,03 - 60344992
ang@extremach.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8523&sid=065645C245C1C4346C05123F19492C42,KEU CONTROL ENGINEERING SDN BHD,"1 & 3, JALAN JASMINE 4, SECTION BB10 KAW PERINDUSTRIAN BKT BERUNTUNG MUKIM SERENDAH, RAWANG 48300 SELANGOR",,03 - 60281648
angie@tongyong.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7676&sid=975C12B830538921E7EBD95DA91E9E65,TONG YONG RUBBER (M) SDN BHD,"PT 71 JALAN HULU TINGGI 26/6 SECTION 26, HICOM INDUSTRIAL ESTATE SHAH ALAM 40000 SELANGOR",,03 - 51915782
swjacsb@hotmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80305&sid=FC0B42B79EDEC42196498B2D5C0D666D,SWJ AIR-CON SDN BHD,LOT P.T. 37623 JALAN 2/37A TAMAN BUKIT MALURI INDUSTRIAL PARK 52100 KUALA LUMPUR,,03 - 62802200
tfg_gear@hotmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=106202&sid=DF8B33390E2BFBB702A210325EE156A0,TONG FONG GEAR SDN BHD,NO 27 JALAN DBP 2 DOLOMITE BUSINESS PARK BATU CAVES 68100 SELANGOR,,03 - 61868222
bmbrake@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13009&sid=3A6B379FF78653B9B2C26C7A8093E8E0,BRAKE MASTER INDUSTRIES SDN BHD,"NO. 3, LORONG 1 C, KKIP SELATAN, INDUSTRI ZONE 1, IZI 1, KKIP P.O. BOX 268, KOTA KINABALU 88856 SABAH",,088 - 496115
kinshold@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2791&sid=29C8EE982E6FBB40A44568A77B8D1731,KINSHOLD SDN BHD,"LOT 5 &  6, ENG CHUAN HING IND'L LOT, KM 10, JALAN TUARAN, P.O. BOX A-317, INANAM, KOTA KINABALU 89357 SABAH",,088 - 425775
dnklim@hotmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12900&sid=44135A4646C8E6E2D19880069FE529AC,M & C MANUFACTURING INDUSTRIES SDN BHD,P .O. BOX 14446 KOTA KINABALU  88850 SABAH,,088 - 421308
mchmkt@pongcodan.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12055&sid=E9040CE2AD80741020A53EBA64409D72,PONG CODAN MARKETING SDN BHD,"LOT 8, KAWASAN PERINDUSTRIAN RAWANG RAWANG  48000 SELANGOR",,03 - 60915249
fetta@marcomy.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13140&sid=25C0A8AFB2F362FDB98FEEB760A1E326,FETTA AUTO PART INDUSTRIES (M) SDN BHD,665-1 KAW PERINDUSTRIAN BKT RAMBAI  75260 MELAKA,,06 - 3517352
enquiry@shzenhoong.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12114&sid=B6FD8B773BC75C8779292F9F4BA73E94,SHZEN HOONG PLASTIC INDUSTRIES SDN BHD,"45 - 47, JALAN 9/118B DESA TUN RAZAK INDUSTRIAL PARK CHERAS 56000 KUALA LUMPUR",,03 - 91723512
shlcoach@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9055&sid=4BAA81D11272972023BD128AEB05F1A3,SIN HOCK LEONG COACH WORKS SDN BHD,"4, JALAN KILANG 3 JELAPANG INDUSTRIAL ESTATE IPOH 30100 PERAK",,05 - 5262236
yusriy@proton.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9797&sid=32EA3D304D8CFC9148FD298AC0A4AF4A,PROTON HOLDINGS BERHAD,PROTON CENTER OF EXCELLENCE KM 33.8 WESTBOUND SHAH ALAM EXPRESSWAY SUBANG JAYA 47600 SELANGOR,,03 - 80269999
qc_asniza@tanlan.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13236&sid=19C0B9E12D3F126910BDCAA6F2479F24,TAN LAN HOLDINGS (M) SDN BHD,LOT 80 JALAN DEGONG KAMPAR 31900 PERAK,,05 - 4661560
p-diesel@p-diesel.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15915&sid=F6BD73A97D153BA72EB50D9AB815C698,POWER DIESEL SDN BHD,"51, JALAN SEGAMBUT PUSAT SEGAMBUT OFF JALAN IPOH 51200 KUALA LUMPUR",,03 - 62589711
qslubricant@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=103349&sid=25E345458C6D66A1A31F7AB4520BE87E,QS LUBRICANT SDN BHD,NO 3 JALAN SR 7/11 TAMAN SERDANG RAYA SERI KEMBANGAN 43300 SELANGOR,,03 - 89579920
sevenbrothersauto@asia.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=107204&sid=1A47D741D3C6C1DF61766622FCEA3F54,SEVEN BROTHERS AUTO PARTS SDN BHD,9 JALAN WAWASAN 3/KU7 KAWASAN PERINDUSTRIAN SG KAPAR INDAH KLANG 42200 SELANGOR,,03 - 32904471
wan-ra@wan-ra.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8596&sid=D705E4AEF245DC8CE888C426747C4041,WAN-RA ENGINEERING (M) SDN BHD,"NO 14, JALAN RUANG U8/109 BUKIT JELUTONG SEKSYEN U8 SHAH ALAM 40150 SELANGOR",,03 - 78596866
ann.kam@qdos.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7673&sid=A91559221BF05CFDFD561D7119E3EDED,QDOS TECHNOLOGY SDN BHD,"NO 99, LEBUHRAYA KAMPUNG JAWA BAYAN LEPAS INDUSTRIAL ESTATE  11900 PULAU PINANG",,04 - 6420000
sales@oskfilter.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=16021&sid=16C960F3CC2B13AA6D1C5244A855A6CA,HAWK SOON HIN INDUSTRIES SDN BHD,8 JALAN PARIT HAJI HASHIM SIMPANG RENGGAM 86200 JOHOR,,07 - 7559727
enquiry@arfsb.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12706&sid=86B1E19C9AFCCA6B48B5830AEE3834C7,ASIAN RESINATED FELT SDN BHD,"LOT PT 1565, JALAN ZAMRUD NILAI INDUSTRIAL ESTATE NILAI 71800 NEGERI SEMBILAN",,06 - 7992296
enquiry@vclassmotorsport.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73671&sid=5CC266CE7BBBD3A629A39DE37F21E971,V-CLASS MOTORSPORT (M) SDN BHD,21-1 JALAN METRO PERDANA TIMUR 1 TAMAN USAHAWAN KEPONG 52100 KUALA LUMPUR,,03 - 62583608
mohd-nazri.ismail@umw.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=15542&sid=5D08E13BD1A5C015C10F2578842B0390,UMW ADVANTECH SDN BHD,P.O. BOX 7052 JALAN UTAS 15/7 SHAH ALAM 40915 SELANGOR,,03 - 51635000
admin@mapletricot.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3393&sid=50378992AB0A52B4B65ED93B9813556C,MAPLE TRICOT INDUSTRIES SDN BHD,"NO. 168, LOT 3470, K.M. 9.7 JALAN BESAR, TONGKANG PECAH BATU PAHAT 83010 JOHOR",,07 - 4152084
bfbmal@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80703&sid=319B28ADA1A47DAB76ACA339F1D985AD,OTO WORLD PARTS SDN BHD,"29, JALAN BJ 6, TAMAN PERINDUSTRIAN BELMAS JOHAN RAWANG 48000 SELANGOR",,03 - 60933648
leefkr@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2341&sid=1B258D6471F7C4B000B1E070A9FB31D2,FKR MARKETING SDN.BHD.,"2A, JALAN WAWASAN 3 / KU7 SUNGAI KAPAR INDAH KLANG 42200 SELANGOR",,03 - 32910178
grace.tan@lubsol.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=77472&sid=8B0818069FA39D59E49300862F3A25F7,LUBSOL (M) SDN BHD,62-1 JALAN METRO PERDANA BARAT 2 TAMAN USAHAWAN KEPONG 52100 KUALA LUMPUR,,03 - 62506162
info@hubleong.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=86054&sid=149A120D3CDAC41BED1ED3030165E4C6,HUB LEONG TRACTORS SDN BHD,226C JALAN KUALA KETIL SUNGAI PETANI 08000 KEDAH,,04 - 4218801
cyong@goodlife.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13200&sid=B2D52FD28A68652C2D017CD840F16B2F,GOODLIFE (M) SDN BHD,"10, JALAN APOLLO U5/190 BANDAR PINGGIRAN SUBANG, SECTION 1 SUBANG 2, SHAH ALAM 40150 SELANGOR",,03 - 78453733
jon@essmart.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12459&sid=4DDDDB47331712D8B4DDE920AF20A6D3,ESSMART SYSTEMS SDN BHD,"NO 1, LORONG BUNGA MATAHARI 1B TAMAN MAJU JAYA AMPANG 68000 SELANGOR",,03 - 92027520
dnc_hq@yahoo.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=90472&sid=EFC83D9CBEB238F1B12A86C463D1C578,DEMAK SALES AND SERVICES (MALAYSIA) SDN BHD,"LOT 801 BLOCK 7, MTLD, DEMAK LAUT INDUSTRIAL ESTATE, KUCHING 93020 SARAWAK",,082 - 433269
enquiry@sunchirin.net,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4300&sid=FC0606B45DE01E070A1F35586789FB7B,SUNCHIRIN INDUSTRIES (MALAYSIA) BERHAD,"LOT 7, JALAN API-API 26/1, HICOM INDUSTR SECTION 26, P.O. BOX 7153 SHAH ALAM 40700 SELANGOR",,03 - 51911558
bogooptical@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12103&sid=3BF9045D340F3BFF17E573A3AB05A10B,BO GO OPTICAL SDN BHD,"LOT 39, JALAN CJ 1/3A CHERAS JAYA INDUSTRIAL AREA 11TH MILE, CHERAS BALAKONG 43200 SELANGOR",,03 - 90756191
uafilter@hotmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3103&sid=79951D59E3CAABB77481339FE3FE6AD4,UNITED AUTOFILTERS INDUSTRIES (M) SDN BHD,"LOT 56, JALAN E 1/2, USAHA EHSAN TAMAN EHSAN KEPONG 52100 KUALA LUMPUR",,03 - 62765981
filton@filton.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2726&sid=238134BD37A749B5059696909319659B,FILTON INDUSTRIES SDN BHD,"LOT 9869, 4 MILES JALAN SELLATHEVAN KG JAWA, KLANG 41000 SELANGOR",,03 - 51611482
export@solidcorp.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=6486&sid=8DF71AC6679A0A552F69E3DAF34E31D3,SOLID CORPORATION SDN BHD,"PLO 436, JALAN GANGSA, KAWASAN PERINDUSTRIAN PASIR GUDANG, PASIR GUDANG, 81700 JOHOR",,07 - 2518268
kyc1180@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=86051&sid=72FDD456480AC153CFAAB3976F332E6A,KYC EVERLIGHT SDN BHD,8-1 JALAN 2/46 A TAMAN NIAGA WARIS 51200 KUALA LUMPUR,,03 - 62528836
cyngo9008@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80885&sid=670FE821AACAB344B886DD99C22040D3,EXCLUSIVE CONTENTS SDN BHD,"2A & 6, JALAN KORPORAT 1B/KU9, TAMAN PERINDUSTRIAN MERU, KLANG 42200 SELANGOR",,008 - 33938900
geoklan.chang@biosurgeasia.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=53184&sid=68B067D77B5F67F2E63860B4DAF6649F,BIOSURGE ASIA SDN BHD,"T1-11-05, TOWER ONE, 8TRIUM TOWERS, BANDAR SRI DAMANSARA  52200 KUALA LUMPUR",,03 - 62638088
arham@autov.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11966&sid=DE0BE5AE0D868D678FB81BEEC2AA5A7B,AVENTUR DOOR SYSTEM SDN BHD,WISMA AIC LOT 3 PERSIARAN KEMAJUAN SECTION 16 SHAH ALAM 40200 SELANGOR,,03 - 55415248
pkk88@everthrough.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2181&sid=F3A7F00BD69E7F97C925C510D0DA6D68,EVERTHROUGH RUBBER PRODUCTS SDN.BHD.,LOT 3 KAMUNTING INDUSTRIAL ESTATE TAIPING 34600 PERAK,,05 - 2911133
juliuslim@ehautolink.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4182&sid=0340628E09B7BE743204C59BABBDC018,EH AUTO LINK (ASIA) SDN BHD,12 JALAN 2/32A BATU 6 1/2 OFF JALAN KEPONG  52100 KUALA LUMPUR,,603 - 62578000
zardyong@automotivesynergy.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85574&sid=D82589433AF545EA33C03FCB16459DF4,AUTOMOTIVE SYNERGY INCORPORATED SDN BHD,"UNIT 103, 1ST FLOOR, BLOCK C DAMANSARA INTAN, JALAN SS 20/27 PETALING JAYA 47400 SELANGOR",,03 - 71183663
seow_kl@fmpauto.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10925&sid=F7E691DC671D34B7CB1672A8A6DE91CF,FMP AUTOMOTIVE (MALAYSIA) SDN BHD,"LOT 17, PERSIARAN SABAK BERNAM SECTION 26 SHAH ALAM 40000 SELANGOR",,03 - 80817306
arham@autov.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11968&sid=A8A94859D80E99F6480BE418952C967A,AUTOMAKO SDN BHD,LOT 3 WISMA AIC PERSIARAN KEMAJUAN SECTION 16 SHAH ALAM 40200 SELANGOR,,03 - 55415248
Noor-Fanida.Ahmad-Bakri@conti.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10997&sid=969840EF1CAABB7BE2D8155C7EA219C2,CONTINENTAL SIME TYRE PJ SDN BHD,"4, JALAN TANDANG PETALING JAYA  46050 SELANGOR",,03 - 77818833
enquiry@hipro.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=79230&sid=B5E80E18942034C3E250295621E43F3D,HI-PRO LINK (M) SDN BHD,"NO. 45, JALAN KESIDANG 2, RCI PARK, KAWASAN PERINDUSTRIAN SG CHOH, SERENDAH 48200 SELANGOR",,03 - 67334250
info@stauff.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=85417&sid=A3C3F25812076D3CC29C522A5949B09B,STAUFF SOUTH EAST ASIA SDN BHD,8 JALAN SS13/6A SUBANG JAYA INDUSTRIAL ESTATE  47500 SELANGOR,,03 - 56377888
zizie@m7japan.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=97791&sid=D2CCEE4BE8CF5A6CF21870587D1C69EA,SUCCESS MONZA SDN BHD,77 JALAN GERODA 1 OFF JALAN CENDERAWASIH  80350 JOHOR,,011 - 37719266
steven.ngchieng@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12350&sid=225E1BFF40A7AD9ECECC48E9EDCC1E01,FUNG KEONG RUBBER MANUFACTORY (MALAYA) SDN BHD,"NO.2A, JALAN WAWASAN 2/KU7, SUNGAI KAPAR INDAH P.O. BOX 56 KLANG 41700 SELANGOR",,03 - 32911901
panamaquest@yahoo.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=103413&sid=B09C85C8481A8BCF242D59307E877F32,PANAMA QUEST AUTO PARTS GROUP SDN BHD,NO 29 JALAN 3/3C SRI UTARA BATU 7 OFF JALAN IPOH BATU CAVES 68100 KUALA LUMPUR,,03 - 62503133
philip@intag.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95489&sid=84AAAB8269866D80484E2DCA5A19183A,INTAG INDUSTRIAL SUPPLIES SDN BHD,PLO 226 JALAN KENCANA MAS KAWASAN PERINDUSTRIAN TEBRAU 3 JOHOR BAHRU 81100 JOHOR,,07 - 3510099
japolysales@gmail.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82831&sid=5FF087A2529726706BF8A35E2FE653B0,JEB AUTO SDN BHD,LOT 1569 JALAN KUSTA KAW PERINDUSTRIAN KG JAYA SUNGAI BULOH 47000 SELANGOR,,03 - 61578282
siti_faridzah@primeluxenergy.com,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13223&sid=0ACF3C1BFE58E98F11C8A62928B51968,PRIMELUX ENERGY SDN BHD,"PLOT 1, KAW PERINDUSTRIAN BANDAR BARU DARULAMAN JITRA 06000 KEDAH",,04 - 9199199
sales@pfges.com.my,'2017-08-02,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76923&sid=55BB682DE99D47583458958B77CD39CB,PFG VENTURES RESOURCES SDN BHD,"3-1A , JALAN PANDAN 3 / 9 PANDAN JAYA  55100 KUALA LUMPUR",,03 - 92021665
