FAILMSG,BIZADD,DATE_SCRAPED,TEL,HREF,EMAIL,CONAME
,"49-2, JALAN USJ 10/1G UEP SUBANG JAYA  47620 SELANGOR",'2017-08-02,03 - 56338444,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14852&sid=C9B7957BA37D6CAFFA15ACD1A7467F05,bfr.zainudin@gmail.com,BRIDGE FIELDS RESOURCES SDN BHD
,TINGKAT 7 BALAI FELDA JALAN GURNEY 1 54000 KUALA LUMPUR,'2017-08-02,03 - 26881000,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2425&sid=9FB9C47B36995A5368FCF1C95E5C9701,rosli.j@felda.net.my,FELDA RUBBER INDUSTRIES SDN BHD
,K.B. 705 ULU TIRAM ESTATE JOHOR BAHRU 80990 JOHOR,'2017-08-02,07 - 8611808,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2260&sid=496D793FF1D3516DE373758DE007C44A,sales@skellerup.com.my,SKELLERUP INDUSTRIES (M) SDN BHD
,53  & 54 SENAWANG INDUSTRIAL ESTATE SEREMBAN  70450 NEGERI SEMBILAN,'2017-08-02,06 - 6771711,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2642&sid=742A361AA01ADA2949A447B0820A0AD7,edlee892@yahoo.com,SUN RUBBER INDUSTRY SDN BHD
,9 JLN TTJ S 3/1 TMN TUANKU JAFFAR SEREMBAN 71450 NEGERI SEMBILAN,'2017-08-02,06 - 6778304,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=54962&sid=544217BD074E257F38BFAD65843FA88E,tradehouse@ratyhcorp.com,RATYH GLOBAL
,"45, JALAN SESAMA TAMAN PERUSAHAAN BATU CAVES 68100 SELANGOR",'2017-08-02,03 - 61863378,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=7006&sid=EDB0A66A823EF622C40D49613264C3F0,kkyeaw@cooltecindustries.com,ASSOCIATED FIRST RUBBER (M) SDN BHD
,"SITE 22, TASEK AVENUE KAW PERINDUSTRIAN TASEK IPOH 31400 PERAK",'2017-08-02,05 - 5476712,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9115&sid=8C2FE36690C2054E97A4AE1942486E30,lameweyeoh@yahoo.com.sg,KINTA RUBBER WORKS SDN BHD
,3B-29-08 N-PARK JALAN BATU UBAN GELUGOR 11700 PULAU PINANG,'2017-08-02,012 - 4111899,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9333&sid=977F240FDFF9431C94B000C7D853A261,sharon@flexdeal.net,FLEXDEAL VENTURE SDN BHD
,"BOX 236, SUITE 4.02 - 4.04 WISMA CENTRAL JALAN AMPANG 50450 KUALA LUMPUR",'2017-08-02,03 - 21610412,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=58572&sid=825F0051F6393FA58ABC8FCCF69E7D77,admin@cempakagroup.com,CEMPAKA OILFIELD SDN BHD
,"5,7 & 9 JALAN INTAN 1 PHASE NU 3A1 NILAI UTAMA ENTERPRISE PARK NILAI 71800 SELANGOR",'2017-08-02,03 - 80614276,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12094&sid=3B2B2FE7F5B3C2EFDB790A66AF0F6801,cvliew@multiplexpackaging.cc,MFR TECHNOLOGLY SDN BHD
,"PLOT 4, TAMAN PERINDUSTRIAN PERABOT JALAN PUSING 31550 PERAK",'2017-08-02,016 - 7008818,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60257&sid=76706EF2F84DFA61412C21DA535E2A5E,sales@verlastic.com,VERLASTIC SDN BHD
,"30, JALAN BAGAN NIRA 26/8 HICOM INDUSTRIAL PARK SECTION 26, SHAH ALAM 40000 SELANGOR",'2017-08-02,03 - 51922913,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60267&sid=BE280F65B8F3A5898A1C4B3BBEF106DB,adminsa@kajsb.com.my,KEJURUTERAAN ASAS JAYA SDN BHD
,"43, JALAN KUBAH U8/62 BUKIT JELUTONG  40150 SELANGOR",'2017-08-02,03 - 78469008,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=60425&sid=F18A018E0040BB8FF0331DF9331349D5,anusha_m_au@yahoo.com.au,WORLDWIDE CONSULTANCY SERVICES
,13 JALAN TIB 1/4 TAMAN INDUSTRI BOLTON BATU CAVES 68100 SELANGOR,'2017-08-02,03 - 61884918,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=61323&sid=843D0270BC783DB03B1127FBF01FA2C4,magnetworld.7888@gmail.com,MAGNET WORLD ENTERPRISE SDN BHD
,"3, JALAN JASMINE 5 SECTION BB 10 BANDAR BKT BERUNTUNG, RAWANG 48300 SELANGOR",'2017-08-02,03 - 60282888,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8848&sid=1C88E08B9042E9B2BD00494A61196F9E,spencernyf@qssb.com,QS SYSTEMS SDN BHD
,"18, JALAN UTAS 15/7 SECTION 15 SHAH ALAM 40200 SELANGOR",'2017-08-02,03 - 55108810,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=31286&sid=7EF50141A87A5887D6D2F1E355D0EC56,sh.ong@estop-group.com,ESTOP SDN BHD
,5 JALAN TP2 TAMAN PERINDUSTRIAN SIME UEP 47600 SELANGOR,'2017-08-02,03 - 80263481,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=69810&sid=81CC0B8BC484BE8EF4FD3AC5252AF7AC,dr.jens@performance-additives.com,PERFORMANCE ADDITIVES SDN BHD
,"16, JALAN GANGSA SD 5/3G BANDAR SRI DAMANSARA  52200 KUALA LUMPUR",'2017-08-02,03 - 62777139,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10654&sid=2A583E605124353CDD181DA2AAA991E7,sfrubber@gmail.com,SEASONS FAST RUBBER INDUSTRIES SDN BHD
,"4, JALAN TSB 11 TAMAN INDUSTRI SG BULOH SG BULOH 47000 SELANGOR",'2017-08-02,03 - 61562020,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=53298&sid=5F754F4D082EEA30D318D3FC7CDBEBAF,enquiry@armstrong.net.my,FOAMLINE INDUSTRIES SDN BHD
,"A-06-03, LEVEL 6, EMPIRE TOWER 1, EMPIRE SUBANG JALAN SS 16/1, SS16 SUBANG JAYA 47500 SELANGOR",'2017-08-02,03 - 56329981,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4928&sid=29A97CB386E748C94BA71282728723B1,marketing@giibworld.com,GOODWAY RUBBER INDUSTRIES SDN BHD
,"LOT 1666, JALAN KUBONG, SEDC INDUSTRIAL, LIMBANG 98700 SARAWAK",'2017-08-02,085 - 212770,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=44721&sid=99F6C8F8D231FDE07B348306ED065EFD,pinggir.sumberjaya@yahoo.com,PINGGIR SUMBERJAYA SDN BHD
,"PLOT 56-61, SOLOK PERUSAHAAN 1 PRAI INDUSTRIAL COMPLEX P.O.BOX WD 204, PRAI 13609 PULAU PINANG",'2017-08-02,04 - 3906212,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2444&sid=24174EE92FE12DD9839A051645EA49DD,chanbc@cec.com.my,CENTRAL ELASTIC CORPORATION SDN BHD
,16 JALAN BP 5/3 PERINDUSTRIAN BANDAR BUKIT PUCHONG SELANGOR DARUL EHSAN 47100 SELANGOR,'2017-08-02,03 - 80624398,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=71738&sid=72E7398D390713F42981A7A03F029619,mmmach8@gmail.com,M.M.MACHINERY AND AUTO-PART SDN BHD
,"20, JALAN APOLLO U5/191 BANDAR PINGGIRAN SUBANG SECTION U5, SHAH ALAM 40150 SELANGOR",'2017-08-02,03 - 78458799,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=71594&sid=E190A0E576ECF088DE4805F740072363,sales@newedgecorp.com,NEW EDGE CORPORATION SDN BHD
,11. JALAN JASMINE 11 BANDAR BUKIT BERUNTUNG SECTION BB 10 RAWANG 40830 SELANGOR,'2017-08-02,03 - 60282110,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=71524&sid=887D52B9607CC8E6AAEDCAF0CE9CFA42,jamil@tracrubber.com,RUBBER DOMINANT SDN BHD
,"7118, KAW PERINDUSTRIAN MAK MANDIN MAK MANDIN BUTTERWORTH 13400 PULAU PINANG",'2017-08-02,04 - 3322335,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13074&sid=DDD465852502E0D6FC7CF5246F4872A3,gpchng@professional-tools.com,PROFESSIONAL TOOLS & DIES SDN BHD
,"WISMA HOCK PENG, GROUND FLOOR, TO 2ND FLOOR 123, GREEN HEIGHTS JALAN LAPANGAN TERBANG, KUCHING 93250 SARAWAK",'2017-08-02,082 - 435435,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=61622&sid=4B3ECAA43F1F96BD7BEBBBF35E7E9963,inquiry@ecorrex.com,WEIDA ECO RUBBER SDN BHD
,"LOT 2-3A, LEVEL 2, CHERAS PLAZA 11, JALAN MANIS 1 TAMAN SEGAR. CHERAS 56100 KUALA LUMPUR",'2017-08-02,03 - 91301037,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73252&sid=6AA5348DFBA8D318A9E93F444B4CDBDA,laijl@insulflex.com.my,INSULFLEX CORPORATION SDN BHD
,"19A, JALAN 29, SELAYANG BARU BATU CAVES 68100 SELANGOR",'2017-08-02,03 - 61381011,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=89612&sid=FF957E64B12FAAA242CD40F48B10C4AB,kenneth@schmaco.com.my,SCHMACO MARKETING (M) SDN BHD
,"LOT 6224, 17 1/2 MILE JALAN AIR HITAM SENAI 81400 JOHOR",'2017-08-02,07 - 5990699,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12028&sid=08DB5E96AE834213D6AEBD9148803312,raymond@miroadrubber.com,MIROAD RUBBER INDUSTRIES SDN BHD
,"LOT 3981, OAKLAND INDUSTRIAL PARK JALAN HARUAN 1 SEREMBAN 70300 NEGERI SEMBILAN",'2017-08-02,06 - 6012468,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9279&sid=3F606971408D4001525AA09AAE08425D,andylim@titilatex.com,TITI LATEX SDN BHD
,LOT PT 34252 JALAN SEKOLAH RANTAU PANJANG KLANG 42100 SELANGOR,'2017-08-02,03 - 32905619,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92229&sid=FEA79D90F4C8B8E3A2CA16681738FC89,doshin@rubberdamping.com,DOSHIN RUBBER PRODUCTS (M) SDN BHD
,LOT PT 34252 JALAN SEKOLAH RANTAU PANJANG KLANG 42100 SELANGOR,'2017-08-02,03 - 32905619,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92230&sid=CE5A764231896428A6833FCA79DC2214,doshin@rubberdamping.com,QUALITY PROFILE SDN BHD
,"LOT 7, JLN PBI 2 PERINDUSTRIAN BUKIT INDAH SUNGAI BULOH 47000 SELANGOR",'2017-08-02,03 - 61519005,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=82960&sid=0ECCC71A43BA51B812C778E8CFAF77D9,info@srielastomers.com,SRI ELASTOMERS SDN BHD
,NO A-1-7 KOMPLEKS INDUSTRI PUCHONG NO1 JALAN TPP 1/6 TAMAN PERINDUSTRIAN PUCHONG SEKSYEN 1 47100 SELANGOR,'2017-08-02,03 - 80683100,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=92710&sid=5D5888A4210061685798B8DCF6294CB6,admin@b2bgreenrubber.com,B2B RUBBER INDUSTRIES SDN. BHD
,NO 45 JALAN D'ALPINIA 1 TAMAN D'ALPINIA PUCHONG 47120 SELANGOR,'2017-08-02,019 - 7241991,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93606&sid=CFC778E4E4593E33B3338452516EB2E8,anisaexim@outlook.com,ANISA EXIM TRADING
,"NO.22, JALAN TPP 6/3, TAMAN PERINDUSTRIAN PUCHONG, 47100 SELANGOR",'2017-08-02,03 - 80605229,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=74399&sid=85D4E152FFCED5B4E4F80393C7DE67B2,info@parkscapeconcept.com,PARKSCAPE CONCEPT SDN. BHD.
,NO 6B (2ND FLOOR) PERSIARAN GREENTOWN 4 GREENTOWN AVENUE IPOH 30250 PERAK,'2017-08-02,05 - 2553939,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=93911&sid=0C6C29D310F0F36BBFB91CAFDA6B0DF1,michelleleong@sanctuaryhealth.com.my,SANCT HEALTH MARKETING SDN BHD
,"8, JALAN APOLLO U5/196 BANDAR PINGGIRAN SUBANG, SECTION U5 SHAH ALAM 40150 SELANGOR",'2017-08-02,03 - 78458995,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13567&sid=AB30443711585E51E17617941F9672F0,marketing@protec-corp.com,PRO-TEC INDUSTRIES SDN BHD
,13-1 JALAN REMIA 4/KS6 TAMAN AMBANG BOTANIC 41200 SELANGOR,'2017-08-02,03 - 33248125,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=73947&sid=6AA4354B3D251E2CBE40D534BB156505,andyhayzal@gmail.com,ROTOLINK SDN BHD
,"LOT 876 B & C, JALAN SUBANG 9 TAMAN PERINDUSTRIAN SUBANG SUBANG JAYA 47610 SELANGOR",'2017-08-02,03 - 80233899,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2504&sid=F43D17B22DA3E496AABD520C2745DFEF,cellotron@gmail.com,CELLOTRON CORPORATION (M) SDN BHD
,"LOT 2736, JALAN RAJA NONG KLANG  41200 SELANGOR",'2017-08-02,03 - 51617778,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=14008&sid=E980BF162933D9233DB940F8EDEA71D0,admin@superlon.com.my,SUPERLON WORLDWIDE SDN BHD
,"305,  BLOCK B,  PUSAT DAGANGAN PHILEO DAMANSARA II 15, JALAN 16/11, OFF JALAN DAMANSARA PETALING JAYA 46350 SELANGOR",'2017-08-02,03 - 74910278,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11095&sid=2F1AADD38C02725C318A1B3535C4EBFC,info@parkgames.com.my,PARK GAMES EQUIPMENT (M) SDN BHD
,48-1 JALAN PJS 1/50 PETALING UTAMA AVENUE 46150 SELANGOR,'2017-08-02,03 - 77833117,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=57434&sid=02EC20B63F3547C7B1BADF05F70D0D19,gmklagroup@gmail.com,KL TOP TRADING SERVICES
,LOT 9 & 10 KAW PERINDUSTRIAN MIEL BATANG KALI  44300 SELANGOR,'2017-08-02,03 - 60572307,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=74803&sid=32FAB2FDF8C4975277907E22CBD84AC7,thilatusker@gmail.com,TUSKER TRANSMISSION (M) SDN BHD
,LOT 4 INDUSTRIAL ESTATE ALOR GAJAH 78000 MELAKA,'2017-08-02,06 - 5591275,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=75251&sid=CB10B73BEC58D01E7B1F60A5B9B5B443,carole.michel@joubert.com.my,JOUBERT S.A. (M) SDN BHD
,"5-G & 1, JALAN S2 B1 LAKE VIEW SQUARE SEREMBAN 2 70300 NEGERI SEMBILAN",'2017-08-02,06 - 6012468,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=34284&sid=0E581F9D227C79C696A4A662120DB7F1,marketing@titilatex.com,TATT WIN RUBBER INDUSTRIES SDN BHD
,"LOT 1405, MUKIM PEDAH 59 MILE, JALAN KUANTAN JERANTUT 27000 PAHANG",'2017-08-02,09 - 2663522,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=2221&sid=8F8E448A069E35A8D1909E2D466CD3C7,sclr2828@yahoo.com,SYARIKAT CHUAN LEE RUBBER SDN BHD
,"P.O.BOX 1155, SANDAKAN,  90712 SABAH",'2017-08-02,089 - 668833,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4294&sid=2059C722FF8059D89C632EAA88559A93,minghuat.acc@gmail.com,MING HUAT INDUSTRIES SDN BHD
,TOPAH BARU ESTATE SEMELING BEDONG 08100 KEDAH,'2017-08-02,04 - 4573616,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=106984&sid=C6FDF4E6D244B4B23A7D713238A71BA1,tayhr@tayrubber.com.my,TEH AH YAU RUBBER FACTORY SDN BHD
,"54, PERSIARAN RISHAH 2A TAMAN RISHAH IPOH 30100 PERAK",'2017-08-02,016 - 5500209,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=76111&sid=E0FCBFD69AAF8BEE5195D5BE44E41408,samjp70@hotmail.com,INTEC QRC TECHNOLOGIES (MALAYSIA) SDN BHD
,"LOT 9083, JALAN UDANG GALAH TELOK GONG PORT KLANG 42000 SELANGOR",'2017-08-02,03 - 31343902,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=3019&sid=E8C7AE104D4CC30283CD92A100295D65,info@lienrub.com,LIEN HUAT GROUP MALAYSIA
,"LOT 7, KAW PERUSAHAAN RAWANG MUKIM RAWANG, DAERAH GOMBAK RAWANG 48000 SELANGOR",'2017-08-02,603 - 60915248,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=8177&sid=469CE960B501F006725E4F884274C6F7,exporthod@pongcodan.com,PONG CODAN RUBBER (M) SDN BHD
,LT 45 ALOR GAJAH INDUSTRIAL ESTATE  78000 MELAKA,'2017-08-02,06 - 5563688,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4465&sid=F657F83EEBD5B3B2AE2E5276C689C9C3,admin@srikota.com,SRI KOTA RUBBER MFG SDN BHD
,"52, JALAN SERULING 58 TAI-CHONG INDUSTRIAL PARK TMN KLANG JAYA, KLANG 41200 SELANGOR",'2017-08-02,03 - 33243325,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11682&sid=E9A3C26598BD561C1D19277262CE9F4C,info@scrubbermembrane.com,SAIL CREST INDUSTRY SDN BHD
,25.03A LEVEL 25 JOHOR BAHRU CITY SQUARE OFFICE TOWER 106-108 JALAN WONG AH FOOK 8000 JOHOR,'2017-08-02,07 - 2087541,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=107209&sid=8FF3CCAB45434E0A6EE7E45C1A3BDD56,candy@myosia.com.my,MYOSIA SDN. BHD.
,NO 13 JALAN RAHMAT 25/75 TAMAN SRI MUDA SHAH ALAM 40400 SELANGOR,'2017-08-02,03 - 51222770,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95757&sid=156BF58741D0EEE5A525A0E65A94CCD4,shan@jasanga-malaysia.com,JASANGA (M) SDN BHD
,"1, JALAN INDUSTRI DESA AMAN 1/1 SG LALANG BEDONG 08100 KEDAH",'2017-08-02,04 - 4581223,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11436&sid=6DDADE57D775D9E62D1C38840AE900B7,sales@medical-rubber.com,MEDICAL RUBBER PRODUCTS SDN BHD
,"LOT 10-13, JALAN PKNK 1/2 KAW PERINDUSTRIAN SG PETANI SG PETANI 08000 KEDAH",'2017-08-02,04 - 4414644,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=11757&sid=E0673CEBF50ED93043489602F5AFAF03,khsaw@maidamax.com,MAIDAMAX (M) SDN BHD
,"2496, LORONG PERUSAHAAN BARU 2 PRAI INDUSTRIAL ESTATE PRAI 13600 PULAU PINANG",'2017-08-02,04 - 3998677,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12168&sid=1DAB7034329DD210330FC161F6CA31DC,incline@inclinedynamics.com,INCLINE DYNAMICS SDN BHD
,"LOT 93,  PORTLAND AVENUE TASEK INDUSTRIAL ESTATE IPOH 31400 PERAK",'2017-08-02,05 - 2910599,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12816&sid=227EB4F15B172061112DC034CC7AB972,sales@eversafe.com.my,EVERSAFE RUBBER WORKS SDN BHD
,"2A & 6, JALAN KORPORAT 1B/KU9, TAMAN PERINDUSTRIAN MERU, KLANG 42200 SELANGOR",'2017-08-02,008 - 33938900,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80885&sid=670FE821AACAB344B886DD99C22040D3,cyngo9008@gmail.com,EXCLUSIVE CONTENTS SDN BHD
,"LOT 45 &46 MUKIM BAGAN SENA LABU BESAR, KULIM 09010 KEDAH",'2017-08-02,04 - 4031612,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=5646&sid=BC399EB4541C180F65E801B74ECA770B,nathan@halcyonagri.com,EUROMA RUBBER INDUSTRIES SDN BHD
,"LOT 1908, BATU 7, JALAN BUKIT KEMUNING, SECTION 34, SHAH ALAM 40470 SELANGOR",'2017-08-02,03 - 51212662,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13087&sid=606B6EAD14AE20038EB7D45CC5BE5B3B,keithng@furniweb.com.my,TEXSTRIP MANUFACTURING SDN BHD
,10 JALAN APOLLO U5/190 BANDAR PINGGIRAN SUBANG SEKSYEN 1 SUBANG 2 SHAH ALAM 40150 SELANGOR,'2017-08-02,03 - 78453733,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=41727&sid=3CB19BD6DDFB4A01303FA4CC03CE6CB4,cyong@goodlife.com.my,GOODLIFE ELASTOMER (M) SDN BHD
,"NO. A153, JALAN 3 KAWASAN PERUSAHAAN MIEL SUNGAI LALANG PHASE V SUNGAI PETANI 08000 KEDAH",'2017-08-02,04 - 4419928,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=61929&sid=A0A26F44FE4FFA5A2E6C1099B2FAFF6C,info@silcotechindustry.com,SILCOTECH INDUSTRY SDN BHD
,PLOT 125 JALAN INDUSTRI 10 KAW PERINDUSTRIAN ALOR GAJAH 78000 MELAKA,'2017-08-02,06 - 5561088,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=13138&sid=98AEE820E9EADE3D8FA2DAA315406A50,JiaShyan.Tsu@Lipta.com.my,LIPTA PLASTIC INDUSTRIES SDN BHD
,"25, JALAN P6/1 SECTION 6, BANDAR TEKNOLOGI KAJANG KAJANG 43500 SELANGOR",'2017-08-02,03 - 87231118,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=12393&sid=AE69BB23E765317A39AF2AE78A58A006,fenny@kmk.com.my,KMK RUBBER MANUFACTURING SDN BHD
,"LOT 6558, BLOCK 8, MATANG LAND DISTRICT, JALAN ALAM INDAH, OFF JALAN BATU KAWA-MATANG, KUCHING 93050 SARAWAK",'2017-08-02,082 - 287599,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=59977&sid=39BED6EF4AD3D1ED72C5B6701C17028C,inquiry@zha.com.my,ZHA ENVIRONMENTAL SDN BHD
,"NO.9 JALAN 1/1, KAWASAN PERUSAHAAN OLAK LEMPIT BANTING, SELANGOR 42700 SELANGOR",'2017-08-02,314 - 91869,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=90651&sid=164D99AFD60A2BB1B758D8095344FFA0,akmimaslina.karim@hubner-malaysia.com,HUBNER MALAYSIA SDN. BHD.
,LOT 47 KULIM INDUSTRIAL ESTATE KULIM 09000 KEDAH,'2017-08-02,04 - 4891043,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=66618&sid=17C41BB65CF8C4EACC99A0B75D5B203D,kokkee.ong@hiapsengtyre.com.my,HIAP SENG TYRE (KULIM) SDN BHD
,"48, JALAN JOHAN 2/5 KAW PERINDUSTRIAN PENGKALAN II FASA II, LAHAT 31500 PERAK",'2017-08-02,605 - 3668805,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=4086&sid=883266315B7EB19A3478A7D5F7A024B6,wellcall@wellcall.com.my,WELLCALL HOSE (M) SDN BHD
,"JA 9158 JASIN INDUSTRIAL PARK JASIN, BEMBAN 77200 MELAKA",'2017-08-02,06 - 5292229,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10938&sid=0029A6CB8B6375E1B125810600E9FA11,calvin@fudex.com.my,FUDEX RUBBER PRODUCTS (M) SDN BHD
,"5500, JALAN MAK MANDIN MAK MANDIN INDUSTRIAL ESTATE BUTTERWORTH 13400 PULAU PINANG",'2017-08-02,04 - 3321133,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=10842&sid=8FDBF85A3D3DCAD576AF6BD5EAA6AF11,export@yosogo.com,YOSOGO WRITING INSTRUMENT SDN BHD
,"2, JALAN WAWASAN 3/KU7 SUNGAI KAPAR INDAH KLANG 42200 SELANGOR",'2017-08-02,03 - 32919191,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=56361&sid=78C2E081054B7E2C4B374F7F3EB2516C,fisb@fairmontindustries.com,FAIRMONT INDUSTRIES SDN BHD
,NO 14 & 16 JALAN BISTARI 6 TAMAN INDUSTRI JAYA SKUDAI 81300 JOHOR,'2017-08-02,012 - 5001118,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=91556&sid=9E89F4470FB0C17096498F57C6A7C4B4,lcwee@nkrubber.com.my,N.K RUBBER (M) SDN BHD
,NO 62 JALAN BULAN U5/173 BANDAR PINGGIRAN SUBANG SEKSYEN U5 SHAH ALAM 40150 SELANGOR,'2017-08-02,03 - 77341367,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=95284&sid=2B166D9E0EE2479BDD29BFB9128C962C,emsb923@gmail.com,EKSKLUSIF MAKMUR SDN BHD
,"LOT 20, JALAN TEKNOLOGI 3/5 SELANGOR SCIENCE PARK 1, KOTA DAMANSARA PETALING JAYA 47810 SELANGOR",'2017-08-02,03 - 61417930,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9144&sid=5C204F12F4E848D6DBA2A95B6CAC053D,suzanna@innopeak.com,INNOPEAK (M) SDN BHD
,"NO. 2, 4 & 6. JALAN TU 54, TAMAN TASEK UTAMA AYER KEROH 75450 MELAKA",'2017-08-02,06 - 2347200,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=80254&sid=22CEC83BCE3AB7CBA63D807155C3D56B,abidin@subitec.com.my,SUBITEC SDN BHD
,"52, JALAN SERULING 58 TAMAN KLANG JAYA, TAI CHONG IND. PARK KLANG 41200 SELANGOR",'2017-08-02,03 - 33243325,http://edirectory.matrade.gov.my/application/edirectory.nsf/profile?OpenForm&id=9752&sid=DE412D76DF6528CA028BD29D8F819A9F,sales@scrubbermembrane.com,SAIL CREST RUBBER MEMBRANE SDN BHD
