restname,address,opening hours,contact,rating,conclusion 
Song Fa Bak Kut Teh,"6 Changi Business Park Ave 1 UE BizHub East Unit #01-38, Singapore","
Opening hours:
Daily: 10:30AM to 9:15PM",66948098,,"Many thanks to
who are donating all proceeds to Touch Community Services!"
The Prata Place,"1 Thong Soon Avenue Singapore 787431, Singapore","
Opening hours:
Daily: 7:00AM to 12:00AM",64595670,,"Many thanks to
who are donating all proceeds to Touch Community Services!"
Good Morning Nanyang Cafe,"200 Turf Club Road The Grandstand #01-34A, Singapore","
Opening hours:
Daily: 9:00AM to 9:00PM",,,Many thanks to Good Morning Nanyang Cafe who are donating all proceeds to Touch Community Services!
Jin Jin Desserts,"ABC Brickworks Food Centre Stall 20, Singapore","
Opening hours:
12:00PM to 12:00AM",,,"Many thanks to
and
who are contributing to the work of Touch Community Services!"
,,,,,"You can recognize Anxin Chicken by the yellow GG leg band! Here is a
which you can buy Anxin Chicken. They can sometimes be found in NTUC supermarkets and sold as “Kampung Chicken”. Loo"
,,,,,From 15-20 October there will be daily cooking demos in the Atrium of Millenia walk! Tickets will be on sale too!
"Kway Guan Huat Joo Chiat, Original Poh Piah Skin & Kueh Pie Tee","95 Joo Chiat Road , Singapore","
Opening hours:
Daily: 10:00AM to 8:00PM",63442875,,Sponsor for Kway Guan Huat Popiah and Gen Shu Congee
Tan’s Tu Tu Coconut Cakes,"Blk 22B Havelock Road #01-25, Singapore","
Opening hours:
9:00AM to 3:00PM",97372469,,
,,,,,"Special thanks to
, one of the leading food services in Singapore for being a major meat sponsor for our event. They are sponsoring meats and seafoods for quite a few of our stalls, making it possible for us to reduce our cost and donating more of the funds to charity! Bravo Angliss! Thank you very much!"
,,,,,Thanks to Aston for his donation to Touch Community Services!
Sik Wai Sin,"287 Geylang Road (between Lor 13 and 15) Singapore 389334, Singapore","
Opening hours:
11:45AM to 2:30PM
5:45PM to 9:30PM",67440129,,
,,,,,"Many thanks to
who are donating all proceeds to Touch Community Services!"
,,,,,This event was sponsored by APS Lifestyle Gallery
NM Abdul Rahim Mee Goreng Stall,"Ayer Rajah Food Centre Blk 503, #01-60 Singapore 120503, Singapore","
Opening hours:
8:30AM to 1:00AM",64477500,,"If you are hankering for Mee Goreng, this is a safe bet. It’s a winner in a lot of people’s books and has a long heritage since its days at Shenton Way. Not a personal favourite dish, but I can see why some people love it."
Gen Shu Mei Shi Shi Jia,"Toa Payoh Lor 4  Blk 74 Food Centre #01-03, Singapore","
Opening hours:
(Not available)
Closed:
Mondays",,,Many thanks for all your prayers. Gen Shu has had a successful heart operation and is now back at the stall!
Magosaburou,"2 Orchard Turn #05-01 Ion Orchard Singapore 2388801, Singapore","
Opening hours:
11:30AM to 3:00PM
5:30PM to 11:00PM",66341411,,This article was made possible with the help of Magosaburou Restaurant.
Pek Sin Choon,"36 Mosque Street Singapore 059514, Singapore","
Opening hours:
8:00AM to 7:00PM
Closed:
Sun & PH",63233238,,
Rong Cheng Bak Kut Teh,"Blk 26 Sin Ming Lane #01-114/117 Mid View City Singapore 573971, Singapore","
Opening hours:
Daily: 7:00AM to 9:00PM",96681412 Lionel Lim,,
Ruth’s Chris Steak House,"Marina Mandarin Singapore 6 Raffles Boulevard, Level 4 Singapore 039594 , Singapore","
Opening hours:
11:30AM to 3:00PM
5:30PM to 11:00PM",6336 9093,,This was a media invited review
,,,,,Note: It is important to use heat resistant plastic bags as normal plastic bags may leech harmful toxins. You need to buy bags that are specially made for Sous Vide cooking and check with your butcher if he is vacuum packing it for you.
Song Fa Bak Kut Teh,"11 New Bridge Road #01-01 Singapore 059383 , Singapore","
Opening hours:
7:00AM to 10:00PM
Closed:
Mondays",6533 6128,,"Did the reading of this post suddenly trigger some childhood memories of eating Bak Kut Teh? Share it with the rest of Singapore by jotting it down at
or on tweet it with the hashtag #sgmemory. You can also download the
and record your memories on your phone!"
Ichiban Seafood Sliced Fish Soup,"Alexandra Village Food Centre #01-44, 120 Bukit Merah Lane 1, Singapore 150120","
Opening hours:
8:00AM to 8:00PM",,,The stall has moved to Alexandra Food Centre
Magosaburou,"2 Orchard Turn #05-01 Ion Orchard Singapore 2388801, Singapore","
Opening hours:
11:30AM to 3:00PM
5:30PM to 11:00PM",66341411,,This article was made possible with the help of Magosaburou Restaurant.
Miow Sin Popiah and Carrot Cake,"Lavender Food Square 380 Jalan Besar #01-04, Singapore","
Opening hours:
9:00AM to 12:00AM
Closed:
Alternate Wednesdays",62928764,,"If you are hankering for a good carrot cake late at night, this is a good bet as they close at midnight!"
,,,,,Way to go Cheryl!
,,,,,"Please note that once confirmed, you are expected find your own replacement if you are unable to turn up for the class."
Rakuichi @ Oasia,"Sinaran Drive (next to Oasia Hotel) , Singapore","
Opening hours:
11:30AM to 2:30PM
6:00PM to 10:00PM",6659 6683,,This was an invited review
Abdhus Salam Rojak,"Blk 503, West Coast Drive Stall 73 Ayer Rajah Food Centre Singapore 120503, Singapore","
Opening hours:
Daily: 10:30AM to 11:30PM",,,
Tan’s Tu Tu Coconut Cakes,"Blk 22B Havelock Road #01-25 , Singapore","
Opening hours:
9:00AM to 3:00PM",97372469,,Thanks to the Tan family for helping me with the article
Hokkaido Sushi,"M Hotel, Level 9 81 Anson Road, Singapore","
Opening hours:
11:30AM to 2:30PM
6:30PM to 11:30PM",65006121,,
Tai Fatt Hou Cuisine,"Chong Wah Coffee & Restaurant Blk 28, Hoy Fatt Road, #01-24 Singapore 151028, Singapore","
Opening hours:
7:00AM to 4:00PM
Closed:
Saturdays",96405171 Mr Wong,,
,,,,,Here’s the episode of Meat and Greed shown on 5 June where I introduced Fatty Cheong’s Bu Jian Tian Charsiew.
Eng’s Noodles House,"287 Tanjong Katong Road  Singapore 437070, Singapore","
Opening hours:
Daily: 11:00AM to 9:00PM",Takeaway or Order Hotline  86882727 (45 mins advance),,
Gu Ma Jia,"45 Tai Thong Crescent, Singapore 347866, Singapore","
Opening hours:
11:00AM to 10:00PM",6285 2023,,Show this post on your smartphones or print it out and get 10% discount off the total bill from Monday to Sunday. Valid till 19 July 2012
Ocean Kingdom Seafood Restaurant,"382 Joo Chiat Road Singapore 427622, Singapore","
Opening hours:
12:00PM to 2:30PM
5:00PM to 11:00PM",63420382,,
Teochew Porridge,"554 Macpherson Road Singapore 368230 , Singapore","
Opening hours:
11:00AM to 3:30PM
5:00PM to 9:00PM
Closed:
Sundays",92280828,,
Al Musafir & Restaurant Pte Ltd,"197 Kitchener Road Singapore 208536 (Within Mon Ami Cafe), Singapore","
Opening hours:
11:00AM to 11:00PM",92738047,,
,,,,,
The Garden of Eden,"148 Neil Road Singapore 088877, Singapore","
Opening hours:
(Not available)
Closed:
Monday",62222119,,
Maeda,"467 Joo Chiat Road Singapore 427678, Singapore","
Opening hours:
(Not available)",63450745,,
Lai Kee Pau,"Blk 107 Clementi St 12,, Singapore","
Opening hours:
6:30AM to 9:30PM",90261698,,"With prices of Dim Sum in restaurants going through the roof, coffeeshop Dim Sum places like Lai Kee are offering us an attractive, affordable alternative. I do hope to blog more such stalls, so do write in if you know of any stalls that are serving up good, affordable Dim Sum!"
,,,,,"This post was sponsored by
, opening at the Berjaya Hotel at Duxton Hill on 1st June."
,,,,,This post was sponsored by Copon Norp restaurant
Qiu Rong Ban Mian,"84 MARINE PARADE CTRL #01-161  SINGAPORE(440084), Singapore","
Opening hours:
10:00AM to 9:00PM",,,"As far as Ban Mian goes this is one very hot, soupy and generous bowl of noodles. I can’t say that its made a fan of Ban Mian out of me yet, but its as good as what I can imagine Ban Mian to be at this stage. Time to visit the other Ban Mian stalls to do a comparison!"
Blanco Prawn Noodle House,"235 Jalan Kayu Singapore 799459, Singapore","
Opening hours:
7:00AM to 4:30PM
Closed:
Tuesdays","68534426, 96343456 (Susan)",,"Here are the other stalls:
1.
2.
3.
4."
Whampoa Food Street (Keng),"116/118 Rangoon Road Singapore 218394, Singapore","
Opening hours:
11:00AM to 11:00PM",90232854 (Sharon),,Read Part 1 of the Whampoa Keng story
La Pizzaiola,"15/3 Jalan Riang Singapore 358987, Singapore","
Opening hours:
11:45AM to 2:30PM
5:45PM to 10:30PM
Closed:
Mondays",62825031,,
Huat Kee Seafood Suppliers,"70 Lim Chu Kang Lane 6F Singapore 718871, Singapore","
Opening hours:
9:00AM to 6:00PM","67769128, 90884967",,
Shanghai Renjia,"Blk 151, Ang Mo Kio Ave 5 #01-3046 Singapore 560151, Singapore","
Opening hours:
11:00AM to 3:00PM
6:00PM to 10:00PM
Closed:
Mondays",63686927,,
Luke’s Oyster Bar and Chophouse,"20 Gemmill Lane Singapore 069256, Singapore","
Opening hours:
12:00PM to 12:00AM",62214468,,"If you have been to Boston and miss the food there, then a trip to Luke’s might just be what you need. The oysters here are excellent and they serve one of the best burgers in town. I didn’t get to try the steaks that day, but I was told that they serve a very special bone-in 300 day grainfed tenderloin here which is pretty unique and sounds like something any beef steak connoisseur would be interested to cut into!"
Tao Xiang Kitchen,"10E Sixth Avenue #01-01/02 Singapore 276474, Singapore","
Opening hours:
8:15AM to 8:30PM",98303628,,
Saltwater Cafe,"Changi Village Hotel 1 Netheravon Road Singapore 508502, Singapore","
Opening hours:
(Not available)",6379 7111,,"It really isn’t fair to compare this $15 bowl of Lor Mee to the $3 bowl which you buy from the hawker stall. I would honestly say that if I went to my favourite Lor Mee stall at Bukit Purmei and bought a $3 bowl with an additional $3 of extra ingredients, I would probably be just as happy. But if you compared this $15 bowl of Lor Mee alongside a $15 bowl of Ramen, then perhaps you would feel a little more justified. Personally, I think that it is the gravy that makes this Lor Mee different from the others. Cod Fish is great, but I can’t say that I prefer it over Shark meat enough to fork out such a big difference. As far as I know, no one else has come up with a $15 bowl of Lor Mee yet. So it is a first. Perhaps, it would serve as a catalyst to usher in the specialty Lor Mee stall just like how
did with Prawn Mee?"
Blanco Court Prawn Noodles,"243/245 Beach Road #01-01 Singapore 189754, Singapore","
Opening hours:
7:15AM to 4:00PM
Closed:
Tuesdays",63968464,,"1. Food Hometown: Wawa Pictures, Popular Book Company 2010"
Tsukune Ichigo,"399 River Valley Road Singapore 248295, Singapore","
Opening hours:
6:00PM to 11:30PM",67361340,,"Great place to head for after work with your colleagues for a drink and some Yakitori! Although this place has been opened for 6 years, it is still very much under the radar. Unlike a lot of other restaurants which make it very easy for you to enter, the large foreboding sliding wooden doors in front of the restaurant make it the most difficult restaurant to enter! But once inside, the convivial atmosphere makes for a very nice place for friends to gather, have a few drinks and nibble on chicken satay… I mean Tsukune."
Old Tiong Bahru Bak Kut Teh,"Blk 58, Seng Poh Road, #01-31 Singapore 160058, Singapore","
Opening hours:
6:30AM to 9:00PM
Closed:
Mondays",62244990,,
Suju Japanese Restaurant,"Mandarin Gallery #04-05, 333A Orchard Road Singapore 238897, Singapore","
Opening hours:
Daily: 11:30AM to 10:00PM",6737-7764,,"I have been hankering after good Japanese rice since my last trip to Japan and I am so happy that Suju is taking its rice so seriously. The lunchtime Teishoku sets are excellent value here. It is simple, straightforward Japanese home cooking, but the ingredients and produce are top grade. Best of all, the rice is free flow, so it is a great place to satisfy that craving for good bowl of steaming hot Japanese rice!"
Soulout,"11 Pasir Ris Farmway 1 Singapore 519355 , Singapore","
Opening hours:
Weekdays: 11:00AM to 4:00PM
Weekends: 11:00AM to 12:00AM",9367 0308,,
Islamic Restaurant,"745 North Bridge Road Singapore 198713, Singapore","
Opening hours:
10:00AM to 10:00PM",62987563,,"There is no doubt that they use quality Basmati Rice and meat here but somehow I still have this niggling feeling that it must have been better in the past. Still, since it is a restaurant which such a long legacy, it certainly behooves any self-confessed foodie to make the pilgrimage there to decide for themselves if they like the Biryani or not."
No Name Cheng Tng,"Blk 69 Bedok South Avenue 3 Singapore 460069, Singapore","
Opening hours:
Daily: 12:00PM to 9:00PM",,,This Cheng Tng really gives Yue Lai Xiang a run for the money. It’s about time more people get to enjoy the efforts of the stallowner!
Foong Kee Coffee Shop,"6 Keong Saik Road Singapore 089114, Singapore","
Opening hours:
11:00AM to 8:00PM
Closed:
Sun and PH",96953632 Derrick,,"Foong Kee really should be classified under Roast Meats instead of Wonton Mee. That said, if you are the type who look for good Char Siew with your Wonton Mee, then this stall will be sure to satisfy. The Sio Bak was exceptional that day and its the best Sio Bak I have had for a long time."
Teck Kee Tanglin Pau,"83 Killiney Road Singapore 239531 , Singapore","
Opening hours:
9:00AM to 10:30PM
Closed:
Monday",6734 9253,,"For other locations, please check their website:"
Hong Ji Claypot Pork Rib Soup,"Blk 19, Marsiling Lane #01-329 Singapore 730019, Singapore","
Opening hours:
Daily: 8:00AM to 9:00PM",90901855 Ah Lim,,A nice Bak Kut Teh to try if you are around the northern part of Singapore. I am still searching for something really compelling up North that is worth the calories and fuel.
Lau Goh Teochew Chye Thow Kway,"Zion Riverside Food Centre Stall 26, Singapore 247780, Singapore","
Opening hours:
12:00PM to 2:30PM
6:00PM to 11:00PM
Closed:
Tuesdays",96745483 (SMS only),,"1. Black and White Carrot Cake,
, 8 Jan 2006
2. Food Hometown, Teochew Fried Carrot Cake Episode, Wawa Pictures, Popular Book Company ,2010"
Hong Wen Mutton Soup,"144 Upper Bukit Timah Road Beauty World Plaza Level 4 Food Centre Singapore 588177, Singapore","
Opening hours:
11:30AM to 8:00PM
Closed:
Monday",98898948 Mr Tan,,"Can’t say I am a big fan of Mutton Soup, but this one is recommended by many of our facebook fans, so if you are in need for sheep, this is one place to get your feed."
D’bun,"358 Joo Chiat Road  Singapore 427603, Singapore","
Opening hours:
8:00AM to 10:00AM",6345-8220,,"The only places where you can get really nice and juicy paus are the boutique Pau stalls where the Paus are made on site. Next time you buy Pau, try to get one of the ugly ones to eat on the spot, they often taste the best!"
Zai Shun Curry Fish Head,"Blk 253, Jurong East St 24, #01-205, Singapore 600253, Singapore","
Opening hours:
7:00AM to 3:00PM
Closed:
Wednesday",65608594,,"In case you are really interested to get hold of a Sultan Fish, please give Pine Valley a call at 6248 1755. They would be very happy to arrange it for you."
,,,,,"My other posts on Dilmah Tea can be found
.
Read about the MJF foundation’s various social enterprises
."
,,,,,"1.
2.
3. The Tipping Point: How little things can make such a big difference, Malcolm Gladwell, Little Brown 2000
4. Food Hometown, Yu Sheng episode, Wawa Pictures, 2008
5.
6.
7.
8.
9. Yu Sheng: Not a Singaporean creation: Sin Chew Daily, 31 Jan 2012
10.
11. A dish called Yu Sheng, Teo Xuan Wei, Today, 29 Jan 2011
12.
13. Essence of a Festival, Part 1 Reunion"
Liang Kee Teochew Restaurant,"737 Havelock Road, Singapore 169653","
Opening hours:
11:30AM to 2:00PM
6:00PM to 10:00PM",6278 7026,,
Blue Diamond Restaurant,"24-26 Buffalo Road,  Singapore 219791, Singapore","
Opening hours:
9:30AM to 10:00PM",62911629,,"If you are mad for masala, then this is the place for you. The mutton is wonderfully tender and the masala well balanced. The hard boiled egg sets it apart from the other Biryanis and actually goes quite well with the rest of the dish!"
Rendezvous Restaurant,"The Central #02-72/73 6 Eu Tong Sen Street Singapore 059817, Singapore","
Opening hours:
Daily: 11:00AM to 9:00PM",63397508,,I would really like to hear from the old regulars of Rendezvous about what they thought of the food these days. I have only eaten there after a very long interval so I am not sure if my memories serve me well. What do you all think of the dishes today? Have they tweaked it to be less spicy or are they just as good as when they were still in the old place?
,,,,,"Read my previous post on Dilmah’s orthodox tea making process
.
Read about the MJF foundation’s various social enterprises
."
,,,,,"Find out more about Dilmah Exceptional
.
Find out more about what Dilmah is doing for the people of Sri Lanka
."
Mr and Mrs Mohgan’s Super Crispy Roti Prata,"7 Crane Road Poh Ho Restaurant, Singapore","
Opening hours:
6:30AM to 1:30PM
Closed:
Tues/Wed 3rd week of the month",97943124,,"This is how Roti Prata is supposed to be! Fresh, crispy, artisanal prata accompanied by a choice of curries in an old coffeeshop where you can watch the cars driving by. Cheap and good, super delicious and simply satisfying!"
,,,,,
Nasi Lemak Kukus,"229 Selegie Rd, Singapore 188344","
Opening hours:
lunch: 12:00PM to 3:00PM
dinner: 4:00PM to 10:00PM
Closed:
Sunday",82229517 Reni,Update: 12 Aug 2015,
Hougang 6 Miles Famous Muah Chee,"480 Toa Payoh Lor 6, HDB HUB B1-01 (Stall 21), Singapore 310480 , Singapore","
Opening hours:
Daily: 12:00PM to 10:00PM","98621501, 81206519, 97305513 Mr Teo",,
You Huak Restaurant,"22 Jalan Tampang (Opp Sembawang Shopping Centre) Singapore 758966, Singapore","
Opening hours:
11:30AM to 10:30PM
Closed:
Wednesday",98434699,,"I think this is one of the few places up North that is worth traveling for! I must admit that I am not completely sold on the White Bee Hoon, but that is my opinion against hordes of loyal followers of the eatery. The sliced Fish Head with Bittergourd is a must try though and overall, its a great Cze Char experience."
Rumah Makan Minang,"18 Kandahar St Singapore 198884, Singapore","
Opening hours:
8:30AM to 7:30PM",6294 4805,,"References:
Makan Expose Episode 1, Oak Tree Films 2010"
The Cliff,"2 Bukit Manis Road,  Sentosa, 099891, Singapore","
Opening hours:
(Not available)",6371 1425,,This post was sponsored by The Sentosa
Yakiniku Ten,"Laguna National Golf and Country Club (Turn right at the main entrance) , Singapore","
Opening hours:
12:00PM to 2:30PM
6:00PM to 9:30PM",62481722,,This was an invited review
New Lucky Claypot Rice,"Blk 44 Holland Drive #02-19, Singapore 270044, Singapore","
Opening hours:
11:00AM to 1:30PM
5:00PM to 10:30PM
Closed:
Wednesday","67787808, 93697922",,
Rojaking!,"Food hub @ Chai Chee 26A Chai Chee Road #01-405 Singapore 461026, Singapore","
Opening hours:
12:00PM to 2:00AM",,,"With Gen Yers like Rion around, I think the future for Hawkering in Singapore is not as dim as some people make it out to be. This young Hawkerpreneur really does love his rojak and continues to think of ways to improve a Singaporean classic. So far, he is doing a great job and I think that given a bit more time, he might just become the Rojak King!"
Nasi Padang River Valley,"54 Zion Road Singapore 247779, Singapore","
Opening hours:
10:00AM to 8:30PM
Closed:
Mon & PH",67343383,,They will be opened on the first two days of Chinese New Year! (23-24 Jan)
Redhill Lor Duck Rice and Noodles,"Blk 85 Redhill Lane Redhill Food Centre #01-79 Singapore 150085, Singapore","
Opening hours:
9:00AM to 2:30PM
Closed:
Thurs & Fri",,,It is amazing how this Braised Duck has escaped media attention all this years. It is about the best Braised Duck I have come across so far and the only one which I have a festering need to go back to feed!
New Ubin Seafood,"Blk 27, Sin Ming Road Singapore 575680, Singapore","
Opening hours:
11:30AM to 2:00PM
5:30PM to 10:30PM","64669558, 91701281 Mr Pang",Congrats to New Ubin for being awarded the Bib Gourmand 2016!,
CUT by Wolfgang Puck,"Marina Bay Sands, B1 (close to the theatres), Singapore","
Opening hours:
(Not available)",66888517,,This was a media invited review
Subhaini Family Restaurant,"Blk 353 Market & Food Centre #01-107, 353 Clementi Avenue 2 Singapore 120353, Singapore","
Opening hours:
11:00AM to 12:00AM",98949582,,"If you are hankering for some great Indian Muslim (Mamak) dishes, this is definitely one of the places to get it. The Sup Kambing, in particular, is worth the trip as it is getting so hard to find great Sup Kambing nowadays."
Poh Kee Satay,"1014 Upper Serangoon Rd, Singapore 534752","
Opening hours:
Mon-Fri: 6:00PM to 11:30PM
Sat - Sun: 5:00PM to 11:30PM
Closed:
Thursday",94834868,,
Novus,"National Museum of Singapore 93 Stamford Road #01-02 Singapore 178897, Singapore","
Opening hours:
Mon-Sat: 11:30AM to 2:30PM
6:30PM to 10:30PM
Closed:
Sunday","6336 8770,",,"
"
Spring Court Restaurant,"52-56 Upper Cross Street Singapore 058348, Singapore","
Opening hours:
11:00AM to 2:30PM
6:00PM to 10:30PM",64495030,,"PS: When making your reservations, ask for Doris. She’s excellent and will be a great host for your meal!"
Betel Box: The Living Bistro,"200 Joo Chiat Road, #01-01, Singapore 427471, Singapore","
Opening hours:
8:00AM to 10:00PM",6440 5540,,This was a media invited review
Ma Li Ya Virgin Chicken,"Smith Street Food Centre #02-189, Singapore","
Opening hours:
7:00AM to 4:00PM
Closed:
Monday",81637726,,
Earth Jar Treasure,"Blk 22 Sin Ming Road Singapore 570022, Singapore","
Opening hours:
Mon-Sat: 10:00AM to 9:30PM
Sun: 10:00AM to 3:00PM
Closed:
Alternate Mondays",93831864,,
Chong Pang Nasi Lemak,"447 Sembawang Road Singapore 758458, Singapore","
Opening hours:
Daily: 5:00PM to 7:00AM",96551868 Edmund Lee,,"There are a few compelling reasons for visiting Chong Pang Nasi Lemak. The fried chicken wings are excellent and my advise is to get an extra one ($1.20) so that you don’t have to queue up again. It is also one of those places that are opened right up to 7am in the morning! So if you have ever gotten hungry in the middle of the night, this is one place that you need to keep in mind!"
Jin Jin Dessert,"Blk 6 Jalan Bukit Merah, #01-20 ABC Brickworks Market/Food Centre Singapore 150006, Singapore","
Opening hours:
12:30PM to 10:00PM
Closed:
Wed",94788733 Calvin,,"Not your traditional Cendol, but this Power Cendol is true to its namesake. The sticky, hot fudge like Gula Melaka will get your eyes wide open on the first bite and get you thinking about bringing your friends and family back to taste it for themselves."
928 Yishun Laksa,"Blk 928, Yishun Central 1, Singapore 760928, Singapore","
Opening hours:
10:00AM to 7:00PM",97319586,,Thanks to Sen for the video upload
Ang Mo Kio Char Kway Teow,"Ang Mo Kio Central Food Centre Blk 724 Ang Mo Kio Ave 6 Singapore 560724, Singapore","
Opening hours:
11:30AM to 8:00PM
Closed:
Ad hoc",97298273,,
AR Rahman Cafe & Royal Prata,"Blk 665 Buffalo Road, Tekka Market, Stall 247/248 Singapore 210665 , Singapore","
Opening hours:
7:00AM to 10:00PM",91899420/98554210,,
Istimewa Nasi Padang,"Blk 28 Hoy Fatt Road, Singapore","
Opening hours:
6:30AM to 3:30PM
Closed:
Sun & PH","96301272, 97260239",,My experience was less than stella but that should not prevent you from giving this stall a try since they undoubtedly have many die hard fans. Do go at around 11.45am so that everything is still fresh and hot. I think you should have a great Nasi Padang experience then!
Prince Coffee House,"249 Beach Road (Opp Park Royal), Singapore","
Opening hours:
11:00AM to 9:00PM",64682088,,"Places like Prince Coffee House are living museums! In a time when most cafes are trying to re-create that retro look by buying up antiques from across the causeway, Prince has their own set of antique cutlery which are still being used to serve customers! So when you eat your Beef Hor Fun, just remember that the plate you are eating from has been in service for 34 years and might even be the very one that Lin Qing Sia used! So be very careful and try not to drop it accidentally, ok?"
Economic Mixed Vegetable Rice,"Blk 341 Ang Mo Kio Ave 1, Teck Ghee Court Stall 13, Singapore","
Opening hours:
11:30AM to 2:00PM
6:45PM to 10:00PM
Closed:
Monday",,,
Tian Wai Tian Fishhead Steamboat,"1382 Serangoon Road (Opal Crescent), Singapore","
Opening hours:
Daily: 5:30PM to 11:00PM","64513411, 8183 4856",,
Heng Gi Goose and Duck Rice,"Tekka Centre, 664 Buffalo Road, #01-335, Singapore","
Opening hours:
8:30AM to 2:30PM
Closed:
Mondays",63960969,,
Temasek Indian Rojak,"Tekka Food Centre, Blk 665 Buffalo Road, #01-254, Singapore","
Opening hours:
9:00AM to 9:00PM
Closed:
Alternate Mondays",93350957,,Hankering for prawn fritters and really good Indian rojak gravy? Here is where you get it.
Hougang 6 Miles Famous Muah Chee,"480 Toa Payoh Lor 6, HDB HUB B1-01 (Stall 21), Singapore 310480 , Singapore","
Opening hours:
Daily: 12:00PM to 10:00PM","98621501, 81206519, 97305513 Mr Teo",,
Centre Satay Bee Hoon,"Blk 724 Ang Mo Kio Central Ave 6 Stall 01-12, Singapore","
Opening hours:
11:00AM to 10:00PM
Closed:
Tuesdays (Unless PH)",97475432 Mdm Tan,,
Karu’s Indian Banana Leaf Restaurant,"896 DUNEARN ROAD, #5-01 SIME DARBY CENTRE, , Singapore  589472","
Opening hours:
Daily: 10:30AM to 10:00PM
Closed:
Monday","67627284, 83859511",,"Update: 7 Nov 2016
The restaurant has since relocated.  New address has been updated."
Lao San Kway Chap,"Blk 232 Ang Mo Kio Ave 3, Singapore","
Opening hours:
6:00AM to 12:00AM
Closed:
Monday",,,"The best Kway Chap we have had so far. From the Kway to the braising sauce to the innards, everything was excellent. If there were anything I can fault them with, it is the fact that the fish cakes are not handmade."
Westlake,"Blk 4 Queen’s Road #02-139 Singapore 260004, Singapore","
Opening hours:
Daily: 11:00AM to 2:30PM
6:00PM to 10:00PM",64747283/64711441,,
Hainan Chicken Rice Ball,"Shin Boon Hwa Food Centre 43 Jalan Besar (Dickson Road), Singapore","
Opening hours:
Daily: 8:30AM to 9:30PM","81338287, 63965191 Mr Ba",,I think the rice balls are a novelty and I would still prefer to enjoy the excellent rice fluffy and hot. This is a chicken rice with a lot of heart and soul but it is the braised pork that makes me yearn for a return visit soon.
Shi Wei Xiang HongKong Tim Sum,"Blk 119 Aljunied Crescent, #01-06 Singapore 380119, Singapore","
Opening hours:
7:00AM to 5:00PM","81114950, 96494106",,Thanks to Sen for Video upload!
Ponggol Nasi Lemak Centre,"965 Upper Serangoon Road Singapore 534721, Singapore","
Opening hours:
5:30PM to 3:30AM
Closed:
Thursdays","62810020, 97805597",,
Santaro,"165 Tanjong Pagar Road #02-26 Amara Hotel Singapore 088539, Singapore","
Opening hours:
(Not available)",,,
Hiang Soon Otar,"261 Jalan Kayu, Singapore 799490, Singapore","
Opening hours:
Daily: 8:00AM to 6:00PM","64833808, 96371646 (Liau Chwe Lian)",,
Red Star Restaurant,"Blk 54 Chin Swee Road #07-23 Singapore 160054, Singapore","
Opening hours:
Daily: 7:00AM to 3:00PM
6:00PM to 10:30PM",6532 5266 / 6532 5103,,"The Legend of the Four Heavenly Kings is slowly fading but the stalwarts and keepers of the Legend are still fanning the flame at the Red Star. I think the Dim Sum must have been better in the past, but that is beside the point. You go there for the Dim Sum Trolleys, the 80’s decor and to teach your kids about what it was like when you were growing up. To further embellish the experience, start the Heritage tour by playing some Abba and Bee Gees on the way there! Such places are rare in Singapore and I hope it never changes."
Pavillion Restaurant,"20, Craig Road #01-02 Singapore 089692, Singapore","
Opening hours:
Lunch: 11:00AM to 2:30PM
Dinner: 6:00PM to 10:30PM",65572820,,This was a media invite
Heaven’s Indian Curry,"Blk 20, Ghim Moh Road #01-26 , Singapore 270020","
Opening hours:
Daily: 6:00AM to 1:45PM","Laxmi 9483724, 9165 2868",,
A Rashid Khan,"Blk 503, West Coast Drive  Stall 58, Ayer Rajah Food Centre Singapore 120503, Singapore","
Opening hours:
8:30AM to 1:00AM
Closed:
Alt Tuesdays",84549321,,
Habib’s Rojak,"Blk 503, West Coast Drive Stall 68 Ayer Rajah Food Centre Singapore 120503 , Singapore","
Opening hours:
12:00PM to 10:30PM
Closed:
Alt Monday",93358528 (Habib),,"The Indian Rojak here is excellent. If there are any flaws, I would say that on its own, the sauce could have just been a little more spiced up. However, when combined with the fried items, you will forget about it as flavours just meld together so well. Certainly worth the drive all the way to the West Coast for this!"
Man Fu Yuen,"InterContinental Singapore 80 Middle Road Singapore 188966, Singapore","
Opening hours:
(Not available)",68251087,,This was an invited review
Chia Keng Kway Teow Mee,"Blk 453A Ang Mo Kio Ave 10 #01-11 Chong Boon Food Centre Singapore 561453, Singapore","
Opening hours:
5:00AM to 2:00PM
Closed:
Mon & Fri","96446338, 93591838",,
Hong Heng Beef Noodle King,"Blk 226H Ang Mo Kio St 22 #01-16  Singapore 568226, Singapore","
Opening hours:
7:20AM to 3:30PM
Closed:
Monday",64524017,,
Restoran Foong Foong,"621-A Jalan Merdeka, Ampang Baru 68000 Ampang, Malaysia, Malaysia","
Opening hours:
(Not available)
Closed:
Tuesdays",+60122095529,,
Marine Parade Laksa,"Blk 128 Bedok North St 2, #01-02, Singapore","
Opening hours:
Daily: 9:30AM to 5:00PM",,,
928 Ngee Fou Restaurant Ampang Yong Tau Hu,"928, Upper Thomson Road Singapore 787121, Singapore","
Opening hours:
Daily: 10:00AM to 8:00PM",64521801,,>
