restname,address,opening hours,contact
Zai Shun Curry Fish Head,"Blk 253, Jurong East St 24, #01-205, Singapore 600253, Singapore","
Opening hours:
7:00AM to 3:00PM
Closed:
Wednesdays",65608594
,,,
Hokkaido Sushi,"M Hotel, Level 9, 81 Anson Road, Singapore","
Opening hours:
(Not available)",65006121
,,,
Siam Society,"15 Jalan Riang, Singapore 358987, Singapore","
Opening hours:
(Not available)",62868603
,,,
Old Geylang,"1 Geylang Lorong 23, Highpoint Block 6, Singapore","
Opening hours:
Sun-Thurs: 12:00PM to 2:00AM",6844 6041
,,,
My Cosy Corner,"587 Bukit Timah Road #02-02 Coronation Shopping Plaza, Singapore 269707, Singapore","
Opening hours:
Mon-Sat: 10:00AM to 7:00PM
Sunday/PH: 11:00AM to 4:00PM",64638286
,,,
International Nasi Lemak,"Changi Village Food Centre Stall 01-03, Singapore 500002, Singapore","
Opening hours:
Weekdays: 9:30AM to 3:30PM
6:00PM to 12:00AM",
,,,
Toh Kee,"People’s Park Food Centre #01-1016A, Singapore","
Opening hours:
10:30AM to 7:00PM
Closed:
Mondays",63233368
,,,
Heap Seng Leong,"Blk 10 North Bridge Road, #01-5109 Singapore 190010, Singapore","
Opening hours:
Daily: 4:00AM to 7:00PM",62922368
,,,
Toa Payoh Fried Kway Teow,"Blk 22, Toa Payoh Lor 7 Food Centre #01-51 Singapore 310022, Singapore","
Opening hours:
11:00AM to 6:00PM
Closed:
Tuesday",97431206
,,,
Oasis Bay Taiwan Porridge,"303 Toa Payoh Lor 6, Singapore 319393, Singapore","
Opening hours:
11:00AM to 5:00AM",63464418
,,,
Da Zhong Cafe,"Hainanese Village Food Centre, Blk 105 Hougang Ave 1 #02-20 Singapore 530105, Singapore","
Opening hours:
5:00AM to 2:00PM
Closed:
Monday",98755309
,,,
Xing Xing Tapioca Cake,"Maxwell Road Food Centre Stall 31 Singapore 069184, Singapore","
Opening hours:
9:00AM to 11:00AM",97302833/ 98632833
,,,
Teow Chew Meng,"259 Tanjong Katong Road, Singapore","
Opening hours:
11:00AM to 10:00PM
Closed:
Mondays",83210218
,,,
The Naked Finn,"41 Malan Road, Gillman Barracks, Singapore 109454, Singapore","
Opening hours:
(Not available)
Closed:
Sundays",6694 0807
,,,
Tim Ho Wan,"ERA Centre, 450 Toa Payoh Lor 6 #02-02, Singapore 319394, Singapore","
Opening hours:
11:00AM to 10:00PM",64832000
,,,
Yi Jia South Village Seafood Restaurant,"550 Macpherson Road Singapore 368229, Singapore","
Opening hours:
Daily: 11:00AM to 2:30PM
4:30PM to 11:00PM",67478263
,,,
Table 24,"24 Temple Street Singapore 058569, Singapore","
Opening hours:
(Not available)
Closed:
Sundays",62259925
,,,
Penang Prawn Noodle and Lor Mee,"Blk 280, Bishan St 24 Frankie’s Place Singapore 570280, Singapore","
Opening hours:
8:00AM to 4:00PM
Closed:
Mondays",81639068
,,,
Hillstreet Char Kway Teow,"Blk 16, Bedok South Road, #01-41, Singapore","
Opening hours:
10:30AM to 6:00PM
Closed:
Mondays",90421312 Mr Ng
,,,
Huang Ji Wanton Mee,"Blk 118 Depot Lane Stall 9 Singapore 109754 , Singapore","
Opening hours:
7:00AM to 2:30PM
Closed:
Sundays",86969822 Mr Sin
,,,
Oven Marvel,"91 Bencoolen Street #01-51 Sunshine Plaza Singapore 189652, Singapore","
Opening hours:
11:30AM to 8:00PM
Closed:
8,18, 28 of every month",96361503
,,,
Dong Po Colonial Cafe,"56 Kandahar Street, Singapore 198904 , Singapore","
Opening hours:
Tues-Thurs: 9:30AM to 8:30PM
Fri-Sun: 9:30AM to 9:30PM
Closed:
Mondays",6298 1318
,,,
Crab Party,"98 Yio Chu Kang Road Singapore 545576, Singapore","
Opening hours:
(Not available)",62888588/ 62800068
,,,
Yung Sheng Fried Hokkien Mee,"3 Yung Sheng Road, #03-177 Taman Jurong Market and Food Centre Singapore 618495, Singapore","
Opening hours:
11:30AM to 9:30PM
Closed:
Mondays, Thursdays",98382241
,,,
58 Bak Chor Mee,"3 Yung Sheng Road, #03-150 Taman Jurong Market and Food Centre, Singapore 618495, Singapore","
Opening hours:
Daily: 6:00AM to 2:00PM",93686070
,,,
Feng Zhen Lor Mee,"3 Yung Sheng Road #03-146 Taman Jurong Market and Food Centre Singapore 618495, Singapore","
Opening hours:
5:00AM to 3:00PM
Closed:
Sun, Mon","96466576, 93836343"
,,,
Fragrant Pig’s Trotter Bee Hoon,"335 Smith St Chinatown Food Centre Stall 85 Singapore 050335, Singapore","
Opening hours:
7:00AM to 3:00PM
Closed:
Mon-Tues",98522245 Randy Tse
,,,
The Knolls,"Capella Singapore 1 The Knolls Sentosa 098297, Singapore","
Opening hours:
(Not available)",63778888
,,,
Northern Thai,"Berseh Food Centre 166 Jalan Besar #01-25, Singapore 208877","
Opening hours:
9:30AM to 5:30PM
Closed:
Mon and Public Holidays","81630388, 98516386"
,,,
IKYU,"5 Yong Siak St, Singapore 168643, Singapore","
Opening hours:
11:30AM to 3:00PM
5:30PM to 11:00PM
Closed:
Monday",62239003
,,,
Hashida Sushi,"#04-16 Mandarin Gallery 333A Orchard Road , Singapore  238897","
Opening hours:
(Not available)",67332114
,,,
Ho Tit Coffee Powder Factory,"402 Upper Paya Lebar Road Singapore 534988, Singapore","
Opening hours:
10:00AM to 5:30PM
Closed:
Sunday/ PH",62884642
,,,
Sky on 57,"#57-00 Marina Bay Sands, Sands Skypark Tower 1, Singapore","
Opening hours:
(Not available)",66888857
,,,
Wei Ji Noodle House,"335 Smith St, #02-35 Smith Street Food Centre, Singapore","
Opening hours:
7:00AM to 4:00PM
Closed:
Monday (except on PH)",92215345
,,,
Ito-Kacho,"333A Orchard Road, #04-08/09 Mandarin Gallery, Singapore 238897, Singapore","
Opening hours:
(Not available)",68360111
,,,
Meii Sushi,"The Scarlet Hotel 33 Erskine Road #01-01, Singapore 069333","
Opening hours:
(Not available)",6220 3466
,,,
Violet Oon’s Kitchen,"881 Bukit Timah Road Singapore 279893, Singapore","
Opening hours:
11:30AM to 10:00PM
Closed:
Monday",64685430
,,,
Zai Shun Curry Fish Head,"Blk 253, Jurong East St 24, #01-205, Singapore 600253, Singapore","
Opening hours:
7:00AM to 3:00PM
Closed:
Wednesdays",65608594
,,,
Siang Hee Seafood,"Serangoon Garden Food Centre Stall 20 49A Serangoon Garden Way Singapore 555945, Singapore","
Opening hours:
12:00PM to 10:00PM
Closed:
Alternate Monday",97364067
,,,
Seng Kee Bak Chor Mee,"Serangoon Gardens Food Centre Stall 36, Singapore","
Opening hours:
7:30AM to 3:00PM
Closed:
Monday",84390434
,,,
Napolizz Pizza,"396 Upper Paya Lebar Road Singapore 534984, Singapore","
Opening hours:
12:00PM to 10:30PM",62808220
,,,
Fu Ming Carrot Cake,"Redhill Food Centre Blk 85 Redhill Lane Singapore 150085, Singapore","
Opening hours:
12:00PM to 12:00AM","96410565, 64758653"
,,,
Nasi Bawean,"62 Desker Road Singapore 209587, Singapore","
Opening hours:
10:30AM to 3:00PM
Closed:
Sundays",93399433
,,,
Redring Wanton Mee,"Blk 46 Holland Drive, Singapore","
Opening hours:
8:30AM to 7:30PM
Closed:
Tuesdays",96803201
,,,
Freshly Baked by Le Bijoux,"57 Killiney Road, #01-01 Singapore 239520, Singapore","
Opening hours:
Mon-Fri: 8:00AM to 8:00PM
Sat: 8:00AM to 6:00PM
Sun: 8:00AM to 2:30PM",67353298
,,,
Ga Hock Seafood,"794 Upper Bukit Timah Road Singapore 678133, Singapore","
Opening hours:
4:00PM to 11:00PM",63145725
,,,
Founder Bak Kut Teh @ Rangoon,"154 Rangoon Road Singapore 218431, Singapore","
Opening hours:
9:00AM to 10:30PM
Closed:
Wednesdays",62920938
,,,
Zai Shun Curry Fish Head,"Blk 253, Jurong East St 24, #01-205, Singapore 600253, Singapore","
Opening hours:
7:00AM to 3:00PM
Closed:
Wednesday",65608594
,,,
Ristorante Italiano Pietro,"12 Jalan Kelulut Singapore 809030, Singapore","
Opening hours:
Daily: 11:30AM to 2:30PM
6:00PM to 11:00PM",6484 5528
,,,
Tam Kah Shark’s Fin,"27 Smith Street Singapore 058964, Singapore","
Opening hours:
11:00AM to 11:00PM",62251259
,,,
Claypot & Cooked Food Kitchen,"Smith Street Food Centre #02-83, Singapore","
Opening hours:
11:00AM to 6:30PM
Closed:
Alt Wed & Thurs",81008265
,,,
Lian He Ben Ji Claypot Rice,"Blk 335 Smith Street #02-198/199, Singapore","
Opening hours:
4:00PM to 11:00PM
Closed:
Thursdays",62272470
,,,
Victory Restaurant,"701, North Bridge Road Singapore 198677, Singapore","
Opening hours:
7:00AM to 11:00PM","62986955, 62983502"
,,,
Million Stars Goreng Pisang,"Block 2 Changi Village Road # 01-49 Changi Village Hawker Centre Singapore 500002, Singapore","
Opening hours:
10:00AM to 9:30PM
Closed:
Monday",94315255 Mr Chan
,,,
Xiao Di Hokkien Mee,"Serangoon North Ave 1, Blk 153 Singapore 550153, Singapore","
Opening hours:
11:00AM to 8:00PM
Closed:
Mondays",90621201
,,,
Pin Wei Hong Kong Style Chee Cheong Fun,"41A Cambridge Road, #01-25 Cambridge Market, Singapore 211041, Singapore","
Opening hours:
Mon-Fri: 6:30AM to 1:30PM
Sat-Sun: 6:30AM to 2:30PM
Closed:
Alt Wednesdays","81802014 Jennifer, 81802013 Eddy"
,,,
Peramakan Deli,"209 East Coast Road Singapore 428908, Singapore","
Opening hours:
10:00AM to 8:00PM",63466569
,,,
Tong Heng Confectionery,"285, South Bridge Road Singapore 058833, Singapore","
Opening hours:
9:00AM to 10:00PM","62233649, 62230398"
,,,
Yi Dian Xin Hong Kong Dim Sum,"1012 Upper Serangoon Road Singapore 534752, Singapore","
Opening hours:
7:00AM to 6:00PM
Closed:
Alternate Tuesdays",91685587 Foong
,,,
China Whampoa Home Made Noodle,"Whampoa Market, Whampoa Drive Blk 91 #01-24, Singapore","
Opening hours:
7:00AM to 2:00PM
Closed:
Monday",96256692
,,,
Seng Kee Bak Kut Teh,"Blk 453A Ang Mo Kio Ave 10 #01-06, Singapore","
Opening hours:
7:00AM to 9:00PM
Closed:
Mondays",93361192
,,,
Heavens Curry,Singapore,"
Opening hours:
(Not available)",94514415 Suren
,,,
Majestic Bay Seafood Restaurant,"Flower Dome, Gardens by the Bay, 18 Marina Gardens Drive #01-10 Singapore 018953, Singapore","
Opening hours:
(Not available)",6604 6604
,,,
Fatty Ox HK Kitchen,"Blk 335 Smith Street, Stall #02-84 Smith Street Food Centre Singapore 050335, Singapore","
Opening hours:
7:30AM to 3:00PM
Closed:
Mon-Tues",96385345 Mr Cheung
,,,
Eng Ho Hokkien Mee,"Blk 409, Ang Mo Kio Ave 10 Stall 01-34 , Singapore","
Opening hours:
4:30PM to 12:00AM
Closed:
Alt Tuesdays",Mr Tan 98156826
,,,
"Gyu Kaku, Anchorpoint","368 Alexandra Road, Singapore 159952 , Singapore","
Opening hours:
Lunch: 11:30AM to 2:30PM
Dinner: 5:30PM to 10:30PM",6479 4001
,,,
Satay Power,"Lau Pa Sat Festival Market 18 Raffles Quay Singapore 048582, Singapore","
Opening hours:
5:00PM to 2:00AM",90213666 Lisa
,,,
New Market Teochew Braised Duck,"Blk 120 Bukit Merah Lane 1, #01-84 Alexandra Village Food Centre, Singapore","
Opening hours:
11:00AM to 3:00PM
Closed:
Thursdays",93840959
,,,
Joo Huat Pau,"79A Circuit Road Food Centre #01-62 , Singapore","
Opening hours:
12:00PM to 11:00PM
Closed:
Mon-Tues",97558688
,,,
Skirt,"W Hotel 21 Ocean Way Singapore 098374 , Singapore","
Opening hours:
6:00PM to 12:00AM
Closed:
Mondays",68087288
,,,
Chai Wee Cuttlefish,"Smith Street Food Centre Blk 335, Smith St #02-59/65 Singapore 050335, Singapore","
Opening hours:
10:30AM to 3:00PM
6:00PM to 9:00PM
Closed:
Mondays",97511986
,,,
Oriole Coffee Roasters,"10/10A Jiak Chuan Road, Singapore 089264 , Singapore","
Opening hours:
Mon-Sat: 8:30AM to 10:00PM
Sun-PH: 8:30AM to 6:00PM",6224 8131
,,,
Victory Sugar Cane Juice,"Blk 409 Ang Mo Kio Ave 10 #01-08, Singapore","
Opening hours:
8:30AM to 10:00PM
Closed:
Monday",Mr Ong 96495851
,,,
Astons Steak n Salad,"176 Orchard Road The CentrePoint #03-45/46/47 Singapore 284483, Singapore","
Opening hours:
Daily: 11:30AM to 10:00PM",6235 0556
,,,
Bomba,"38 Martin Road Singapore 239059, Singapore","
Opening hours:
6:00PM to 12:00AM
Closed:
Sundays",6509 1680
,,,
Los Primos Tabernay Tapas Bar,"81 Club St, #01-01 Singapore 069449, Singapore","
Opening hours:
(Not available)",64231773
,,,
Simon Road Oyster Omelette,"965 Upper Serangoon Road Mee Sek Coffeeshop, Singapore","
Opening hours:
4:00PM to 2:00AM
Closed:
Mondays",90878457 Mr Lim
,,,
The Prata Place,"1 Thong Soon Avenue Singapore 787431, Singapore","
Opening hours:
Daily: 7:00AM to 12:00AM",64595670
,,,
"Kway Guan Huat Joo Chiat, Original Poh Piah Skin & Kueh Pie Tee","95 Joo Chiat Road , Singapore","
Opening hours:
Daily: 10:00AM to 8:00PM",63442875
,,,
Tan’s Tu Tu Coconut Cakes,"Blk 22B Havelock Road #01-25, Singapore","
Opening hours:
9:00AM to 3:00PM",97372469
,,,
Sik Wai Sin,"287 Geylang Road (between Lor 13 and 15) Singapore 389334, Singapore","
Opening hours:
11:45AM to 2:30PM
5:45PM to 9:30PM",67440129
,,,
Song Fa Bak Kut Teh,"6 Changi Business Park Ave 1 UE BizHub East Unit #01-38, Singapore","
Opening hours:
Daily: 10:30AM to 9:15PM",66948098
,,,
Pek Sin Choon,"36 Mosque Street Singapore 059514, Singapore","
Opening hours:
8:00AM to 7:00PM
Closed:
Sun & PH",63233238
,,,
Song Fa Bak Kut Teh,"11 New Bridge Road #01-01 Singapore 059383 , Singapore","
Opening hours:
7:00AM to 10:00PM
Closed:
Mondays",6533 6128
,,,
Gen Shu Mei Shi Shi Jia,"Toa Payoh Lor 4  Blk 74 Food Centre #01-03, Singapore","
Opening hours:
(Not available)
Closed:
Mondays",
,,,
Rong Cheng Bak Kut Teh,"Blk 26 Sin Ming Lane #01-114/117 Mid View City Singapore 573971, Singapore","
Opening hours:
Daily: 7:00AM to 9:00PM",96681412 Lionel Lim
,,,
Magosaburou,"2 Orchard Turn #05-01 Ion Orchard Singapore 2388801, Singapore","
Opening hours:
11:30AM to 3:00PM
5:30PM to 11:00PM",66341411
,,,
NM Abdul Rahim Mee Goreng Stall,"Ayer Rajah Food Centre Blk 503, #01-60 Singapore 120503, Singapore","
Opening hours:
8:30AM to 1:00AM",64477500
,,,
Magosaburou,"2 Orchard Turn #05-01 Ion Orchard Singapore 2388801, Singapore","
Opening hours:
11:30AM to 3:00PM
5:30PM to 11:00PM",66341411
,,,
Tai Fatt Hou Cuisine,"Chong Wah Coffee & Restaurant Blk 28, Hoy Fatt Road, #01-24 Singapore 151028, Singapore","
Opening hours:
7:00AM to 4:00PM
Closed:
Saturdays",96405171 Mr Wong
,,,
Ruth’s Chris Steak House,"Marina Mandarin Singapore 6 Raffles Boulevard, Level 4 Singapore 039594 , Singapore","
Opening hours:
11:30AM to 3:00PM
5:30PM to 11:00PM",6336 9093
,,,
Ocean Kingdom Seafood Restaurant,"382 Joo Chiat Road Singapore 427622, Singapore","
Opening hours:
12:00PM to 2:30PM
5:00PM to 11:00PM",63420382
,,,
Eng’s Noodles House,"287 Tanjong Katong Road  Singapore 437070, Singapore","
Opening hours:
Daily: 11:00AM to 9:00PM",Takeaway or Order Hotline  86882727 (45 mins advance)
,,,
Miow Sin Popiah and Carrot Cake,"Lavender Food Square 380 Jalan Besar #01-04, Singapore","
Opening hours:
9:00AM to 12:00AM
Closed:
Alternate Wednesdays",62928764
,,,
Gu Ma Jia,"45 Tai Thong Crescent, Singapore 347866, Singapore","
Opening hours:
11:00AM to 10:00PM",6285 2023
,,,
Rakuichi @ Oasia,"Sinaran Drive (next to Oasia Hotel) , Singapore","
Opening hours:
11:30AM to 2:30PM
6:00PM to 10:00PM",6659 6683
,,,
Tan’s Tu Tu Coconut Cakes,"Blk 22B Havelock Road #01-25 , Singapore","
Opening hours:
9:00AM to 3:00PM",97372469
,,,
Hokkaido Sushi,"M Hotel, Level 9 81 Anson Road, Singapore","
Opening hours:
11:30AM to 2:30PM
6:30PM to 11:30PM",65006121
,,,
Lai Kee Pau,"Blk 107 Clementi St 12,, Singapore","
Opening hours:
6:30AM to 9:30PM",90261698
,,,
Blanco Prawn Noodle House,"235 Jalan Kayu Singapore 799459, Singapore","
Opening hours:
7:00AM to 4:30PM
Closed:
Tuesdays","68534426, 96343456 (Susan)"
,,,
The Garden of Eden,"148 Neil Road Singapore 088877, Singapore","
Opening hours:
(Not available)
Closed:
Monday",62222119
,,,
Maeda,"467 Joo Chiat Road Singapore 427678, Singapore","
Opening hours:
(Not available)",63450745
,,,
Whampoa Food Street (Keng),"116/118 Rangoon Road Singapore 218394, Singapore","
Opening hours:
11:00AM to 11:00PM",90232854 (Sharon)
,,,
Al Musafir & Restaurant Pte Ltd,"197 Kitchener Road Singapore 208536 (Within Mon Ami Cafe), Singapore","
Opening hours:
11:00AM to 11:00PM",92738047
,,,
Teochew Porridge,"554 Macpherson Road Singapore 368230 , Singapore","
Opening hours:
11:00AM to 3:30PM
5:00PM to 9:00PM
Closed:
Sundays",92280828
,,,
La Pizzaiola,"15/3 Jalan Riang Singapore 358987, Singapore","
Opening hours:
11:45AM to 2:30PM
5:45PM to 10:30PM
Closed:
Mondays",62825031
,,,
Blanco Court Prawn Noodles,"243/245 Beach Road #01-01 Singapore 189754, Singapore","
Opening hours:
7:15AM to 4:00PM
Closed:
Tuesdays",63968464
,,,
Huat Kee Seafood Suppliers,"70 Lim Chu Kang Lane 6F Singapore 718871, Singapore","
Opening hours:
9:00AM to 6:00PM","67769128, 90884967"
,,,
Suju Japanese Restaurant,"Mandarin Gallery #04-05, 333A Orchard Road Singapore 238897, Singapore","
Opening hours:
Daily: 11:30AM to 10:00PM",6737-7764
,,,
Foong Kee Coffee Shop,"6 Keong Saik Road Singapore 089114, Singapore","
Opening hours:
11:00AM to 8:00PM
Closed:
Sun and PH",96953632 Derrick
,,,
Tao Xiang Kitchen,"10E Sixth Avenue #01-01/02 Singapore 276474, Singapore","
Opening hours:
8:15AM to 8:30PM",98303628
,,,
Shanghai Renjia,"Blk 151, Ang Mo Kio Ave 5 #01-3046 Singapore 560151, Singapore","
Opening hours:
11:00AM to 3:00PM
6:00PM to 10:00PM
Closed:
Mondays",63686927
,,,
Tsukune Ichigo,"399 River Valley Road Singapore 248295, Singapore","
Opening hours:
6:00PM to 11:30PM",67361340
,,,
Saltwater Cafe,"Changi Village Hotel 1 Netheravon Road Singapore 508502, Singapore","
Opening hours:
(Not available)",6379 7111
,,,
Old Tiong Bahru Bak Kut Teh,"Blk 58, Seng Poh Road, #01-31 Singapore 160058, Singapore","
Opening hours:
6:30AM to 9:00PM
Closed:
Mondays",62244990
,,,
Luke’s Oyster Bar and Chophouse,"20 Gemmill Lane Singapore 069256, Singapore","
Opening hours:
12:00PM to 12:00AM",62214468
,,,
Islamic Restaurant,"745 North Bridge Road Singapore 198713, Singapore","
Opening hours:
10:00AM to 10:00PM",62987563
,,,
Soulout,"11 Pasir Ris Farmway 1 Singapore 519355 , Singapore","
Opening hours:
Weekdays: 11:00AM to 4:00PM
Weekends: 11:00AM to 12:00AM",9367 0308
,,,
Lau Goh Teochew Chye Thow Kway,"Zion Riverside Food Centre Stall 26, Singapore 247780, Singapore","
Opening hours:
12:00PM to 2:30PM
6:00PM to 11:00PM
Closed:
Tuesdays",96745483 (SMS only)
,,,
Teck Kee Tanglin Pau,"83 Killiney Road Singapore 239531 , Singapore","
Opening hours:
9:00AM to 10:30PM
Closed:
Monday",6734 9253
,,,
Zai Shun Curry Fish Head,"Blk 253, Jurong East St 24, #01-205, Singapore 600253, Singapore","
Opening hours:
7:00AM to 3:00PM
Closed:
Wednesday",65608594
,,,
Hong Ji Claypot Pork Rib Soup,"Blk 19, Marsiling Lane #01-329 Singapore 730019, Singapore","
Opening hours:
Daily: 8:00AM to 9:00PM",90901855 Ah Lim
,,,
Hong Wen Mutton Soup,"144 Upper Bukit Timah Road Beauty World Plaza Level 4 Food Centre Singapore 588177, Singapore","
Opening hours:
11:30AM to 8:00PM
Closed:
Monday",98898948 Mr Tan
,,,
Liang Kee Teochew Restaurant,"737 Havelock Road, Singapore 169653","
Opening hours:
11:30AM to 2:00PM
6:00PM to 10:00PM",6278 7026
,,,
Blue Diamond Restaurant,"24-26 Buffalo Road,  Singapore 219791, Singapore","
Opening hours:
9:30AM to 10:00PM",62911629
,,,
D’bun,"358 Joo Chiat Road  Singapore 427603, Singapore","
Opening hours:
8:00AM to 10:00AM",6345-8220
,,,
Rendezvous Restaurant,"The Central #02-72/73 6 Eu Tong Sen Street Singapore 059817, Singapore","
Opening hours:
Daily: 11:00AM to 9:00PM",63397508
,,,
Mr and Mrs Mohgan’s Super Crispy Roti Prata,"7 Crane Road Poh Ho Restaurant, Singapore","
Opening hours:
6:30AM to 1:30PM
Closed:
Tues/Wed 3rd week of the month",97943124
,,,
You Huak Restaurant,"22 Jalan Tampang (Opp Sembawang Shopping Centre) Singapore 758966, Singapore","
Opening hours:
11:30AM to 10:30PM
Closed:
Wednesday",98434699
,,,
Nasi Lemak Kukus,"229 Selegie Rd, Singapore 188344","
Opening hours:
lunch: 12:00PM to 3:00PM
dinner: 4:00PM to 10:00PM
Closed:
Sunday",82229517 Reni
,,,
Hougang 6 Miles Famous Muah Chee,"480 Toa Payoh Lor 6, HDB HUB B1-01 (Stall 21), Singapore 310480 , Singapore","
Opening hours:
Daily: 12:00PM to 10:00PM","98621501, 81206519, 97305513 Mr Teo"
,,,
Rumah Makan Minang,"18 Kandahar St Singapore 198884, Singapore","
Opening hours:
8:30AM to 7:30PM",6294 4805
,,,
Nasi Padang River Valley,"54 Zion Road Singapore 247779, Singapore","
Opening hours:
10:00AM to 8:30PM
Closed:
Mon & PH",67343383
,,,
The Cliff,"2 Bukit Manis Road,  Sentosa, 099891, Singapore","
Opening hours:
(Not available)",6371 1425
,,,
Yakiniku Ten,"Laguna National Golf and Country Club (Turn right at the main entrance) , Singapore","
Opening hours:
12:00PM to 2:30PM
6:00PM to 9:30PM",62481722
,,,
New Lucky Claypot Rice,"Blk 44 Holland Drive #02-19, Singapore 270044, Singapore","
Opening hours:
11:00AM to 1:30PM
5:00PM to 10:30PM
Closed:
Wednesday","67787808, 93697922"
,,,
New Ubin Seafood,"Blk 27, Sin Ming Road Singapore 575680, Singapore","
Opening hours:
11:30AM to 2:00PM
5:30PM to 10:30PM","64669558, 91701281 Mr Pang"
,,,
Novus,"National Museum of Singapore 93 Stamford Road #01-02 Singapore 178897, Singapore","
Opening hours:
Mon-Sat: 11:30AM to 2:30PM
6:30PM to 10:30PM
Closed:
Sunday","6336 8770,"
,,,
Subhaini Family Restaurant,"Blk 353 Market & Food Centre #01-107, 353 Clementi Avenue 2 Singapore 120353, Singapore","
Opening hours:
11:00AM to 12:00AM",98949582
,,,
Poh Kee Satay,"1014 Upper Serangoon Rd, Singapore 534752","
Opening hours:
Mon-Fri: 6:00PM to 11:30PM
Sat - Sun: 5:00PM to 11:30PM
Closed:
Thursday",94834868
,,,
Ma Li Ya Virgin Chicken,"Smith Street Food Centre #02-189, Singapore","
Opening hours:
7:00AM to 4:00PM
Closed:
Monday",81637726
,,,
Spring Court Restaurant,"52-56 Upper Cross Street Singapore 058348, Singapore","
Opening hours:
11:00AM to 2:30PM
6:00PM to 10:30PM",64495030
,,,
Earth Jar Treasure,"Blk 22 Sin Ming Road Singapore 570022, Singapore","
Opening hours:
Mon-Sat: 10:00AM to 9:30PM
Sun: 10:00AM to 3:00PM
Closed:
Alternate Mondays",93831864
,,,
Betel Box: The Living Bistro,"200 Joo Chiat Road, #01-01, Singapore 427471, Singapore","
Opening hours:
8:00AM to 10:00PM",6440 5540
,,,
CUT by Wolfgang Puck,"Marina Bay Sands, B1 (close to the theatres), Singapore","
Opening hours:
(Not available)",66888517
,,,
928 Yishun Laksa,"Blk 928, Yishun Central 1, Singapore 760928, Singapore","
Opening hours:
10:00AM to 7:00PM",97319586
,,,
Chong Pang Nasi Lemak,"447 Sembawang Road Singapore 758458, Singapore","
Opening hours:
Daily: 5:00PM to 7:00AM",96551868 Edmund Lee
,,,
Hougang 6 Miles Famous Muah Chee,"480 Toa Payoh Lor 6, HDB HUB B1-01 (Stall 21), Singapore 310480 , Singapore","
Opening hours:
Daily: 12:00PM to 10:00PM","98621501, 81206519, 97305513 Mr Teo"
,,,
Jin Jin Dessert,"Blk 6 Jalan Bukit Merah, #01-20 ABC Brickworks Market/Food Centre Singapore 150006, Singapore","
Opening hours:
12:30PM to 10:00PM
Closed:
Wed",94788733 Calvin
,,,
Heng Gi Goose and Duck Rice,"Tekka Centre, 664 Buffalo Road, #01-335, Singapore","
Opening hours:
8:30AM to 2:30PM
Closed:
Mondays",63960969
,,,
Tian Wai Tian Fishhead Steamboat,"1382 Serangoon Road (Opal Crescent), Singapore","
Opening hours:
Daily: 5:30PM to 11:00PM","64513411, 8183 4856"
,,,
Temasek Indian Rojak,"Tekka Food Centre, Blk 665 Buffalo Road, #01-254, Singapore","
Opening hours:
9:00AM to 9:00PM
Closed:
Alternate Mondays",93350957
,,,
AR Rahman Cafe & Royal Prata,"Blk 665 Buffalo Road, Tekka Market, Stall 247/248 Singapore 210665 , Singapore","
Opening hours:
7:00AM to 10:00PM",91899420/98554210
,,,
Centre Satay Bee Hoon,"Blk 724 Ang Mo Kio Central Ave 6 Stall 01-12, Singapore","
Opening hours:
11:00AM to 10:00PM
Closed:
Tuesdays (Unless PH)",97475432 Mdm Tan
,,,
Prince Coffee House,"249 Beach Road (Opp Park Royal), Singapore","
Opening hours:
11:00AM to 9:00PM",64682088
,,,
Ang Mo Kio Char Kway Teow,"Ang Mo Kio Central Food Centre Blk 724 Ang Mo Kio Ave 6 Singapore 560724, Singapore","
Opening hours:
11:30AM to 8:00PM
Closed:
Ad hoc",97298273
,,,
Istimewa Nasi Padang,"Blk 28 Hoy Fatt Road, Singapore","
Opening hours:
6:30AM to 3:30PM
Closed:
Sun & PH","96301272, 97260239"
,,,
Shi Wei Xiang HongKong Tim Sum,"Blk 119 Aljunied Crescent, #01-06 Singapore 380119, Singapore","
Opening hours:
7:00AM to 5:00PM","81114950, 96494106"
,,,
Ponggol Nasi Lemak Centre,"965 Upper Serangoon Road Singapore 534721, Singapore","
Opening hours:
5:30PM to 3:30AM
Closed:
Thursdays","62810020, 97805597"
,,,
A Rashid Khan,"Blk 503, West Coast Drive  Stall 58, Ayer Rajah Food Centre Singapore 120503, Singapore","
Opening hours:
8:30AM to 1:00AM
Closed:
Alt Tuesdays",84549321
,,,
Hiang Soon Otar,"261 Jalan Kayu, Singapore 799490, Singapore","
Opening hours:
Daily: 8:00AM to 6:00PM","64833808, 96371646 (Liau Chwe Lian)"
,,,
Westlake,"Blk 4 Queen’s Road #02-139 Singapore 260004, Singapore","
Opening hours:
Daily: 11:00AM to 2:30PM
6:00PM to 10:00PM",64747283/64711441
,,,
Karu’s Indian Banana Leaf Restaurant,"896 DUNEARN ROAD, #5-01 SIME DARBY CENTRE, , Singapore  589472","
Opening hours:
Daily: 10:30AM to 10:00PM
Closed:
Monday","67627284, 83859511"
,,,
Hainan Chicken Rice Ball,"Shin Boon Hwa Food Centre 43 Jalan Besar (Dickson Road), Singapore","
Opening hours:
Daily: 8:30AM to 9:30PM","81338287, 63965191 Mr Ba"
,,,
